wf,model,pr_auc,roc_auc,pr_auc_T0_HGB,delta_pr_auc_vs_T0_HGB,delta_roc_auc_vs_T0_HGB
WF1,T1_HGB,0.3582,0.619,0.3728,-0.014600000000000002,-0.0363
WF2,T1_HGB,0.2693,0.5964,0.2886,-0.01930000000000004,-0.025999999999999912
WF3,T1_HGB,0.3804,0.6435,0.4045,-0.02410000000000001,-0.006900000000000017
