wf,variant,n_executed,n_exit_on_or_after_oos
WF1,BASELINE,614,0
WF2,BASELINE,856,0
WF3,BASELINE,848,0
WF1,T0_LOGIT,614,0
WF1,T0_HGB,602,0
WF2,T0_LOGIT,856,0
WF2,T0_HGB,856,0
WF3,T0_LOGIT,840,0
WF3,T0_HGB,824,0
WF1,T1_HGB,608,0
WF2,T1_HGB,856,0
WF3,T1_HGB,838,0
