wf,n_executed,n_tradeoff,original_expectancy_R,oracle_no_tradeoff_expectancy_R,delta_R,note
WF1,614,113,-0.042,0.1781,0.2202,ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE
WF2,856,137,0.0253,0.2211,0.1959,ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE
WF3,848,152,-0.0376,0.1838,0.2215,ORACLE_DIAGNOSTIC_ONLY / NOT_DEPLOYABLE
