wf,stage,model,fold,n_train_before,n_train_after,n_removed,removed_share,n_val,val_start,skipped,max_train_label_avail_time
WF1,A,T0_LOGIT,0.4-0.6,443,398,45,0.1016,250,2025-04-11 23:40:00,,2025-04-11 21:40:00
WF1,A,T0_LOGIT,0.6-0.8,693,649,44,0.0635,253,2025-05-06 09:10:00,,2025-05-06 09:05:00
WF1,A,T0_LOGIT,0.8-1.0,946,872,74,0.0782,248,2025-05-21 21:40:00,,2025-05-21 21:05:00
WF1,A,T0_HGB,0.4-0.6,443,398,45,0.1016,250,2025-04-11 23:40:00,,2025-04-11 21:40:00
WF1,A,T0_HGB,0.6-0.8,693,649,44,0.0635,253,2025-05-06 09:10:00,,2025-05-06 09:05:00
WF1,A,T0_HGB,0.8-1.0,946,872,74,0.0782,248,2025-05-21 21:40:00,,2025-05-21 21:05:00
WF2,A,T0_LOGIT,0.4-0.6,1315,1269,46,0.035,461,2025-07-18 21:10:00,,2025-07-18 21:05:00
WF2,A,T0_LOGIT,0.6-0.8,1776,1699,77,0.0434,530,2025-08-21 22:15:00,,2025-08-21 21:15:00
WF2,A,T0_LOGIT,0.8-1.0,2306,2232,74,0.0321,455,2025-09-25 21:10:00,,2025-09-25 21:05:00
WF2,A,T0_HGB,0.4-0.6,1315,1269,46,0.035,461,2025-07-18 21:10:00,,2025-07-18 21:05:00
WF2,A,T0_HGB,0.6-0.8,1776,1699,77,0.0434,530,2025-08-21 22:15:00,,2025-08-21 21:15:00
WF2,A,T0_HGB,0.8-1.0,2306,2232,74,0.0321,455,2025-09-25 21:10:00,,2025-09-25 21:05:00
WF3,A,T0_LOGIT,0.4-0.6,1595,1514,81,0.0508,859,2025-10-27 21:15:00,,2025-10-27 14:45:00
WF3,A,T0_LOGIT,0.6-0.8,2454,2389,65,0.0265,864,2025-12-16 21:35:00,,2025-12-16 14:10:00
WF3,A,T0_LOGIT,0.8-1.0,3318,3223,95,0.0286,775,2026-02-09 21:30:00,,2026-02-09 21:05:00
WF3,A,T0_HGB,0.4-0.6,1595,1514,81,0.0508,859,2025-10-27 21:15:00,,2025-10-27 14:45:00
WF3,A,T0_HGB,0.6-0.8,2454,2389,65,0.0265,864,2025-12-16 21:35:00,,2025-12-16 14:10:00
WF3,A,T0_HGB,0.8-1.0,3318,3223,95,0.0286,775,2026-02-09 21:30:00,,2026-02-09 21:05:00
WF1,B,T1_HGB,0.4-0.6,443,398,45,0.1016,250,2025-04-11 23:40:00,,2025-04-11 21:40:00
WF1,B,T1_HGB,0.6-0.8,693,649,44,0.0635,253,2025-05-06 09:10:00,,2025-05-06 09:05:00
WF1,B,T1_HGB,0.8-1.0,946,872,74,0.0782,248,2025-05-21 21:40:00,,2025-05-21 21:05:00
WF2,B,T1_HGB,0.4-0.6,1315,1269,46,0.035,461,2025-07-18 21:10:00,,2025-07-18 21:05:00
WF2,B,T1_HGB,0.6-0.8,1776,1699,77,0.0434,530,2025-08-21 22:15:00,,2025-08-21 21:15:00
WF2,B,T1_HGB,0.8-1.0,2306,2232,74,0.0321,455,2025-09-25 21:10:00,,2025-09-25 21:05:00
WF3,B,T1_HGB,0.4-0.6,1595,1514,81,0.0508,859,2025-10-27 21:15:00,,2025-10-27 14:45:00
WF3,B,T1_HGB,0.6-0.8,2454,2389,65,0.0265,864,2025-12-16 21:35:00,,2025-12-16 14:10:00
WF3,B,T1_HGB,0.8-1.0,3318,3223,95,0.0286,775,2026-02-09 21:30:00,,2026-02-09 21:05:00
