event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,15m,active_bear_internal_ob,internal,-1,79205.0,4140,4143,163,79110.0,79300.0,79110.0,79300.0,False,above,1.2543197235376935
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,15m,active_bull_swing_ob,swing,1,77815.0,3925,3960,346,77770.0,77860.0,77770.0,77860.0,False,below,0.34557788301548703
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,15m,active_bull_internal_ob,internal,1,77815.0,3925,3928,378,77770.0,77860.0,77770.0,77860.0,False,below,0.34557788301548703
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,15m,EQL,equal,0,78180.0,3764,3776,530,78180.0,78180.0,,,,above,0.06399590426212723
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,15m,EQL,equal,0,78050.0,2844,2853,1453,78050.0,78050.0,,,,below,0.10239344681940356
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,current_internal_high,internal,0,78790.0,1247,1252,0,78790.0,78790.0,,,,above,0.8447459362600794
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,current_internal_low,internal,0,77960.0,1243,1248,4,77960.0,77960.0,,,,below,0.21758607449123257
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,current_swing_high,swing,0,80130.0,1177,1227,25,80130.0,80130.0,,,,above,2.559836170485089
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,current_swing_low,swing,0,77700.0,1128,1178,74,77700.0,77700.0,,,,below,0.5503647766542942
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,active_bear_internal_ob,internal,-1,79155.0,1227,1231,21,79070.0,79240.0,79070.0,79240.0,False,above,1.2031230001279918
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,active_bear_internal_ob,internal,-1,79365.0,1195,1205,47,79180.0,79550.0,79180.0,79550.0,False,above,1.3439139895046717
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,active_bull_internal_ob,internal,1,77915.0,1150,1151,101,77800.0,78030.0,77800.0,78030.0,False,below,0.12799180852425446
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,active_bull_internal_ob,internal,1,77555.0,860,862,390,77390.0,77720.0,77390.0,77720.0,False,below,0.5247664149494432
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,EQH,equal,0,78160.0,1124,1137,115,78160.0,78160.0,,,,above,0.038397542557276336
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,1h,EQH,equal,0,77740.0,672,680,572,77740.0,77740.0,,,,below,0.49916805324459235
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,current_internal_high,internal,0,79240.0,538,543,12,79240.0,79240.0,,,,above,1.4207090746192244
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,current_internal_low,internal,0,77950.0,549,554,1,77950.0,77950.0,,,,below,0.230385255343658
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,current_swing_high,swing,0,80990.0,466,516,39,80990.0,80990.0,,,,above,3.6605657237936775
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,current_swing_low,swing,0,77700.0,500,550,5,77700.0,77700.0,,,,below,0.5503647766542942
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,active_bear_internal_ob,internal,-1,79025.0,538,546,9,78810.0,79240.0,78810.0,79240.0,False,above,0.8703442979649303
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,active_bear_internal_ob,internal,-1,79800.0,483,484,71,79440.0,80160.0,79440.0,80160.0,False,above,1.6766926916677334
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,active_bull_internal_ob,internal,1,77930.0,506,510,45,77770.0,78090.0,77770.0,78090.0,False,below,0.05119672340970178
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,active_bull_internal_ob,internal,1,77565.0,306,308,247,77160.0,77970.0,77160.0,77970.0,False,below,0.20478689363880712
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,EQH,equal,0,79240.0,538,547,8,79240.0,79240.0,,,,above,1.4207090746192244
CU:5m:1:1:12890:12895:5,CU,2025-08-04 09:05:00,4h,EQL,equal,0,77520.0,342,350,205,77520.0,77520.0,,,,below,0.7807500319979521
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,current_internal_high,internal,0,78580.0,13042,13047,12,78580.0,78580.0,,,,above,0.5116398055768739
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,current_internal_low,internal,0,78480.0,13046,13051,8,78480.0,78480.0,,,,above,0.38372985418265537
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,current_swing_high,swing,0,78570.0,12984,13034,25,78570.0,78570.0,,,,above,0.49884881043745205
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,current_swing_low,swing,0,78330.0,12997,13047,12,78330.0,78330.0,,,,above,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,EQH,equal,0,78180.0,3840,3850,9209,78180.0,78180.0,,,,overlap,0.0
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,active_bear_swing_ob,swing,-1,78570.0,13055,13059,0,78550.0,78590.0,78550.0,78590.0,False,above,0.4732668201586083
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,active_bull_internal_ob,internal,1,78110.0,12924,12938,121,78060.0,78160.0,78060.0,78160.0,False,below,0.025581990278843697
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,active_bull_internal_ob,internal,1,78090.0,12890,12895,164,78050.0,78130.0,78050.0,78130.0,False,below,0.06395497569710924
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,active_bull_internal_ob,internal,1,78000.0,12827,12828,231,77960.0,78040.0,77960.0,78040.0,False,below,0.17907393195190585
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,EQH,equal,0,78230.0,12910,12932,127,78230.0,78230.0,,,,above,0.06395497569710924
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,5m,EQH,equal,0,78130.0,7992,8003,5056,78130.0,78130.0,,,,below,0.06395497569710924
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,current_internal_high,internal,0,78520.0,4334,4339,13,78520.0,78520.0,,,,above,0.4348938347403428
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,current_internal_low,internal,0,78360.0,4337,4342,10,78360.0,78360.0,,,,above,0.23023791250959325
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,current_swing_high,swing,0,78790.0,4286,4336,16,78790.0,78790.0,,,,above,0.7802507035047326
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,current_swing_low,swing,0,78030.0,4295,4345,7,78030.0,78030.0,,,,below,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,EQL,equal,0,78180.0,3764,3776,576,78180.0,78180.0,,,,overlap,0.0
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,active_bull_internal_ob,internal,1,78400.0,4337,4342,10,78360.0,78440.0,78360.0,78440.0,False,above,0.23023791250959325
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,active_bull_internal_ob,internal,1,78115.0,4308,4312,40,78060.0,78170.0,78060.0,78170.0,False,below,0.012790995139421849
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,active_bull_swing_ob,swing,1,77815.0,3925,3960,392,77770.0,77860.0,77770.0,77860.0,False,below,0.40931184446149915
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,EQL,equal,0,78190.0,3773,3787,565,78190.0,78190.0,,,,above,0.012790995139421849
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,15m,EQL,equal,0,78050.0,2844,2853,1499,78050.0,78050.0,,,,below,0.16628293681248402
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,current_internal_high,internal,0,78570.0,1259,1264,2,78570.0,78570.0,,,,above,0.49884881043745205
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,current_internal_low,internal,0,78330.0,1260,1265,1,78330.0,78330.0,,,,above,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,current_swing_high,swing,0,80130.0,1177,1227,39,80130.0,80130.0,,,,above,2.49424405218726
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,current_swing_low,swing,0,77700.0,1128,1178,88,77700.0,77700.0,,,,below,0.6139677666922486
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,EQL,equal,0,78180.0,983,990,276,78180.0,78180.0,,,,overlap,0.0
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,active_bull_internal_ob,internal,1,78380.0,1260,1266,0,78330.0,78430.0,78330.0,78430.0,False,above,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,active_bull_internal_ob,internal,1,77915.0,1150,1151,115,77800.0,78030.0,77800.0,78030.0,False,below,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,active_bull_internal_ob,internal,1,77555.0,860,862,404,77390.0,77720.0,77390.0,77720.0,False,below,0.588385776413405
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,active_bull_swing_ob,swing,1,77555.0,860,880,386,77390.0,77720.0,77390.0,77720.0,False,below,0.588385776413405
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,EQH,equal,0,78400.0,862,871,395,78400.0,78400.0,,,,above,0.28140189306728064
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,1h,EQH,equal,0,78160.0,1124,1137,129,78160.0,78160.0,,,,below,0.025581990278843697
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,current_internal_high,internal,0,78790.0,553,558,3,78790.0,78790.0,,,,above,0.7802507035047326
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,current_internal_low,internal,0,78030.0,554,559,2,78030.0,78030.0,,,,below,0.19186492709132769
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,current_swing_high,swing,0,80990.0,466,516,45,80990.0,80990.0,,,,above,3.594269634177539
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,current_swing_low,swing,0,77700.0,500,550,11,77700.0,77700.0,,,,below,0.6139677666922486
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,active_bear_internal_ob,internal,-1,79025.0,538,546,15,78810.0,79240.0,78810.0,79240.0,False,above,0.8058326937835764
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,active_bear_internal_ob,internal,-1,79800.0,483,484,77,79440.0,80160.0,79440.0,80160.0,False,above,1.6116653875671527
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,active_bull_internal_ob,internal,1,77930.0,506,510,51,77770.0,78090.0,77770.0,78090.0,False,below,0.11511895625479662
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,active_bull_internal_ob,internal,1,77565.0,306,308,253,77160.0,77970.0,77160.0,77970.0,False,below,0.2686108979278588
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,EQH,equal,0,79240.0,538,547,14,79240.0,79240.0,,,,above,1.3558454847787158
CU:5m:1:1:12890:12895:6,CU,2025-08-05 21:05:00,4h,EQL,equal,0,77520.0,342,350,211,77520.0,77520.0,,,,below,0.844205679201842
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,current_internal_high,internal,0,78590.0,13058,13063,5,78590.0,78590.0,,,,above,0.5758894292295879
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,current_internal_low,internal,0,78070.0,13063,13068,0,78070.0,78070.0,,,,below,0.08958280010238034
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,current_swing_high,swing,0,78570.0,12984,13034,34,78570.0,78570.0,,,,above,0.5502943434860507
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,current_swing_low,swing,0,78330.0,12997,13047,21,78330.0,78330.0,,,,above,0.2431533145636038
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,active_bull_internal_ob,internal,1,78110.0,12924,12938,130,78060.0,78160.0,78060.0,78160.0,False,overlap,0.0
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,active_bear_swing_ob,swing,-1,78570.0,13055,13059,9,78550.0,78590.0,78550.0,78590.0,False,above,0.5246992577425135
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,active_bear_internal_ob,internal,-1,78570.0,13055,13059,9,78550.0,78590.0,78550.0,78590.0,False,above,0.5246992577425135
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,active_bull_internal_ob,internal,1,78090.0,12890,12895,173,78050.0,78130.0,78050.0,78130.0,False,below,0.01279754287176862
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,active_bull_swing_ob,swing,1,78000.0,12827,12852,216,77960.0,78040.0,77960.0,78040.0,False,below,0.12797542871768622
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,EQH,equal,0,78180.0,3840,3850,9218,78180.0,78180.0,,,,above,0.05119017148707448
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,5m,EQH,equal,0,78130.0,7992,8003,5065,78130.0,78130.0,,,,below,0.01279754287176862
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,current_internal_high,internal,0,78520.0,4334,4339,16,78520.0,78520.0,,,,above,0.4863066291272076
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,current_internal_low,internal,0,78360.0,4337,4342,13,78360.0,78360.0,,,,above,0.28154594317890963
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,current_swing_high,swing,0,78790.0,4286,4336,19,78790.0,78790.0,,,,above,0.8318402866649603
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,current_swing_low,swing,0,78030.0,4295,4345,10,78030.0,78030.0,,,,below,0.14077297158945482
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,active_bull_internal_ob,internal,1,78115.0,4308,4312,43,78060.0,78170.0,78060.0,78170.0,False,overlap,0.0
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,active_bear_internal_ob,internal,-1,78555.0,4351,4353,2,78520.0,78590.0,78520.0,78590.0,False,above,0.4863066291272076
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,active_bull_swing_ob,swing,1,77815.0,3925,3960,395,77770.0,77860.0,77770.0,77860.0,False,below,0.3583312004095214
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,active_bull_internal_ob,internal,1,77815.0,3925,3928,427,77770.0,77860.0,77770.0,77860.0,False,below,0.3583312004095214
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,EQL,equal,0,78180.0,3764,3776,579,78180.0,78180.0,,,,above,0.05119017148707448
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,15m,EQL,equal,0,78050.0,2844,2853,1502,78050.0,78050.0,,,,below,0.1151778858459176
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,current_internal_high,internal,0,78570.0,1259,1264,2,78570.0,78570.0,,,,above,0.5502943434860507
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,current_internal_low,internal,0,78330.0,1260,1265,1,78330.0,78330.0,,,,above,0.2431533145636038
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,current_swing_high,swing,0,80130.0,1177,1227,39,80130.0,80130.0,,,,above,2.5467110314819554
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,current_swing_low,swing,0,77700.0,1128,1178,88,77700.0,77700.0,,,,below,0.5630918863578193
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,active_bull_internal_ob,internal,1,78380.0,1260,1266,0,78330.0,78430.0,78330.0,78430.0,False,above,0.2431533145636038
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,active_bull_internal_ob,internal,1,77915.0,1150,1151,115,77800.0,78030.0,77800.0,78030.0,False,below,0.14077297158945482
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,active_bull_internal_ob,internal,1,77555.0,860,862,404,77390.0,77720.0,77390.0,77720.0,False,below,0.5374968006142821
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,active_bull_swing_ob,swing,1,77555.0,860,880,386,77390.0,77720.0,77390.0,77720.0,False,below,0.5374968006142821
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,EQH,equal,0,78160.0,1124,1137,129,78160.0,78160.0,,,,above,0.02559508574353724
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,1h,EQH,equal,0,77740.0,672,680,586,77740.0,77740.0,,,,below,0.5119017148707449
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,current_internal_high,internal,0,78790.0,553,558,3,78790.0,78790.0,,,,above,0.8318402866649603
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,current_internal_low,internal,0,78030.0,554,559,2,78030.0,78030.0,,,,below,0.14077297158945482
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,current_swing_high,swing,0,80990.0,466,516,45,80990.0,80990.0,,,,above,3.647299718454057
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,current_swing_low,swing,0,77700.0,500,550,11,77700.0,77700.0,,,,below,0.5630918863578193
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,active_bear_internal_ob,internal,-1,79025.0,538,546,15,78810.0,79240.0,78810.0,79240.0,False,above,0.8574353724084975
CU:5m:1:1:12890:12895:7,CU,2025-08-05 21:50:00,4h,active_bear_internal_ob,internal,-1,79800.0,483,484,77,79440.0,80160.0,79440.0,80160.0,False,above,1.6636805733299207
