目标,模型,预测EXIT_真实优势,预测HOLD_真实优势,两组差值
1.5R,LightGBM,0.165763,0.414817,0.249053
1.5R,线性,0.087041,0.404931,0.317889
2.0R,LightGBM,0.156364,0.492716,0.336352
2.0R,线性,0.156547,0.482743,0.326197
2.5R,LightGBM,0.096827,0.54986,0.453033
2.5R,线性,0.234704,0.537262,0.302558
