目标,模型,预测十分位,状态数,预测平均,真实平均,真实中位数,真实HOLD比例
1.5R,LightGBM,1,2820,-0.040791,0.211108,0.243758,0.6596
1.5R,LightGBM,2,2819,0.133702,0.313465,0.324743,0.6765
1.5R,LightGBM,3,2819,0.221222,0.357231,0.419982,0.6729
1.5R,LightGBM,4,2820,0.289001,0.388269,0.43936,0.6621
1.5R,LightGBM,5,2820,0.350631,0.403153,0.438163,0.6592
1.5R,LightGBM,6,2818,0.408752,0.448078,0.533138,0.659
1.5R,LightGBM,7,2820,0.467155,0.502095,0.596994,0.689
1.5R,LightGBM,8,2819,0.531797,0.484263,0.546836,0.6744
1.5R,LightGBM,9,2819,0.614077,0.511523,0.564028,0.6793
1.5R,LightGBM,10,2820,0.79422,0.389023,0.340347,0.6195
1.5R,线性,1,2820,0.087873,0.227154,0.271932,0.6525
1.5R,线性,2,2819,0.241279,0.332598,0.356032,0.674
1.5R,线性,3,2819,0.311432,0.352755,0.396743,0.6839
1.5R,线性,4,2820,0.364743,0.414328,0.451072,0.695
1.5R,线性,5,2819,0.410342,0.441886,0.459437,0.6939
1.5R,线性,6,2819,0.45118,0.417883,0.480807,0.6708
1.5R,线性,7,2820,0.49429,0.47777,0.528551,0.6837
1.5R,线性,8,2819,0.541287,0.482966,0.520208,0.6662
1.5R,线性,9,2819,0.59789,0.454449,0.439743,0.6293
1.5R,线性,10,2820,0.739301,0.406391,0.337166,0.6021
2.0R,LightGBM,1,3499,-0.017666,0.190677,0.235089,0.6348
2.0R,LightGBM,2,3498,0.169359,0.312667,0.319233,0.6509
2.0R,LightGBM,3,3499,0.272477,0.44181,0.444734,0.6733
2.0R,LightGBM,4,3498,0.354733,0.480586,0.463362,0.6687
2.0R,LightGBM,5,3499,0.424943,0.508123,0.487467,0.6719
2.0R,LightGBM,6,3498,0.491747,0.540087,0.549701,0.6844
2.0R,LightGBM,7,3498,0.556528,0.571394,0.586643,0.6872
2.0R,LightGBM,8,3499,0.629537,0.55805,0.515936,0.6733
2.0R,LightGBM,9,3498,0.726737,0.616429,0.572954,0.6852
2.0R,LightGBM,10,3499,0.933948,0.551146,0.474927,0.657
2.0R,线性,1,3499,0.070249,0.235507,0.23861,0.6153
2.0R,线性,2,3498,0.257429,0.342413,0.315857,0.6541
2.0R,线性,3,3499,0.346299,0.402102,0.370689,0.6748
2.0R,线性,4,3498,0.418067,0.506319,0.488017,0.7164
2.0R,线性,5,3499,0.479792,0.49588,0.490602,0.6876
2.0R,线性,6,3498,0.534851,0.528601,0.534818,0.6858
2.0R,线性,7,3498,0.589064,0.559627,0.535787,0.6861
2.0R,线性,8,3499,0.647835,0.613317,0.578681,0.6911
2.0R,线性,9,3498,0.717824,0.585446,0.519625,0.6472
2.0R,线性,10,3499,0.891317,0.50176,0.391626,0.6285
2.5R,LightGBM,1,3923,-0.00183,0.190228,0.20484,0.597
2.5R,LightGBM,2,3922,0.20648,0.363619,0.33589,0.6461
2.5R,LightGBM,3,3922,0.32151,0.483269,0.391913,0.6525
2.5R,LightGBM,4,3922,0.409236,0.537342,0.473351,0.6749
2.5R,LightGBM,5,3922,0.488102,0.543401,0.480923,0.677
2.5R,LightGBM,6,3922,0.56264,0.568193,0.481891,0.668
2.5R,LightGBM,7,3922,0.63455,0.614381,0.528551,0.6808
2.5R,LightGBM,8,3922,0.715973,0.638633,0.551898,0.681
2.5R,LightGBM,9,3922,0.821882,0.720251,0.641623,0.7162
2.5R,LightGBM,10,3922,1.064979,0.648207,0.541471,0.6764
2.5R,线性,1,3923,0.041243,0.218933,0.190096,0.5835
2.5R,线性,2,3922,0.260553,0.34248,0.300047,0.6453
2.5R,线性,3,3922,0.366021,0.443624,0.375015,0.6719
2.5R,线性,4,3922,0.454181,0.518056,0.459241,0.6925
2.5R,线性,5,3922,0.530394,0.592941,0.548864,0.7101
2.5R,线性,6,3922,0.59962,0.589661,0.554221,0.6869
2.5R,线性,7,3922,0.66463,0.634939,0.564028,0.6884
2.5R,线性,8,3922,0.730944,0.693857,0.594472,0.692
2.5R,线性,9,3922,0.808439,0.684417,0.546822,0.6642
2.5R,线性,10,3922,0.982516,0.588608,0.443232,0.6351
