目标,模型,维度,分层,状态数,真实HOLD比例,模型HOLD比例,分类准确率,真实平均优势,预测平均优势
2.5R,LightGBM,浮盈亏,-0.50~-0.25,3957,0.5936,0.9838,0.6274,0.51602,0.579599
2.5R,LightGBM,浮盈亏,-0.25~0,3217,0.6652,0.9804,0.688,0.578432,0.62244
2.5R,LightGBM,浮盈亏,0~0.25,6758,0.6721,0.9802,0.7245,0.583973,0.630123
2.5R,LightGBM,浮盈亏,0.25~0.50,5544,0.6883,0.9798,0.7401,0.622851,0.610819
2.5R,LightGBM,浮盈亏,0.50~1.00,8436,0.7071,0.9614,0.7528,0.587215,0.531362
2.5R,LightGBM,浮盈亏,R>=1.00,8398,0.7241,0.8937,0.7338,0.422431,0.319349
2.5R,LightGBM,持仓步数,1-2,12371,0.6662,0.9964,0.6985,0.658103,0.687953
2.5R,LightGBM,持仓步数,3-4,8909,0.7038,0.9912,0.7385,0.629702,0.603119
2.5R,LightGBM,持仓步数,5-6,6781,0.6992,0.9844,0.73,0.541683,0.52333
2.5R,LightGBM,持仓步数,7-8,5286,0.6841,0.9811,0.7291,0.446769,0.414128
2.5R,LightGBM,持仓步数,9-11,5874,0.5603,0.7743,0.5909,0.175368,0.147262
2.5R,线性,浮盈亏,R<-0.75,670,0.3328,0.9791,0.3516,0.295949,0.617825
2.5R,线性,浮盈亏,-0.75~-0.50,2241,0.4659,0.9915,0.4983,0.36341,0.628427
2.5R,线性,浮盈亏,-0.50~-0.25,3957,0.5936,0.9922,0.6308,0.51602,0.62842
2.5R,线性,浮盈亏,-0.25~0,3217,0.6652,0.9894,0.6877,0.578432,0.612811
2.5R,线性,浮盈亏,0~0.25,6758,0.6721,0.9913,0.7287,0.583973,0.608036
2.5R,线性,浮盈亏,0.25~0.50,5544,0.6883,0.9861,0.739,0.622851,0.575802
2.5R,线性,浮盈亏,0.50~1.00,8436,0.7071,0.9771,0.753,0.587215,0.514576
2.5R,线性,浮盈亏,R>=1.00,8398,0.7241,0.9502,0.7509,0.422431,0.405735
2.5R,线性,持仓步数,1-2,12371,0.6662,0.9968,0.698,0.658103,0.762107
2.5R,线性,持仓步数,3-4,8909,0.7038,0.9948,0.7394,0.629702,0.628884
2.5R,线性,持仓步数,5-6,6781,0.6992,0.9898,0.7354,0.541683,0.485156
2.5R,线性,持仓步数,7-8,5286,0.6841,0.979,0.7273,0.446769,0.353756
2.5R,线性,持仓步数,9-11,5874,0.5603,0.9014,0.6209,0.175368,0.193981
