candidate_id,symbol,step,bar_index,bar_start_time,open,high,low,close,gap_minutes,contiguous_from_previous,open_atr,high_atr,low_atr,close_atr
AG:5m:0:1:39225:39242:1,AG,9,39826.0,2026-07-09 00:05:00,14057.0009765625,14094.0009765625,14056.0009765625,14088.0009765625,5.0,True,0.26859766794988077,0.9311385822262533,0.25069115675322207,0.8236995150463011
AG:5m:0:1:39225:39242:1,AG,10,39827.0,2026-07-09 00:10:00,14088.0009765625,14116.0009765625,14081.0009765625,14086.0009765625,5.0,True,0.8236995150463011,1.3250818285527453,0.69835393666969,0.7878864926529836
AG:5m:0:1:39225:39242:1,AG,11,39828.0,2026-07-09 00:15:00,14087.0009765625,14103.0009765625,14071.0009765625,14094.0009765625,5.0,True,0.8057930038496424,1.0922971829961818,0.5192888247031029,0.9311385822262533
AG:5m:0:1:39225:39242:1,AG,12,39829.0,2026-07-09 00:20:00,14094.0009765625,14103.0009765625,14073.0009765625,14078.0009765625,5.0,True,0.9311385822262533,1.0922971829961818,0.5551018470964203,0.6446344030797139
AG:5m:0:1:39225:39242:1,AG,13,39830.0,2026-07-09 00:25:00,14078.0009765625,14106.0009765625,14074.0009765625,14098.0009765625,5.0,True,0.6446344030797139,1.1460167165861581,0.5730083582930791,1.0027646270128883
AG:5m:0:1:39225:39242:1,AG,14,39831.0,2026-07-09 00:30:00,14096.0009765625,14110.0009765625,14084.0009765625,14086.0009765625,5.0,True,0.9669516046195709,1.217642761372793,0.7520734702596662,0.7878864926529836
AG:5m:0:1:39225:39242:1,AG,15,39832.0,2026-07-09 00:35:00,14086.0009765625,14119.0009765625,14082.0009765625,14109.0009765625,5.0,True,0.7878864926529836,1.3788013621427213,0.7162604478663488,1.1997362501761342
AG:5m:0:1:39225:39242:1,AG,16,39833.0,2026-07-09 00:40:00,14107.0009765625,14166.0009765625,14099.0009765625,14162.0009765625,5.0,True,1.1639232277828166,2.220407388385681,1.020671138209547,2.148781343599046
AG:5m:0:1:39225:39242:1,AG,17,39834.0,2026-07-09 00:45:00,14162.0009765625,14168.0009765625,14148.0009765625,14162.0009765625,5.0,True,2.148781343599046,2.2562204107789987,1.8980901868458242,2.148781343599046
AG:5m:0:1:39225:39242:1,AG,18,39835.0,2026-07-09 00:50:00,14161.0009765625,14185.0009765625,14149.0009765625,14173.0009765625,5.0,True,2.1308748324023874,2.5606311011221967,1.915996698042483,2.345752966762292
AG:5m:0:1:39225:39242:1,AG,19,39836.0,2026-07-09 00:55:00,14174.0009765625,14188.0009765625,14157.0009765625,14163.0009765625,5.0,True,2.363659477958951,2.614350634712173,2.059248787615753,2.166687854795705
AG:5m:0:1:39225:39242:1,AG,20,39837.0,2026-07-09 01:00:00,14165.0009765625,14165.0009765625,14140.0009765625,14154.0009765625,5.0,True,2.2025008771890224,2.2025008771890224,1.7548380972725546,2.0055292540257765
AG:5m:0:1:39225:39242:1,AG,21,39838.0,2026-07-09 01:05:00,14154.0009765625,14184.0009765625,14150.0009765625,14169.0009765625,5.0,True,2.0055292540257765,2.542724589925538,1.9339032092391417,2.2741269219756575
AG:5m:0:1:39225:39242:1,AG,22,39839.0,2026-07-09 01:10:00,14169.0009765625,14194.0009765625,14162.0009765625,14181.0009765625,5.0,True,2.2741269219756575,2.721789701892125,2.148781343599046,2.489005056335562
