horizon,approx_minutes,feature_set,model,quantile,oos_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,positive_skill_fold_share,median_fold_skill
4,60,F1_DIRECTION,gbr_quantile,0.1,2250,0.001601348808390084,0.0016788011540947157,0.04613550897062457,0.08711111111111111,-0.012888888888888894,0.8,0.047921222580337264
4,60,F1_DIRECTION,gbr_quantile,0.5,2250,0.0030860585144976116,0.0030531110331782963,-0.010791445499778174,0.47644444444444445,-0.023555555555555552,0.2,-0.011703514674208604
4,60,F1_DIRECTION,gbr_quantile,0.9,2250,0.001562581817914512,0.0016121149441501233,0.03072555490869444,0.8982222222222223,-0.001777777777777767,0.6,0.039862798157402124
4,60,F1_DIRECTION,linear_qr,0.1,2250,0.0016855144164117132,0.0016788011540947157,-0.0039988430438133715,0.07822222222222222,-0.021777777777777785,0.6,0.0035968145035664145
4,60,F1_DIRECTION,linear_qr,0.5,2250,0.003071600165280474,0.0030531110331782963,-0.006055833509248654,0.4791111111111111,-0.0208888888888889,0.2,-0.008890690547284308
4,60,F1_DIRECTION,linear_qr,0.9,2250,0.0016114199691169581,0.0016121149441501233,0.00043109521171991183,0.896,-0.0040000000000000036,0.6,0.0014348086891694534
4,60,F2_ACTIVITY,gbr_quantile,0.1,2250,0.0016072966688029627,0.0016788011540947157,0.04259258764347906,0.08711111111111111,-0.012888888888888894,0.8,0.04117002715015794
4,60,F2_ACTIVITY,gbr_quantile,0.5,2250,0.0030892479967751887,0.0030531110331782963,-0.011836111823052109,0.4751111111111111,-0.024888888888888905,0.0,-0.00789953449617875
4,60,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0015632863461972307,0.0016121149441501233,0.03028853378605345,0.8937777777777778,-0.00622222222222224,0.6,0.048220764249589876
4,60,F2_ACTIVITY,linear_qr,0.1,2250,0.0016886109362549701,0.0016788011540947157,-0.00584332583780256,0.07733333333333334,-0.02266666666666667,0.6,0.002538838223409612
4,60,F2_ACTIVITY,linear_qr,0.5,2250,0.003075347154446658,0.0030531110331782963,-0.007283102719396917,0.4817777777777778,-0.018222222222222195,0.2,-0.008444810671346836
4,60,F2_ACTIVITY,linear_qr,0.9,2250,0.001619435202276404,0.0016121149441501233,-0.004540779274358586,0.8942222222222223,-0.005777777777777771,0.4,-0.0004072930361904703
4,60,F3_VOL,gbr_quantile,0.1,2250,0.0016031928343253577,0.0016788011540947157,0.0450370906554024,0.09155555555555556,-0.008444444444444449,0.8,0.04975368270954861
4,60,F3_VOL,gbr_quantile,0.5,2250,0.0030960633125896833,0.0030531110331782963,-0.014068364676103284,0.476,-0.02400000000000002,0.0,-0.010093101651209135
4,60,F3_VOL,gbr_quantile,0.9,2250,0.0015640990477255004,0.0016121149441501233,0.029784412456976495,0.8888888888888888,-0.011111111111111183,0.6,0.0334603792513416
4,60,F3_VOL,linear_qr,0.1,2250,0.0016754036038879997,0.0016788011540947157,0.0020237954914607004,0.07955555555555556,-0.020444444444444446,0.8,0.009359309973959062
4,60,F3_VOL,linear_qr,0.5,2250,0.0030774892674710046,0.0030531110331782963,-0.007984719202082324,0.48088888888888887,-0.019111111111111134,0.2,-0.0099537483873271
4,60,F3_VOL,linear_qr,0.9,2250,0.001621294238855801,0.0016121149441501233,-0.005693945545872214,0.8951111111111111,-0.004888888888888943,0.2,-0.0004055963831779419
4,60,F4_TAIL,gbr_quantile,0.1,2250,0.0016340804725813057,0.0016788011540947157,0.02663846245538548,0.09022222222222222,-0.009777777777777788,0.8,0.03054197015648008
4,60,F4_TAIL,gbr_quantile,0.5,2250,0.0030978666839709314,0.0030531110331782963,-0.014659031494850039,0.47333333333333333,-0.026666666666666672,0.0,-0.015381402056694249
4,60,F4_TAIL,gbr_quantile,0.9,2250,0.001567997537818605,0.0016121149441501233,0.02736616671882297,0.8902222222222222,-0.009777777777777774,0.6,0.03334888804265468
4,60,F4_TAIL,linear_qr,0.1,2250,0.0016920406630083526,0.0016788011540947157,-0.007886287712719708,0.08088888888888889,-0.01911111111111112,0.4,-0.0021497125251603855
4,60,F4_TAIL,linear_qr,0.5,2250,0.0030849018337243232,0.0030531110331782963,-0.010412592336326743,0.4791111111111111,-0.0208888888888889,0.2,-0.012893258902930471
4,60,F4_TAIL,linear_qr,0.9,2250,0.001633578572429872,0.0016121149441501233,-0.013313956525019321,0.8911111111111111,-0.008888888888888946,0.4,-0.007951010916724455
