horizon,feature_set,model,decile,n,mean_pred_width,median_abs_return,mean_abs_return,median_path_range,mean_path_range
4,F1_DIRECTION,linear_qr,1,225,0.01688805920238378,0.0033273799877719,0.004864068630045606,0.008110231128610099,0.01028210891118111
4,F1_DIRECTION,linear_qr,2,225,0.01816161597271165,0.0042262642147733,0.0063658753649269584,0.010093813169218799,0.0118197824684441
4,F1_DIRECTION,linear_qr,3,225,0.018799995438679665,0.0033608865958039,0.0056113345716038,0.0085968360850085,0.011082405400249445
4,F1_DIRECTION,linear_qr,4,225,0.019287988191744626,0.0036753691679109,0.005807508364327746,0.0086207430439071,0.01115638485773545
4,F1_DIRECTION,linear_qr,5,225,0.019733272741484315,0.0033762568896238,0.005844719095296607,0.0099439242677678,0.011393162447697445
4,F1_DIRECTION,linear_qr,6,225,0.020196743124076644,0.0042771937912878,0.00634777859211565,0.010180947921700299,0.011921740034438494
4,F1_DIRECTION,linear_qr,7,225,0.02066197160255308,0.0040299047063586,0.006333424531311429,0.0099188986445811,0.01216737984033995
4,F1_DIRECTION,linear_qr,8,225,0.021203079088054716,0.004389698354489,0.006382514768059185,0.0104208223349827,0.01259426009251548
4,F1_DIRECTION,linear_qr,9,225,0.021881205944803344,0.0045649918158214,0.00641634656675054,0.0101850602828102,0.012248950584599664
4,F1_DIRECTION,linear_qr,10,225,0.023640169907030613,0.005097356169782,0.007034081457565184,0.0120049460968232,0.014113920610850378
4,F1_DIRECTION,gbr_quantile,1,225,0.009923645630971955,0.0022346378014163,0.0029382250827883686,0.0054886651850620995,0.0066771336529113795
4,F1_DIRECTION,gbr_quantile,2,225,0.01159881088243407,0.0027507043595306,0.004216811051586772,0.0068577149400448,0.008476928004506374
4,F1_DIRECTION,gbr_quantile,3,225,0.01341545961331515,0.0032766254898455,0.004230767483233808,0.0071739816646049,0.00878476019281236
4,F1_DIRECTION,gbr_quantile,4,225,0.01804492892534767,0.0043153828774712,0.006049587933229918,0.01085925714335,0.012321689312067754
4,F1_DIRECTION,gbr_quantile,5,225,0.020213423648188178,0.0042321904496044,0.006569669458270327,0.010940117437675902,0.013114943157885908
4,F1_DIRECTION,gbr_quantile,6,225,0.02098852089182448,0.0048435884097179,0.0072274798099084235,0.0111115702977877,0.013338825341201515
4,F1_DIRECTION,gbr_quantile,7,225,0.02178211570206834,0.0049273319695288,0.007734297192665706,0.011577045632744,0.013855869771990218
4,F1_DIRECTION,gbr_quantile,8,225,0.022618379595082623,0.0044546810617628,0.006467719853888134,0.0102690388961884,0.01250100269671454
4,F1_DIRECTION,gbr_quantile,9,225,0.023891448791007106,0.0053490365570911,0.007494370128913871,0.011914670252667799,0.013923384644642742
4,F1_DIRECTION,gbr_quantile,10,225,0.028314009069782285,0.0067382861820544,0.008078723947517373,0.0135453844413491,0.015785558473318726
4,F2_ACTIVITY,linear_qr,1,225,0.016544286784115642,0.0033574323223654,0.004849549095188781,0.0085938315821396,0.010414568076491895
4,F2_ACTIVITY,linear_qr,2,225,0.01793162632727003,0.0040213601997812,0.0060719982759182955,0.0096503408038589,0.011467009787829713
4,F2_ACTIVITY,linear_qr,3,225,0.018640586582534095,0.0036785553648595,0.00557035762659471,0.009480505993010601,0.011321045399395923
4,F2_ACTIVITY,linear_qr,4,225,0.019197246774295646,0.003568736201276,0.005745275527285566,0.008590822911403,0.01096749219634843
4,F2_ACTIVITY,linear_qr,5,225,0.019672239220765407,0.0033131692652578,0.006125109122375371,0.009512899643006001,0.011804198130570487
4,F2_ACTIVITY,linear_qr,6,225,0.020201462733045877,0.0040108582729474,0.005775956712831897,0.0094380190648542,0.011316254896180513
4,F2_ACTIVITY,linear_qr,7,225,0.020732928927225138,0.0042719660117956,0.006522504893397188,0.0105688648919132,0.012304803998912879
4,F2_ACTIVITY,linear_qr,8,225,0.021364038719397106,0.0044268069340701,0.0072934456499137885,0.010535928638675699,0.013080877367160472
4,F2_ACTIVITY,linear_qr,9,225,0.022043852907777276,0.0046642433420157,0.00638654724692627,0.0100247927431153,0.012278080060121321
4,F2_ACTIVITY,linear_qr,10,225,0.023832767125175697,0.0050701718925677,0.006666907791570834,0.0118586834751617,0.013825765335039876
4,F2_ACTIVITY,gbr_quantile,1,225,0.010146903189646856,0.0023310033864756,0.0032551060044293018,0.0058616814963316,0.007287708321031276
4,F2_ACTIVITY,gbr_quantile,2,225,0.011812104080566528,0.002761161441328,0.004307908934313985,0.0069681738151182995,0.008637741461397631
4,F2_ACTIVITY,gbr_quantile,3,225,0.013587346493861022,0.0032740094028965,0.0038273642894346453,0.0067957492121361995,0.008173392162256064
4,F2_ACTIVITY,gbr_quantile,4,225,0.017442117571605707,0.0052190369325763,0.006663692748049901,0.0111942634205603,0.01232371531620122
4,F2_ACTIVITY,gbr_quantile,5,225,0.019371262070872624,0.0046823048581677,0.007158760529512642,0.011222136553541,0.013444560211033492
4,F2_ACTIVITY,gbr_quantile,6,225,0.02027768492543633,0.0039393516630957,0.0064315062914386285,0.0104625082512508,0.01291035587462769
4,F2_ACTIVITY,gbr_quantile,7,225,0.021225258800106457,0.0044017538320356,0.006192540629241338,0.010270930952094,0.012126522636066051
4,F2_ACTIVITY,gbr_quantile,8,225,0.022280044641222834,0.005074183349365,0.00745450438795441,0.0118076812865111,0.01384905336404525
4,F2_ACTIVITY,gbr_quantile,9,225,0.024117346023801108,0.0059025361412596,0.007697507596203014,0.012534523648354098,0.014246035406484146
4,F2_ACTIVITY,gbr_quantile,10,225,0.028680343652282836,0.006478504843203,0.008018760531424834,0.0132870148298161,0.015781010494908695
4,F3_VOL,linear_qr,1,225,0.01617188894847218,0.0036637777852143,0.005074629129391934,0.0091195802542186,0.010571309956574335
4,F3_VOL,linear_qr,2,225,0.017550239987535944,0.003568736201276,0.005842862605586527,0.009172794410297,0.01134726335993277
4,F3_VOL,linear_qr,3,225,0.018217478417232355,0.0037150909020024,0.005280049660315904,0.0082491573226915,0.010146581137720953
4,F3_VOL,linear_qr,4,225,0.018800003770650872,0.0036491798391301,0.006154868628173913,0.009480505993010601,0.011565001067632608
4,F3_VOL,linear_qr,5,225,0.01935927720503718,0.0034414979886652,0.005717534769197647,0.0090030967196944,0.010838899443647354
4,F3_VOL,linear_qr,6,225,0.019890718214058113,0.003539826705124,0.006224733445145548,0.0099034337634798,0.01202464575782998
4,F3_VOL,linear_qr,7,225,0.020427641477014133,0.0039942635641722,0.006308525899800615,0.010555355088315701,0.012513032052700553
4,F3_VOL,linear_qr,8,225,0.02098326377763382,0.0045277153368643,0.0073281296440312945,0.011019199400993801,0.01327627873941193
4,F3_VOL,linear_qr,9,225,0.021822900302648978,0.0045530711397754,0.006451348548294271,0.0107926002099873,0.013236748681290753
