horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_1,standardized_coefficient,-3.4418496747123465e-05,3.4418496747123465e-05
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_4,standardized_coefficient,-0.00046303056327895903,0.00046303056327895903
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_8,standardized_coefficient,0.00011430701023692543,0.00011430701023692543
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_ret_16,standardized_coefficient,0.0017233211462514525,0.0017233211462514525
4,F1_DIRECTION,linear_qr,0.1,2,feat_15m_location_32,standardized_coefficient,0.0002007200802502238,0.0002007200802502238
4,F1_DIRECTION,linear_qr,0.1,2,feat_time_bars_since_segment_start,standardized_coefficient,-0.0009041079851489586,0.0009041079851489586
4,F1_DIRECTION,linear_qr,0.1,2,feat_time_after_long_gap,standardized_coefficient,-0.00026047439891999064,0.00026047439891999064
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_1,standardized_coefficient,2.807290230496974e-05,2.807290230496974e-05
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_4,standardized_coefficient,-0.0002567877340276777,0.0002567877340276777
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_8,standardized_coefficient,0.0008037632004026618,0.0008037632004026618
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_ret_16,standardized_coefficient,-0.0003576454188719943,0.0003576454188719943
4,F1_DIRECTION,linear_qr,0.5,2,feat_15m_location_32,standardized_coefficient,3.3912901797096333e-06,3.3912901797096333e-06
4,F1_DIRECTION,linear_qr,0.5,2,feat_time_bars_since_segment_start,standardized_coefficient,-8.457194866860084e-05,8.457194866860084e-05
4,F1_DIRECTION,linear_qr,0.5,2,feat_time_after_long_gap,standardized_coefficient,-0.0005302620901480302,0.0005302620901480302
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_1,standardized_coefficient,-0.0008436853236214267,0.0008436853236214267
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_4,standardized_coefficient,0.0006929714163383771,0.0006929714163383771
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_8,standardized_coefficient,0.0009442169630056406,0.0009442169630056406
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_ret_16,standardized_coefficient,-0.001811479317681232,0.001811479317681232
4,F1_DIRECTION,linear_qr,0.9,2,feat_15m_location_32,standardized_coefficient,0.0007890218223720141,0.0007890218223720141
4,F1_DIRECTION,linear_qr,0.9,2,feat_time_bars_since_segment_start,standardized_coefficient,-0.0011023747326706667,0.0011023747326706667
4,F1_DIRECTION,linear_qr,0.9,2,feat_time_after_long_gap,standardized_coefficient,-0.00011822873486698369,0.00011822873486698369
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_ret_1,standardized_coefficient,-7.642226085993801e-05,7.642226085993801e-05
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_ret_4,standardized_coefficient,-0.0006765611326950545,0.0006765611326950545
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_ret_8,standardized_coefficient,-5.109736521049253e-05,5.109736521049253e-05
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_ret_16,standardized_coefficient,0.0001907108108642413,0.0001907108108642413
4,F1_DIRECTION,linear_qr,0.1,3,feat_15m_location_32,standardized_coefficient,0.0017093897258439205,0.0017093897258439205
4,F1_DIRECTION,linear_qr,0.1,3,feat_time_bars_since_segment_start,standardized_coefficient,-0.000525102565929843,0.000525102565929843
4,F1_DIRECTION,linear_qr,0.1,3,feat_time_after_long_gap,standardized_coefficient,-0.00019265518623665288,0.00019265518623665288
4,F1_DIRECTION,linear_qr,0.5,3,feat_15m_ret_1,standardized_coefficient,7.263600325409078e-05,7.263600325409078e-05
4,F1_DIRECTION,linear_qr,0.5,3,feat_15m_ret_4,standardized_coefficient,-0.00031911454058852653,0.00031911454058852653
4,F1_DIRECTION,linear_qr,0.5,3,feat_15m_ret_8,standardized_coefficient,0.0007338801840364883,0.0007338801840364883
4,F1_DIRECTION,linear_qr,0.5,3,feat_15m_ret_16,standardized_coefficient,-0.00046145652284973005,0.00046145652284973005
4,F1_DIRECTION,linear_qr,0.5,3,feat_15m_location_32,standardized_coefficient,0.00012264370779789335,0.00012264370779789335
4,F1_DIRECTION,linear_qr,0.5,3,feat_time_bars_since_segment_start,standardized_coefficient,-0.00015039211547376963,0.00015039211547376963
4,F1_DIRECTION,linear_qr,0.5,3,feat_time_after_long_gap,standardized_coefficient,-0.0005155903334089809,0.0005155903334089809
4,F1_DIRECTION,linear_qr,0.9,3,feat_15m_ret_1,standardized_coefficient,-0.0007141618041529864,0.0007141618041529864
4,F1_DIRECTION,linear_qr,0.9,3,feat_15m_ret_4,standardized_coefficient,0.0006950982080809614,0.0006950982080809614
4,F1_DIRECTION,linear_qr,0.9,3,feat_15m_ret_8,standardized_coefficient,0.000660640755258153,0.000660640755258153
4,F1_DIRECTION,linear_qr,0.9,3,feat_15m_ret_16,standardized_coefficient,-0.0022070070605744114,0.0022070070605744114
4,F1_DIRECTION,linear_qr,0.9,3,feat_15m_location_32,standardized_coefficient,0.0015765464273175133,0.0015765464273175133
4,F1_DIRECTION,linear_qr,0.9,3,feat_time_bars_since_segment_start,standardized_coefficient,-0.0008858715146892717,0.0008858715146892717
4,F1_DIRECTION,linear_qr,0.9,3,feat_time_after_long_gap,standardized_coefficient,-0.00014544429799691604,0.00014544429799691604
4,F1_DIRECTION,linear_qr,0.1,4,feat_15m_ret_1,standardized_coefficient,-7.971462356801389e-05,7.971462356801389e-05
4,F1_DIRECTION,linear_qr,0.1,4,feat_15m_ret_4,standardized_coefficient,-0.0006615898703439851,0.0006615898703439851
4,F1_DIRECTION,linear_qr,0.1,4,feat_15m_ret_8,standardized_coefficient,5.8918751078484286e-05,5.8918751078484286e-05
4,F1_DIRECTION,linear_qr,0.1,4,feat_15m_ret_16,standardized_coefficient,-7.722626970208915e-07,7.722626970208915e-07
4,F1_DIRECTION,linear_qr,0.1,4,feat_15m_location_32,standardized_coefficient,0.00180386756950855,0.00180386756950855
4,F1_DIRECTION,linear_qr,0.1,4,feat_time_bars_since_segment_start,standardized_coefficient,-0.00025439867933167514,0.00025439867933167514
4,F1_DIRECTION,linear_qr,0.1,4,feat_time_after_long_gap,standardized_coefficient,-0.00026850318703643204,0.00026850318703643204
4,F1_DIRECTION,linear_qr,0.5,4,feat_15m_ret_1,standardized_coefficient,0.00012692366450273266,0.00012692366450273266
4,F1_DIRECTION,linear_qr,0.5,4,feat_15m_ret_4,standardized_coefficient,-0.00021568421536148185,0.00021568421536148185
4,F1_DIRECTION,linear_qr,0.5,4,feat_15m_ret_8,standardized_coefficient,0.0005269697475857394,0.0005269697475857394
4,F1_DIRECTION,linear_qr,0.5,4,feat_15m_ret_16,standardized_coefficient,-0.00046486155315771224,0.00046486155315771224
4,F1_DIRECTION,linear_qr,0.5,4,feat_15m_location_32,standardized_coefficient,0.0001628978766712229,0.0001628978766712229
