horizon,feature_set,model,fold,crossing_rate,ordered_share,interval_80_coverage_ordered,baseline_interval_80_coverage,interval_score,baseline_interval_score,interval_score_skill,q50_sign_accuracy,q50_spearman
4,F1_DIRECTION,linear_qr,0,0.0,1.0,0.7533333333333333,0.72,0.04250702594711514,0.042008127272837974,-0.01187624173381674,0.4666666666666667,-0.05918653291083031
4,F1_DIRECTION,linear_qr,1,0.0,1.0,0.8333333333333334,0.8377777777777777,0.03430724943593529,0.034762337003117746,0.013091397368987012,0.47333333333333333,-0.13145204442003985
4,F1_DIRECTION,linear_qr,2,0.0,1.0,0.8177777777777778,0.8177777777777778,0.031010575377838894,0.030447962640380955,-0.018477845105858925,0.5377777777777778,-0.020340709501446102
4,F1_DIRECTION,linear_qr,3,0.0,1.0,0.8555555555555555,0.8666666666666667,0.025864073798293374,0.0260445255072859,0.0069285850088550704,0.4888888888888889,-0.034527655125098825
4,F1_DIRECTION,linear_qr,4,0.0,1.0,0.8288888888888889,0.8266666666666667,0.03115779471725085,0.031282852488619374,0.0039976460399197,0.49777777777777776,0.06798934210339619
4,F1_DIRECTION,gbr_quantile,0,0.0,1.0,0.72,0.72,0.04227728057517977,0.042008127272837974,-0.006407172131089656,0.45111111111111113,-0.03396883289343014
4,F1_DIRECTION,gbr_quantile,1,0.0,1.0,0.82,0.8377777777777777,0.03231905860599905,0.034762337003117746,0.07028521692599576,0.5488888888888889,-0.006949896462009648
4,F1_DIRECTION,gbr_quantile,2,0.0,1.0,0.82,0.8177777777777778,0.02997698810977212,0.030447962640380955,0.015468178812864553,0.5111111111111111,0.08449674926779066
4,F1_DIRECTION,gbr_quantile,3,0.0,1.0,0.8555555555555555,0.8666666666666667,0.023819092221297977,0.0260445255072859,0.0854472578264236,0.4911111111111111,-0.04938166417156541
4,F1_DIRECTION,gbr_quantile,4,0.0,1.0,0.84,0.8266666666666667,0.029804111802980905,0.031282852488619374,0.047270007943694736,0.5022222222222222,0.06311541672064531
4,F2_ACTIVITY,linear_qr,0,0.0,1.0,0.7533333333333333,0.72,0.042456080502388784,0.042008127272837974,-0.010663489630028167,0.48,-0.052118514235247757
4,F2_ACTIVITY,linear_qr,1,0.0,1.0,0.8333333333333334,0.8377777777777777,0.03401883207773782,0.034762337003117746,0.021388231904927446,0.48,-0.0742617025026199
4,F2_ACTIVITY,linear_qr,2,0.0,1.0,0.8088888888888889,0.8177777777777778,0.03178822605455947,0.030447962640380955,-0.04401816403968595,0.5222222222222223,-0.08655720110551987
4,F2_ACTIVITY,linear_qr,3,0.0,1.0,0.8555555555555555,0.8666666666666667,0.025983399219435602,0.0260445255072859,0.002346991801912335,0.48,-0.06078491277649858
4,F2_ACTIVITY,linear_qr,4,0.0,1.0,0.8333333333333334,0.8266666666666667,0.03115576907244702,0.031282852488619374,0.004062398600593875,0.4822222222222222,0.08224778335523583
4,F2_ACTIVITY,gbr_quantile,0,0.0,1.0,0.7066666666666667,0.72,0.04265238272598211,0.042008127272837974,-0.015336447848764312,0.4577777777777778,-0.0654633134753448
4,F2_ACTIVITY,gbr_quantile,1,0.0,1.0,0.8222222222222222,0.8377777777777777,0.032149960701638516,0.034762337003117746,0.07514961670283937,0.5488888888888889,0.016745894497974114
4,F2_ACTIVITY,gbr_quantile,2,0.0,1.0,0.8155555555555556,0.8177777777777778,0.030006248873157434,0.030447962640380955,0.014507169902977624,0.4888888888888889,0.010175196290720244
4,F2_ACTIVITY,gbr_quantile,3,0.0,1.0,0.86,0.8666666666666667,0.02382326970382698,0.0260445255072859,0.0852868601056882,0.5044444444444445,-0.012781565689945453
4,F2_ACTIVITY,gbr_quantile,4,0.0,1.0,0.8288888888888889,0.8266666666666667,0.029897288745404624,0.031282852488619374,0.04429147705500369,0.4777777777777778,0.03599939357715259
4,F3_VOL,linear_qr,0,0.0,1.0,0.7511111111111111,0.72,0.04189250044872467,0.042008127272837974,0.0027524869976307542,0.4888888888888889,0.05487968022491243
