horizon,approx_minutes,feature_set,model,quantile,fold,train_rows,test_rows,purge_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,baseline_calibration
4,60,F2_ACTIVITY,gbr_quantile,0.9,4,2800,450,4,0.0014198884932965724,0.0015010705420276313,0.05408276723717387,0.9088888888888889,0.008888888888888835,0.9022222222222223
4,60,F3_VOL,linear_qr,0.1,0,1000,450,4,0.0022013389816436615,0.0022131635591266297,0.005342839409318012,0.11777777777777777,0.017777777777777767,0.14222222222222222
4,60,F3_VOL,linear_qr,0.5,0,1000,450,4,0.0038967068249024304,0.0038965812717716643,-3.2221355595885015e-05,0.5355555555555556,0.03555555555555556,0.5333333333333333
4,60,F3_VOL,linear_qr,0.9,0,1000,450,4,0.0019879110632288056,0.0019876491681571676,-0.00013176121613089897,0.8688888888888889,-0.03111111111111109,0.8622222222222222
4,60,F3_VOL,linear_qr,0.1,1,1450,450,4,0.0015722634088166368,0.001600511023573019,0.01764912227428561,0.06222222222222222,-0.037777777777777785,0.057777777777777775
4,60,F3_VOL,linear_qr,0.5,1,1450,450,4,0.003097652137044973,0.0030266058746611806,-0.023473906192607696,0.5044444444444445,0.004444444444444473,0.5133333333333333
4,60,F3_VOL,linear_qr,0.9,1,1450,450,4,0.0018114631274359473,0.001875722676738755,0.03425855543556844,0.8977777777777778,-0.0022222222222222365,0.8955555555555555
4,60,F3_VOL,linear_qr,0.1,2,1900,450,4,0.0016599054930541025,0.0016032818951619134,-0.035317306372046886,0.08222222222222222,-0.01777777777777778,0.08
4,60,F3_VOL,linear_qr,0.5,2,1900,450,4,0.002902699810758679,0.0028605489099869834,-0.014735249107097781,0.49777777777777776,-0.0022222222222222365,0.48444444444444446
4,60,F3_VOL,linear_qr,0.9,2,1900,450,4,0.0015453178037159864,0.001441514368876182,-0.07200998968933647,0.8911111111111111,-0.008888888888888946,0.8977777777777778
4,60,F3_VOL,linear_qr,0.1,3,2350,450,4,0.0013315250359267378,0.0013498345857777092,0.013564291539042372,0.051111111111111114,-0.04888888888888889,0.042222222222222223
4,60,F3_VOL,linear_qr,0.5,3,2350,450,4,0.002611215685694306,0.0025854804636983035,-0.0099537483873271,0.4288888888888889,-0.07111111111111112,0.42
4,60,F3_VOL,linear_qr,0.9,3,2350,450,4,0.001260099829087893,0.0012546179649508802,-0.004369349308040116,0.9044444444444445,0.004444444444444473,0.9088888888888889
4,60,F3_VOL,linear_qr,0.1,4,2800,450,4,0.0016119850999988588,0.001627214706834306,0.009359309973959062,0.08444444444444445,-0.015555555555555559,0.07555555555555556
4,60,F3_VOL,linear_qr,0.5,4,2800,450,4,0.0028791718789546363,0.002896338645773347,0.005927057888676979,0.43777777777777777,-0.062222222222222234,0.44
4,60,F3_VOL,linear_qr,0.9,4,2800,450,4,0.0015016793708103728,0.0015010705420276313,-0.0004055963831779419,0.9133333333333333,0.013333333333333308,0.9022222222222223
4,60,F3_VOL,gbr_quantile,0.1,0,1000,450,4,0.0022451106723995044,0.0022131635591266297,-0.014435043962806704,0.16,0.06,0.14222222222222222
4,60,F3_VOL,gbr_quantile,0.5,0,1000,450,4,0.003980587251014421,0.0038965812717716643,-0.021558893138282187,0.5377777777777778,0.0377777777777778,0.5333333333333333
4,60,F3_VOL,gbr_quantile,0.9,0,1000,450,4,0.0020002929793024723,0.0019876491681571676,-0.00636118855775103,0.86,-0.040000000000000036,0.8622222222222222
4,60,F3_VOL,gbr_quantile,0.1,1,1450,450,4,0.0014410358321811996,0.001600511023573019,0.09964017057239827,0.06888888888888889,-0.031111111111111117,0.057777777777777775
4,60,F3_VOL,gbr_quantile,0.5,1,1450,450,4,0.003097512839599261,0.0030266058746611806,-0.023427881883041124,0.49777777777777776,-0.0022222222222222365,0.5133333333333333
4,60,F3_VOL,gbr_quantile,0.9,1,1450,450,4,0.0018129602846047345,0.001875722676738755,0.0334603792513416,0.88,-0.020000000000000018,0.8955555555555555
4,60,F3_VOL,gbr_quantile,0.1,2,1900,450,4,0.0015235127164560638,0.0016032818951619134,0.04975368270954861,0.09555555555555556,-0.004444444444444445,0.08
4,60,F3_VOL,gbr_quantile,0.5,2,1900,450,4,0.0028894207209137373,0.0028605489099869834,-0.010093101651209135,0.4888888888888889,-0.011111111111111127,0.48444444444444446
4,60,F3_VOL,gbr_quantile,0.9,2,1900,450,4,0.001442139157303894,0.001441514368876182,-0.0004334250432751485,0.8955555555555555,-0.004444444444444473,0.8977777777777778
4,60,F3_VOL,gbr_quantile,0.1,3,2350,450,4,0.0012327569206626214,0.0013498345857777092,0.08673482391743081,0.05555555555555555,-0.04444444444444445,0.042222222222222223
4,60,F3_VOL,gbr_quantile,0.5,3,2350,450,4,0.0026104131351772785,0.0025854804636983035,-0.00964334166474834,0.42,-0.08000000000000002,0.42
4,60,F3_VOL,gbr_quantile,0.9,3,2350,450,4,0.0011595525479305491,0.0012546179649508802,0.07577240217826231,0.9044444444444445,0.004444444444444473,0.9088888888888889
4,60,F3_VOL,gbr_quantile,0.1,4,2800,450,4,0.0015735480299273992,0.001627214706834306,0.03298069804894621,0.07777777777777778,-0.022222222222222227,0.07555555555555556
4,60,F3_VOL,gbr_quantile,0.5,4,2800,450,4,0.002902382616243719,0.002896338645773347,-0.002086762360883343,0.43555555555555553,-0.06444444444444447,0.44
4,60,F3_VOL,gbr_quantile,0.9,4,2800,450,4,0.0014055502694858518,0.0015010705420276313,0.06363476590030981,0.9044444444444445,0.004444444444444473,0.9022222222222223
4,60,F4_TAIL,linear_qr,0.1,0,1000,450,4,0.002230826061901882,0.0022131635591266297,-0.00798065859272623,0.10666666666666667,0.006666666666666668,0.14222222222222222
4,60,F4_TAIL,linear_qr,0.5,0,1000,450,4,0.0038836865712907833,0.0038965812717716643,0.0033092343214538023,0.56,0.06000000000000005,0.5333333333333333
4,60,F4_TAIL,linear_qr,0.9,0,1000,450,4,0.0020178856146942665,0.0019876491681571676,-0.01521216471271547,0.8666666666666667,-0.033333333333333326,0.8622222222222222
4,60,F4_TAIL,linear_qr,0.1,1,1450,450,4,0.0016039516621670512,0.001600511023573019,-0.0021497125251603855,0.06222222222222222,-0.037777777777777785,0.057777777777777775
4,60,F4_TAIL,linear_qr,0.5,1,1450,450,4,0.0030776754546055136,0.0030266058746611806,-0.016873548145759143,0.4911111111111111,-0.00888888888888889,0.5133333333333333
4,60,F4_TAIL,linear_qr,0.9,1,1450,450,4,0.0018132471128413119,0.001875722676738755,0.033307463129926496,0.9022222222222223,0.0022222222222222365,0.8955555555555555
4,60,F4_TAIL,linear_qr,0.1,2,1900,450,4,0.0016837939224152365,0.0016032818951619134,-0.05021701267648404,0.09333333333333334,-0.006666666666666668,0.08
4,60,F4_TAIL,linear_qr,0.5,2,1900,450,4,0.0029216764778849627,0.0028605489099869834,-0.021369174176524508,0.4888888888888889,-0.011111111111111127,0.48444444444444446
4,60,F4_TAIL,linear_qr,0.9,2,1900,450,4,0.001574029360898711,0.001441514368876182,-0.09192762478381611,0.8844444444444445,-0.015555555555555545,0.8977777777777778
4,60,F4_TAIL,linear_qr,0.1,3,2350,450,4,0.001331431368473361,0.0013498345857777092,0.013633683340351643,0.05555555555555555,-0.04444444444444445,0.042222222222222223
4,60,F4_TAIL,linear_qr,0.5,3,2350,450,4,0.002618815732705234,0.0025854804636983035,-0.012893258902930471,0.42444444444444446,-0.07555555555555554,0.42
4,60,F4_TAIL,linear_qr,0.9,3,2350,450,4,0.0012645934460865232,0.0012546179649508802,-0.007951010916724455,0.8933333333333333,-0.00666666666666671,0.9088888888888889
4,60,F4_TAIL,linear_qr,0.1,4,2800,450,4,0.001610200300084231,0.001627214706834306,0.01045615349874518,0.08666666666666667,-0.013333333333333336,0.07555555555555556
4,60,F4_TAIL,linear_qr,0.5,4,2800,450,4,0.0029226549321351206,0.002896338645773347,-0.00908605297249232,0.4311111111111111,-0.06888888888888889,0.44
4,60,F4_TAIL,linear_qr,0.9,4,2800,450,4,0.0014981373276285472,0.0015010705420276313,0.00195408164836941,0.9088888888888889,0.008888888888888835,0.9022222222222223
4,60,F4_TAIL,gbr_quantile,0.1,0,1000,450,4,0.002253521474759423,0.0022131635591266297,-0.018235396776874246,0.14888888888888888,0.04888888888888887,0.14222222222222222
4,60,F4_TAIL,gbr_quantile,0.5,0,1000,450,4,0.003956516154959369,0.0038965812717716643,-0.015381402056694249,0.5488888888888889,0.04888888888888887,0.5333333333333333
4,60,F4_TAIL,gbr_quantile,0.9,0,1000,450,4,0.0019977602570851547,0.0019876491681571676,-0.005086958548807363,0.8622222222222222,-0.0377777777777778,0.8622222222222222
4,60,F4_TAIL,gbr_quantile,0.1,1,1450,450,4,0.0015484535760943788,0.001600511023573019,0.03252551635816037,0.06888888888888889,-0.031111111111111117,0.057777777777777775
4,60,F4_TAIL,gbr_quantile,0.5,1,1450,450,4,0.003081781908479293,0.0030266058746611806,-0.01823033328523138,0.4911111111111111,-0.00888888888888889,0.5133333333333333
4,60,F4_TAIL,gbr_quantile,0.9,1,1450,450,4,0.0018131694111931257,0.001875722676738755,0.03334888804265468,0.8822222222222222,-0.01777777777777778,0.8955555555555555
4,60,F4_TAIL,gbr_quantile,0.1,2,1900,450,4,0.0015675849003723963,0.0016032818951619134,0.02226495221909308,0.09555555555555556,-0.004444444444444445,0.08
4,60,F4_TAIL,gbr_quantile,0.5,2,1900,450,4,0.0028812265744064267,0.0028605489099869834,-0.007228565240486429,0.47555555555555556,-0.024444444444444435,0.48444444444444446
4,60,F4_TAIL,gbr_quantile,0.9,2,1900,450,4,0.0014553781713966228,0.001441514368876182,-0.00961752641511926,0.8955555555555555,-0.004444444444444473,0.8977777777777778
4,60,F4_TAIL,gbr_quantile,0.1,3,2350,450,4,0.0012233260478603438,0.0013498345857777092,0.09372151169506249,0.05555555555555555,-0.04444444444444445,0.042222222222222223
4,60,F4_TAIL,gbr_quantile,0.5,3,2350,450,4,0.0026381306362220484,0.0025854804636983035,-0.020363786639653547,0.4177777777777778,-0.0822222222222222,0.42
4,60,F4_TAIL,gbr_quantile,0.9,3,2350,450,4,0.0011614868428740971,0.0012546179649508802,0.07423066198516404,0.9044444444444445,0.004444444444444473,0.9088888888888889
4,60,F4_TAIL,gbr_quantile,0.1,4,2800,450,4,0.001577516363819987,0.001627214706834306,0.03054197015648008,0.08222222222222222,-0.01777777777777778,0.07555555555555556
4,60,F4_TAIL,gbr_quantile,0.5,4,2800,450,4,0.002931678145787521,0.002896338645773347,-0.012201439243213263,0.43333333333333335,-0.06666666666666665,0.44
4,60,F4_TAIL,gbr_quantile,0.9,4,2800,450,4,0.0014121930065440235,0.0015010705420276313,0.059209432864862466,0.9066666666666666,0.006666666666666599,0.9022222222222223
8,120,F1_DIRECTION,linear_qr,0.1,0,1000,450,8,0.0030372615546806515,0.003107742341015748,0.022679095819784112,0.12,0.01999999999999999,0.12444444444444444
8,120,F1_DIRECTION,linear_qr,0.5,0,1000,450,8,0.005811784252188242,0.005767034747833467,-0.007759534372770327,0.5488888888888889,0.04888888888888887,0.5622222222222222
8,120,F1_DIRECTION,linear_qr,0.9,0,1000,450,8,0.003108686041734306,0.0029610845117010627,-0.049847118327754236,0.8733333333333333,-0.026666666666666727,0.8911111111111111
8,120,F1_DIRECTION,linear_qr,0.1,1,1450,450,8,0.0024188978421696007,0.0024635252106368286,0.018115247318979733,0.04,-0.060000000000000005,0.03111111111111111
8,120,F1_DIRECTION,linear_qr,0.5,1,1450,450,8,0.004756525094184859,0.004760179558554576,0.0007677156554208864,0.5088888888888888,0.008888888888888835,0.5133333333333333
8,120,F1_DIRECTION,linear_qr,0.9,1,1450,450,8,0.0029633201420896367,0.0029876106461279132,0.008130411527940584,0.8644444444444445,-0.03555555555555556,0.8644444444444445
8,120,F1_DIRECTION,linear_qr,0.1,2,1900,450,8,0.0024028378424787115,0.0023355242786567074,-0.028821607395458138,0.09111111111111111,-0.00888888888888889,0.08222222222222222
8,120,F1_DIRECTION,linear_qr,0.5,2,1900,450,8,0.004280469188121988,0.004256754268236013,-0.00557112729361342,0.45111111111111113,-0.04888888888888887,0.44666666666666666
8,120,F1_DIRECTION,linear_qr,0.9,2,1900,450,8,0.0021005680336362597,0.0019183091156502721,-0.09501019230897256,0.8911111111111111,-0.008888888888888946,0.9066666666666666
8,120,F1_DIRECTION,linear_qr,0.1,3,2350,450,8,0.002103617567878504,0.002099341635614789,-0.0020367967705565704,0.04,-0.060000000000000005,0.042222222222222223
8,120,F1_DIRECTION,linear_qr,0.5,3,2350,450,8,0.004078891712842988,0.003995527321547676,-0.020864427792980367,0.40444444444444444,-0.09555555555555556,0.4088888888888889
8,120,F1_DIRECTION,linear_qr,0.9,3,2350,450,8,0.0017760241548836829,0.001819760824561221,0.024034295654256632,0.9088888888888889,0.008888888888888835,0.9066666666666666
8,120,F1_DIRECTION,linear_qr,0.1,4,2800,450,8,0.0023164622496810216,0.002272870322498147,-0.019179240782625007,0.06444444444444444,-0.03555555555555556,0.06222222222222222
8,120,F1_DIRECTION,linear_qr,0.5,4,2800,450,8,0.004392541170429576,0.0044208888492261265,0.006412212512764914,0.4666666666666667,-0.033333333333333326,0.45555555555555555
8,120,F1_DIRECTION,linear_qr,0.9,4,2800,450,8,0.002208784548431762,0.0021503036982829676,-0.027196553768424225,0.9088888888888889,0.008888888888888835,0.92
8,120,F1_DIRECTION,gbr_quantile,0.1,0,1000,450,8,0.0029930429395993033,0.003107742341015748,0.03690762902144451,0.13555555555555557,0.03555555555555556,0.12444444444444444
8,120,F1_DIRECTION,gbr_quantile,0.5,0,1000,450,8,0.005824770093041409,0.005767034747833467,-0.010011270563200947,0.54,0.040000000000000036,0.5622222222222222
8,120,F1_DIRECTION,gbr_quantile,0.9,0,1000,450,8,0.003040186212510206,0.0029610845117010627,-0.026713759940509618,0.88,-0.020000000000000018,0.8911111111111111
8,120,F1_DIRECTION,gbr_quantile,0.1,1,1450,450,8,0.0022806505745132056,0.0024635252106368286,0.07423290629786139,0.06,-0.04000000000000001,0.03111111111111111
8,120,F1_DIRECTION,gbr_quantile,0.5,1,1450,450,8,0.004776247330365827,0.004760179558554576,-0.003375454983074233,0.5266666666666666,0.026666666666666616,0.5133333333333333
8,120,F1_DIRECTION,gbr_quantile,0.9,1,1450,450,8,0.002944630244344429,0.0029876106461279132,0.014386212553897826,0.8577777777777778,-0.04222222222222227,0.8644444444444445
8,120,F1_DIRECTION,gbr_quantile,0.1,2,1900,450,8,0.002392998272164702,0.0023355242786567074,-0.024608604600356188,0.08888888888888889,-0.011111111111111113,0.08222222222222222
8,120,F1_DIRECTION,gbr_quantile,0.5,2,1900,450,8,0.004302904390120075,0.004256754268236013,-0.010841622272733664,0.44666666666666666,-0.053333333333333344,0.44666666666666666
8,120,F1_DIRECTION,gbr_quantile,0.9,2,1900,450,8,0.0020936260992219157,0.0019183091156502721,-0.09139141452299993,0.8911111111111111,-0.008888888888888946,0.9066666666666666
8,120,F1_DIRECTION,gbr_quantile,0.1,3,2350,450,8,0.0019233927608051592,0.002099341635614789,0.08381145394570488,0.04666666666666667,-0.05333333333333334,0.042222222222222223
8,120,F1_DIRECTION,gbr_quantile,0.5,3,2350,450,8,0.004127255770440834,0.003995527321547676,-0.032968977131692556,0.41555555555555557,-0.08444444444444443,0.4088888888888889
8,120,F1_DIRECTION,gbr_quantile,0.9,3,2350,450,8,0.0016533059367161197,0.001819760824561221,0.09147075022083562,0.9155555555555556,0.015555555555555545,0.9066666666666666
8,120,F1_DIRECTION,gbr_quantile,0.1,4,2800,450,8,0.002257056624343244,0.002272870322498147,0.006957589264275144,0.06444444444444444,-0.03555555555555556,0.06222222222222222
8,120,F1_DIRECTION,gbr_quantile,0.5,4,2800,450,8,0.004272634228214782,0.0044208888492261265,0.03353502566283617,0.46,-0.03999999999999998,0.45555555555555555
8,120,F1_DIRECTION,gbr_quantile,0.9,4,2800,450,8,0.0021337404112481686,0.0021503036982829676,0.007702766380407011,0.9044444444444445,0.004444444444444473,0.92
8,120,F2_ACTIVITY,linear_qr,0.1,0,1000,450,8,0.00306343858138635,0.003107742341015748,0.014255930758699131,0.11555555555555555,0.015555555555555545,0.12444444444444444
8,120,F2_ACTIVITY,linear_qr,0.5,0,1000,450,8,0.0057964235324325045,0.005767034747833467,-0.005095995755891369,0.5488888888888889,0.04888888888888887,0.5622222222222222
8,120,F2_ACTIVITY,linear_qr,0.9,0,1000,450,8,0.003065312778764359,0.0029610845117010627,-0.035199355726398984,0.8866666666666667,-0.013333333333333308,0.8911111111111111
8,120,F2_ACTIVITY,linear_qr,0.1,1,1450,450,8,0.002415675240500312,0.0024635252106368286,0.019423373436534552,0.035555555555555556,-0.06444444444444444,0.03111111111111111
8,120,F2_ACTIVITY,linear_qr,0.5,1,1450,450,8,0.004731852866873684,0.004760179558554576,0.005950761170339769,0.5288888888888889,0.028888888888888853,0.5133333333333333
8,120,F2_ACTIVITY,linear_qr,0.9,1,1450,450,8,0.0029396835280924146,0.0029876106461279132,0.016041955834377064,0.8711111111111111,-0.028888888888888964,0.8644444444444445
