horizon,approx_minutes,feature_set,model,quantile,fold,train_rows,test_rows,purge_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,baseline_calibration
4,60,F1_DIRECTION,linear_qr,0.1,0,1000,450,4,0.0022367331242470517,0.0022131635591266297,-0.010649716792609398,0.11555555555555555,0.015555555555555545,0.14222222222222222
4,60,F1_DIRECTION,linear_qr,0.5,0,1000,450,4,0.003936230394895552,0.0038965812717716643,-0.010175361517831272,0.5355555555555556,0.03555555555555556,0.5333333333333333
4,60,F1_DIRECTION,linear_qr,0.9,0,1000,450,4,0.0020139694704644625,0.0019876491681571676,-0.013241925551528588,0.8688888888888889,-0.03111111111111109,0.8622222222222222
4,60,F1_DIRECTION,linear_qr,0.1,1,1450,450,4,0.0015947542823103137,0.001600511023573019,0.0035968145035664145,0.06,-0.04000000000000001,0.057777777777777775
4,60,F1_DIRECTION,linear_qr,0.5,1,1450,450,4,0.003053514490901386,0.0030266058746611806,-0.008890690547284308,0.5044444444444445,0.004444444444444473,0.5133333333333333
4,60,F1_DIRECTION,linear_qr,0.9,1,1450,450,4,0.0018359706612832163,0.001875722676738755,0.021192906578628046,0.8933333333333333,-0.00666666666666671,0.8955555555555555
4,60,F1_DIRECTION,linear_qr,0.1,2,1900,450,4,0.0016377034919946717,0.0016032818951619134,-0.021469460197005574,0.08444444444444445,-0.015555555555555559,0.08
4,60,F1_DIRECTION,linear_qr,0.5,2,1900,450,4,0.0028671369274695215,0.0028605489099869834,-0.002303060597753648,0.49777777777777776,-0.0022222222222222365,0.48444444444444446
4,60,F1_DIRECTION,linear_qr,0.9,2,1900,450,4,0.0014633540457892177,0.001441514368876182,-0.015150509342520158,0.9022222222222223,0.0022222222222222365,0.8977777777777778
4,60,F1_DIRECTION,linear_qr,0.1,3,2350,450,4,0.001341518504752317,0.0013498345857777092,0.006160814897627431,0.04888888888888889,-0.051111111111111114,0.042222222222222223
4,60,F1_DIRECTION,linear_qr,0.5,3,2350,450,4,0.0026093479760278112,0.0025854804636983035,-0.00923136440774619,0.4288888888888889,-0.07111111111111112,0.42
4,60,F1_DIRECTION,linear_qr,0.9,3,2350,450,4,0.0012448888750770204,0.0012546179649508802,0.007754623435701213,0.9044444444444445,0.004444444444444473,0.9088888888888889
4,60,F1_DIRECTION,linear_qr,0.1,4,2800,450,4,0.0016168626787542114,0.001627214706834306,0.006361808332124852,0.08222222222222222,-0.01777777777777778,0.07555555555555556
4,60,F1_DIRECTION,linear_qr,0.5,4,2800,450,4,0.0028917710371080983,0.002896338645773347,0.0015770285259683048,0.4288888888888889,-0.07111111111111112,0.44
4,60,F1_DIRECTION,linear_qr,0.9,4,2800,450,4,0.0014989167929708737,0.0015010705420276313,0.0014348086891694534,0.9111111111111111,0.011111111111111072,0.9022222222222223
4,60,F1_DIRECTION,gbr_quantile,0.1,0,1000,450,4,0.0022243785870134066,0.0022131635591266297,-0.0050674193692230585,0.14666666666666667,0.04666666666666666,0.14222222222222222
4,60,F1_DIRECTION,gbr_quantile,0.5,0,1000,450,4,0.00399672548576641,0.0038965812717716643,-0.02570053259769778,0.5288888888888889,0.028888888888888853,0.5333333333333333
4,60,F1_DIRECTION,gbr_quantile,0.9,0,1000,450,4,0.0020033494705045695,0.0019876491681571676,-0.007898930353970934,0.8666666666666667,-0.033333333333333326,0.8622222222222222
4,60,F1_DIRECTION,gbr_quantile,0.1,1,1450,450,4,0.0014309547383232484,0.001600511023573019,0.10593884250247099,0.06444444444444444,-0.03555555555555556,0.057777777777777775
4,60,F1_DIRECTION,gbr_quantile,0.5,1,1450,450,4,0.003062027800928324,0.0030266058746611806,-0.011703514674208604,0.4955555555555556,-0.0044444444444444176,0.5133333333333333
4,60,F1_DIRECTION,gbr_quantile,0.9,1,1450,450,4,0.0018009511222766559,0.001875722676738755,0.039862798157402124,0.8844444444444445,-0.015555555555555545,0.8955555555555555
4,60,F1_DIRECTION,gbr_quantile,0.1,2,1900,450,4,0.0015264506666048344,0.0016032818951619134,0.047921222580337264,0.09333333333333334,-0.006666666666666668,0.08
4,60,F1_DIRECTION,gbr_quantile,0.5,2,1900,450,4,0.0028672020194037825,0.0028605489099869834,-0.002325815648028584,0.4777777777777778,-0.0222222222222222,0.48444444444444446
4,60,F1_DIRECTION,gbr_quantile,0.9,2,1900,450,4,0.0014712481443723774,0.001441514368876182,-0.020626763172243656,0.9133333333333333,0.013333333333333308,0.8977777777777778
4,60,F1_DIRECTION,gbr_quantile,0.1,3,2350,450,4,0.0012603888128081017,0.0013498345857777092,0.06626424742115578,0.06,-0.04000000000000001,0.042222222222222223
4,60,F1_DIRECTION,gbr_quantile,0.5,3,2350,450,4,0.002628773136816947,0.0025854804636983035,-0.016744536934816923,0.44,-0.06,0.42
4,60,F1_DIRECTION,gbr_quantile,0.9,3,2350,450,4,0.0011215204093216959,0.0012546179649508802,0.10608612290546571,0.9155555555555556,0.015555555555555545,0.9088888888888889
4,60,F1_DIRECTION,gbr_quantile,0.1,4,2800,450,4,0.0015645712372008298,0.001627214706834306,0.0384973595496485,0.07111111111111111,-0.028888888888888895,0.07555555555555556
4,60,F1_DIRECTION,gbr_quantile,0.5,4,2800,450,4,0.0028755641295725963,0.002896338645773347,0.007172682044990553,0.44,-0.06,0.44
4,60,F1_DIRECTION,gbr_quantile,0.9,4,2800,450,4,0.0014158399430972603,0.0015010705420276313,0.056779875791341805,0.9111111111111111,0.011111111111111072,0.9022222222222223
4,60,F2_ACTIVITY,linear_qr,0.1,0,1000,450,4,0.0022284295176332515,0.0022131635591266297,-0.0068977995068046916,0.11333333333333333,0.013333333333333322,0.14222222222222222
4,60,F2_ACTIVITY,linear_qr,0.5,0,1000,450,4,0.003929487162877292,0.0038965812717716643,-0.008444810671346836,0.5355555555555556,0.03555555555555556,0.5333333333333333
4,60,F2_ACTIVITY,linear_qr,0.9,0,1000,450,4,0.002017178532605627,0.0019876491681571676,-0.01485642683906696,0.8666666666666667,-0.033333333333333326,0.8622222222222222
4,60,F2_ACTIVITY,linear_qr,0.1,1,1450,450,4,0.0015834237543692863,0.001600511023573019,0.010676133404933785,0.06222222222222222,-0.037777777777777785,0.057777777777777775
4,60,F2_ACTIVITY,linear_qr,0.5,1,1450,450,4,0.0030446447656564245,0.0030266058746611806,-0.005960105723135545,0.5133333333333333,0.013333333333333308,0.5133333333333333
4,60,F2_ACTIVITY,linear_qr,0.9,1,1450,450,4,0.0018184594534044964,0.001875722676738755,0.030528619206022456,0.8955555555555555,-0.004444444444444473,0.8955555555555555
4,60,F2_ACTIVITY,linear_qr,0.1,2,1900,450,4,0.0016708988454977839,0.0016032818951619134,-0.04217408712710613,0.08222222222222222,-0.01777777777777778,0.08
4,60,F2_ACTIVITY,linear_qr,0.5,2,1900,450,4,0.0029012931829613775,0.0028605489099869834,-0.014243515582671673,0.5,0.0,0.48444444444444446
4,60,F2_ACTIVITY,linear_qr,0.9,2,1900,450,4,0.0015079237599581628,0.001441514368876182,-0.04606918426609519,0.8911111111111111,-0.008888888888888946,0.8977777777777778
4,60,F2_ACTIVITY,linear_qr,0.1,3,2350,450,4,0.0013464075741360564,0.0013498345857777092,0.002538838223409612,0.051111111111111114,-0.04888888888888889,0.042222222222222223
4,60,F2_ACTIVITY,linear_qr,0.5,3,2350,450,4,0.002614988449481876,0.0025854804636983035,-0.01141296025937244,0.4288888888888889,-0.07111111111111112,0.42
4,60,F2_ACTIVITY,linear_qr,0.9,3,2350,450,4,0.0012519323478075038,0.0012546179649508802,0.0021405855952983943,0.9066666666666666,0.006666666666666599,0.9088888888888889
4,60,F2_ACTIVITY,linear_qr,0.1,4,2800,450,4,0.0016138949896384723,0.001627214706834306,0.00818559292752874,0.07777777777777778,-0.022222222222222227,0.07555555555555556
4,60,F2_ACTIVITY,linear_qr,0.5,4,2800,450,4,0.0028863222112563204,0.002896338645773347,0.0034583091765335583,0.4311111111111111,-0.06888888888888889,0.44
4,60,F2_ACTIVITY,linear_qr,0.9,4,2800,450,4,0.0015016819176062297,0.0015010705420276313,-0.0004072930361904703,0.9111111111111111,0.011111111111111072,0.9022222222222223
4,60,F2_ACTIVITY,gbr_quantile,0.1,0,1000,450,4,0.0022577291983911533,0.0022131635591266297,-0.02013662256490001,0.15333333333333332,0.053333333333333316,0.14222222222222222
4,60,F2_ACTIVITY,gbr_quantile,0.5,0,1000,450,4,0.0040069127175924295,0.0038965812717716643,-0.0283149350996601,0.5355555555555556,0.03555555555555556,0.5333333333333333
4,60,F2_ACTIVITY,gbr_quantile,0.9,0,1000,450,4,0.002007509074207057,0.0019876491681571676,-0.009991655654353782,0.86,-0.040000000000000036,0.8622222222222222
4,60,F2_ACTIVITY,gbr_quantile,0.1,1,1450,450,4,0.0014297221744177257,0.001600511023573019,0.10670894897932048,0.06444444444444444,-0.03555555555555556,0.057777777777777775
4,60,F2_ACTIVITY,gbr_quantile,0.5,1,1450,450,4,0.003050514652174404,0.0030266058746611806,-0.00789953449617875,0.5022222222222222,0.0022222222222222365,0.5133333333333333
4,60,F2_ACTIVITY,gbr_quantile,0.9,1,1450,450,4,0.0017852738957461257,0.001875722676738755,0.048220764249589876,0.8866666666666667,-0.013333333333333308,0.8955555555555555
4,60,F2_ACTIVITY,gbr_quantile,0.1,2,1900,450,4,0.0015372747360087406,0.0016032818951619134,0.04117002715015794,0.08888888888888889,-0.011111111111111113,0.08
4,60,F2_ACTIVITY,gbr_quantile,0.5,2,1900,450,4,0.002886863908893996,0.0028605489099869834,-0.009199282982066626,0.4777777777777778,-0.0222222222222222,0.48444444444444446
4,60,F2_ACTIVITY,gbr_quantile,0.9,2,1900,450,4,0.0014633501513070025,0.001441514368876182,-0.015147807682169612,0.9044444444444445,0.004444444444444473,0.8977777777777778
4,60,F2_ACTIVITY,gbr_quantile,0.1,3,2350,450,4,0.0012419168539533033,0.0013498345857777092,0.0799488566684109,0.04888888888888889,-0.051111111111111114,0.042222222222222223
4,60,F2_ACTIVITY,gbr_quantile,0.5,3,2350,450,4,0.002597842192741144,0.0025854804636983035,-0.004781211545167974,0.43555555555555553,-0.06444444444444447,0.42
4,60,F2_ACTIVITY,gbr_quantile,0.9,3,2350,450,4,0.0011404101164293945,0.0012546179649508802,0.09102998021071473,0.9088888888888889,0.008888888888888835,0.9088888888888889
4,60,F2_ACTIVITY,gbr_quantile,0.1,4,2800,450,4,0.0015698403812438896,0.001627214706834306,0.03525922261484249,0.08,-0.020000000000000004,0.07555555555555556
4,60,F2_ACTIVITY,gbr_quantile,0.5,4,2800,450,4,0.0029041065124739687,0.002896338645773347,-0.0026819607962478287,0.42444444444444446,-0.07555555555555554,0.44
