horizon,feature_set,model,quantile,feature,effect_kind,folds,mean_value,median_value,mean_abs_value,positive_share,sign_consistency
4,F1_DIRECTION,gbr_quantile,0.1,feat_15m_location_32,tree_importance,5,0.1790765495087967,0.16663090658399893,0.1790765495087967,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_15m_ret_1,tree_importance,5,0.08865349476279331,0.08597757367240876,0.08865349476279331,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_15m_ret_16,tree_importance,5,0.14075491882668106,0.16992061132020048,0.14075491882668106,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_15m_ret_4,tree_importance,5,0.07914880297109163,0.07752933514424772,0.07914880297109163,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_15m_ret_8,tree_importance,5,0.08838008934862063,0.09119988886633332,0.08838008934862063,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_time_after_long_gap,tree_importance,5,0.0016920723930796897,0.0007350822429230547,0.0016920723930796897,,
4,F1_DIRECTION,gbr_quantile,0.1,feat_time_bars_since_segment_start,tree_importance,5,0.422294072188937,0.4273200692164583,0.422294072188937,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_15m_location_32,tree_importance,5,0.1688150520452194,0.17949546994512017,0.1688150520452194,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_15m_ret_1,tree_importance,5,0.1284642712567344,0.12116642508277775,0.1284642712567344,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_15m_ret_16,tree_importance,5,0.20043889303443246,0.18154281521939045,0.20043889303443246,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_15m_ret_4,tree_importance,5,0.13706740332421732,0.14619537586764014,0.13706740332421732,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_15m_ret_8,tree_importance,5,0.23195235812165033,0.24077418293967726,0.23195235812165033,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_time_after_long_gap,tree_importance,5,0.024913686139422454,0.01786031567217297,0.024913686139422454,,
4,F1_DIRECTION,gbr_quantile,0.5,feat_time_bars_since_segment_start,tree_importance,5,0.10834833607832366,0.10281670627258319,0.10834833607832366,,
4,F1_DIRECTION,gbr_quantile,0.9,feat_15m_location_32,tree_importance,5,0.174419483856694,0.1729163692939197,0.174419483856694,,
4,F1_DIRECTION,gbr_quantile,0.9,feat_15m_ret_1,tree_importance,5,0.09568098008149623,0.09403429494150435,0.09568098008149623,,
4,F1_DIRECTION,gbr_quantile,0.9,feat_15m_ret_16,tree_importance,5,0.14565527446788787,0.130143010362864,0.14565527446788787,,
4,F1_DIRECTION,gbr_quantile,0.9,feat_15m_ret_4,tree_importance,5,0.12644513783744102,0.12436187149873329,0.12644513783744102,,
4,F1_DIRECTION,gbr_quantile,0.9,feat_15m_ret_8,tree_importance,5,0.16689967340850836,0.14541840240622528,0.16689967340850836,,
