horizon,approx_minutes,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_coverage_error,interval_score,baseline_interval_score,interval_score_skill,positive_interval_skill_fold_share,q50_spearman,q50_sign_accuracy,q50_decile_monotonicity,q50_top_minus_bottom_realized_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range
4,60,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8111111111111111,0.011111111111111072,0.03163930626304596,0.032909160982448386,0.03858666345458295,0.8,0.010359222323922904,0.5008888888888889,-0.10303030303030303,-0.0020862599227355,0.9515151515151514,0.8787878787878788,0.008056719256287
4,60,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8177777777777778,0.01777777777777778,0.032969343855286715,0.032909160982448386,-0.0018287574353665903,0.6,-0.04409776684703883,0.4928888888888889,-0.5151515151515151,-3.979343461520005e-05,0.8424242424242423,0.8181818181818182,0.0038947149682131005
4,60,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8066666666666666,0.006666666666666599,0.03170583015000193,0.032909160982448386,0.036565223680063874,0.8,-0.009716150423086814,0.4955555555555556,-0.5757575757575757,-0.0016918711329834,0.8424242424242423,0.8787878787878788,0.0074253333334845
4,60,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8168888888888889,0.016888888888888842,0.03308046138531374,0.032909160982448386,-0.0052052497770063155,0.6,-0.04399938275857416,0.4888888888888889,-0.8145934285312865,-0.0013735849160852,0.7818181818181817,0.7333333333333332,0.0032648518930221
4,60,F3_VOL,gbr_quantile,2250,0.0,1.0,0.7973333333333333,-0.002666666666666706,0.031672918820508586,0.032909160982448386,0.03756528957390104,0.8,-0.024648526540463525,0.49955555555555553,-0.29696969696969694,-0.0009648877588514,0.9393939393939393,0.9636363636363635,0.007548811445322101
4,60,F3_VOL,linear_qr,2250,0.0,1.0,0.8155555555555556,0.015555555555555545,0.03296697842743801,0.032909160982448386,-0.0017568799466038953,0.8,-0.012875014647542468,0.49377777777777776,-0.16363636363636364,-0.0008373456633275,0.6484848484848483,0.8545454545454544,0.0026881010322923997
4,60,F4_TAIL,gbr_quantile,2250,0.0,1.0,0.8,0.0,0.032020780103999114,0.032909160982448386,0.02699494158854665,0.8,-0.029606330011078787,0.49822222222222223,-0.4787878787878787,-0.0003516613224759,0.9757575757575757,0.9757575757575757,0.006999112476736599
4,60,F4_TAIL,linear_qr,2250,0.0,1.0,0.8102222222222222,0.010222222222222133,0.03325619235438225,0.032909160982448386,-0.010545129732081104,0.6,0.0025482772608121295,0.49822222222222223,-0.05454545454545454,-0.000220482858351,0.7818181818181817,0.9272727272727272,0.0034525741028949997
8,120,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8106666666666666,0.010666666666666602,0.047425260150932916,0.048232145169491314,0.016729196176594407,0.8,0.056131771751777304,0.5342222222222223,0.4666666666666666,0.0020075914462723,0.7939393939393938,0.7212121212121211,0.007899612475031998
8,120,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8182222222222222,0.01822222222222214,0.048872919955328276,0.048232145169491314,-0.013285222616270298,0.4,0.0083134320530757,0.5133333333333333,0.1515151515151515,-0.0008425287864397999,0.4787878787878787,0.7575757575757575,0.0038361197607416995
