horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
4,F1_DIRECTION,linear_qr,1,225,-0.0021836158134327832,0.0003701867509830193,-0.0005650249703009,0.48444444444444446
4,F1_DIRECTION,linear_qr,2,225,-0.0011714771816159811,0.0001149075568917167,0.0003343922452159,0.5244444444444445
4,F1_DIRECTION,linear_qr,3,225,-0.0007372618522784736,0.000930496985591785,0.0005914632315165,0.52
4,F1_DIRECTION,linear_qr,4,225,-0.0005515151825403083,0.0009423516213916493,0.0007248525901372,0.56
4,F1_DIRECTION,linear_qr,5,225,-0.00040594145064755806,0.0003138681711196028,-0.0004285102193836,0.4577777777777778
4,F1_DIRECTION,linear_qr,6,225,-0.0002717258392627765,-0.0005444298998910817,7.221520133122515e-05,0.5022222222222222
4,F1_DIRECTION,linear_qr,7,225,-0.0001470285489982139,0.000188375943414378,-0.000440819932199,0.4622222222222222
4,F1_DIRECTION,linear_qr,8,225,-1.2833035470403238e-05,-8.102564806012532e-05,0.000220482858351,0.5111111111111111
4,F1_DIRECTION,linear_qr,9,225,0.00015835511922960874,-0.0015578797407516983,-0.0007134364155167,0.4311111111111111
4,F1_DIRECTION,linear_qr,10,225,0.0006355817795386001,-0.0003514028382822904,-0.0006048184049161,0.4711111111111111
4,F1_DIRECTION,gbr_quantile,1,225,-0.002546866172440982,0.0008374115777807749,0.0014762765089256,0.5644444444444444
4,F1_DIRECTION,gbr_quantile,2,225,-0.0012713770428323399,-0.001774178507813814,-0.0015236758690873,0.43555555555555553
4,F1_DIRECTION,gbr_quantile,3,225,-0.0009367872904839117,-2.7369880621488543e-05,-0.0004206857239241,0.4666666666666667
4,F1_DIRECTION,gbr_quantile,4,225,-0.0007087079828860331,-0.000586253412036855,-0.0003535942896005,0.48444444444444446
4,F1_DIRECTION,gbr_quantile,5,225,-0.0005307022506659785,0.00023553328912670382,-0.0001279426818531,0.48
4,F1_DIRECTION,gbr_quantile,6,225,-0.0003755121612497919,0.00020212985739950093,0.0003309176376205,0.52
4,F1_DIRECTION,gbr_quantile,7,225,-0.0001952474281981161,0.0004299584327893108,-0.0002501876420355,0.48444444444444446
4,F1_DIRECTION,gbr_quantile,8,225,8.249693206108082e-06,0.00048427574552938497,0.0003901677770916,0.5422222222222223
4,F1_DIRECTION,gbr_quantile,9,225,0.0002719793606607154,-0.00042684103027438967,-0.0003939075681185,0.48444444444444446
4,F1_DIRECTION,gbr_quantile,10,225,0.0009614494213011343,0.0009507828305278284,-0.0006099834138099,0.4622222222222222
4,F2_ACTIVITY,linear_qr,1,225,-0.002186206499386893,0.0006200647984476413,0.0004891769695199,0.5066666666666667
4,F2_ACTIVITY,linear_qr,2,225,-0.0011773725868086532,-0.0003123376966089898,0.0,0.49777777777777776
4,F2_ACTIVITY,linear_qr,3,225,-0.0007247046558680682,0.0005277488568105147,0.0001778990131297,0.5066666666666667
4,F2_ACTIVITY,linear_qr,4,225,-0.0005261671957300902,0.00034638967078011495,0.0001388985348436,0.5288888888888889
