horizon,model,from_feature_set,to_feature_set,delta_mean_pinball_skill,delta_tail_pinball_skill,delta_q10_pinball_skill,delta_q50_pinball_skill,delta_q90_pinball_skill,delta_interval_score_skill,delta_q50_decile_monotonicity,delta_width_path_range_monotonicity
4,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.002681208830071983,-0.003408178640033843,-0.0018444827939891884,-0.001227269210148263,-0.004971874486078498,-0.0033764923416397252,-0.29944191337977133,-0.08484848484848506
4,linear_qr,F2_ACTIVITY,F3_VOL,0.0020041128583547416,0.003356977528874816,0.00786712132926326,-0.0007016164826854077,-0.0011531662715136282,0.00344836983040242,0.6509570648949228,0.12121212121212122
4,linear_qr,F3_VOL,F4_TAIL,-0.006652655772523979,-0.008765047091663758,-0.009910083204180409,-0.002427873134244418,-0.007620010979147107,-0.008788249785477209,0.1090909090909091,0.07272727272727286
4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.001674869591020145,-0.00198997122489325,-0.0035429213271455096,-0.001044666323273935,-0.00043702112264099036,-0.0020214397745190738,-0.47272727272727266,0.0
4,gbr_quantile,F2_ACTIVITY,F3_VOL,-9.729039006826229e-05,0.0009701908414231908,0.002444503011923338,-0.0022322528530511754,-0.0005041213290769564,0.0010000658938371654,0.27878787878787875,0.08484848484848473
4,gbr_quantile,F3_VOL,F4_TAIL,-0.007135846918972401,-0.010408436969085222,-0.01839862820001692,-0.0005906668187467545,-0.002418245738153524,-0.010570347985354389,-0.18181818181818177,0.0121212121212122
8,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.0012394316120466122,-0.0003437951787048643,-0.006098733678783885,-0.0030307044787301063,0.005411143321374157,-0.0004492563267264327,0.04848484848484849,-0.1454545454545454
8,linear_qr,F2_ACTIVITY,F3_VOL,-0.007814681756244408,-0.010323379149861922,-0.015780986275462094,-0.0027972869690093827,-0.00486577202426175,-0.010865245008802482,0.13333333333333328,0.09696969696969693
8,linear_qr,F3_VOL,F4_TAIL,-0.0027518799220466565,-0.0012587905235165175,-0.0026587623341975952,-0.005738058719106931,0.00014118128716456013,-0.000997881012518409,0.0121212121212122,-0.48484848484848475
8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.0033844048603060744,-0.003268543091304421,-0.013852718366713312,-0.0036161283983093817,0.00731563218410447,-0.003462501597618961,0.206060606060606,0.25454545454545463
8,gbr_quantile,F2_ACTIVITY,F3_VOL,-0.002532616875317399,-0.003255780370408301,-0.004382195724531135,-0.001086289885135594,-0.002129365016285467,-0.0032764223036615414,-0.1333333333333333,-0.06060606060606055
8,gbr_quantile,F3_VOL,F4_TAIL,-0.005980488209212154,-0.0046458520655067725,-0.009715420513727757,-0.008649760496622916,0.0004237163827142121,-0.004738753581051691,-0.33939393939393936,0.07272727272727264
16,linear_qr,F1_DIRECTION,F2_ACTIVITY,0.001666916626276974,0.0035333767440711705,-0.0022997826283506217,-0.0020660036093114176,0.009366536116492963,0.004122605459545126,-0.0121212121212122,-0.024242424242424176
16,linear_qr,F2_ACTIVITY,F3_VOL,-0.0014897184516928785,-0.0007288073362998193,-0.00019502147044214713,-0.003011540682478997,-0.0012625932021574915,0.0014083309742434214,-0.048484848484848464,0.012121212121212088
16,linear_qr,F3_VOL,F4_TAIL,-0.011337541464120655,-0.013708449066999306,-0.007546585713931631,-0.006595726258363355,-0.019870312420066982,-0.014261670128598247,0.10909090909090902,-0.024242424242424176
16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,0.002913522170439202,0.007527890179682473,0.0052105576023586675,-0.006315213848047341,0.009845222757006278,0.007468578424270511,-0.1333333333333333,0.07272727272727286
16,gbr_quantile,F2_ACTIVITY,F3_VOL,0.00020770949733199106,0.001681130319332258,0.010221833926375545,-0.0027391321466685437,-0.006859573287711029,0.0018997282574728658,0.08484848484848484,-0.01212121212121231
16,gbr_quantile,F3_VOL,F4_TAIL,-0.015318962596430324,-0.015060933406233767,-0.023089833419274064,-0.015835020976823433,-0.007032033393193471,-0.015266431813524495,-0.09696969696969693,-0.09451592993581703
