instrument,n_folds,folds_auc_better,share_auc_better,median_delta_auc,folds_brier_skill_better,share_brier_skill_better,median_delta_brier_skill,folds_logloss_skill_better,share_logloss_skill_better,median_delta_logloss_skill,folds_return_spread_better,share_return_spread_better,median_delta_return_spread
AG,7,4,0.5714285714285714,0.003111065318061379,2,0.2857142857142857,-0.0006169572887165797,2,0.2857142857142857,-0.00045190017020713125,3,0.42857142857142855,-6.766029690928111e-06
AL,7,5,0.7142857142857143,0.006942159783043578,5,0.7142857142857143,0.0023245707649601766,5,0.7142857142857143,0.0018146369518702299,6,0.8571428571428571,1.9433434214521613e-05
CF,7,4,0.5714285714285714,0.010919741359197599,5,0.7142857142857143,0.002050259333116977,5,0.7142857142857143,0.001596205195172118,4,0.5714285714285714,6.481598980566743e-06
CU,7,5,0.7142857142857143,0.0053479545761390135,6,0.8571428571428571,0.002396086228392047,6,0.8571428571428571,0.0017543432152586913,5,0.7142857142857143,2.1857302928838973e-05
I,7,6,0.8571428571428571,0.00535259133389987,4,0.5714285714285714,0.0003413292646214927,5,0.7142857142857143,0.00031534634899377245,3,0.42857142857142855,-6.379728694764274e-05
M,7,5,0.7142857142857143,0.0024981192555523224,5,0.7142857142857143,0.0002812707094156375,5,0.7142857142857143,0.00043797737165585104,5,0.7142857142857143,4.1838843947571626e-05
SC,7,6,0.8571428571428571,0.002903202869830146,6,0.8571428571428571,0.0015268188683374984,6,0.8571428571428571,0.0011026463817176424,5,0.7142857142857143,3.8790563260943624e-05
SN,7,3,0.42857142857142855,-0.0018046474454354033,5,0.7142857142857143,0.0005790573549904199,5,0.7142857142857143,0.0004227142412595031,6,0.8571428571428571,7.782786039297464e-05
