instrument,fold,train_rows_S0,test_rows_S0,train_up_rate_S0,auc_S0,brier_skill_S0,logloss_skill_S0,return_spread_S0,train_rows_S1,test_rows_S1,train_up_rate_S1,auc_S1,brier_skill_S1,logloss_skill_S1,return_spread_S1,delta_auc,delta_brier_skill,delta_logloss_skill,delta_return_spread
AG,0,5616,1872,0.48344017094017094,0.5104004634409341,-0.00027507763485656866,-0.00028050424236081284,-6.177651942332812e-05,5616,1872,0.48344017094017094,0.5274451097804391,0.00986549971227113,0.007125836747720271,3.2650627749338413e-06,0.017044646339504976,0.0101405773471277,0.007406340990081084,6.504158219826196e-05
AG,1,7488,1872,0.4962606837606838,0.5501502960202985,0.007051786198271626,0.005015022629150323,-0.0003298980825062424,7488,1872,0.4962606837606838,0.4929755183212563,-0.017791763727145415,-0.013284822435728039,-0.00032838838863711466,-0.05717477769904222,-0.02484354992541704,-0.01829984506487836,1.5096938691277519e-06
AG,2,9360,1872,0.5007478632478632,0.5124376207065011,-0.004301209678244655,-0.0031520102197877264,-0.00012988912033745235,9360,1872,0.5007478632478632,0.5167790597334527,-0.005076132277710199,-0.004002690658736707,-0.0003070144090478806,0.00434143902695161,-0.000774922599465544,-0.0008506804389489808,-0.00017712528871042827
AG,3,11232,1872,0.5007122507122507,0.556367644371345,0.006747525900838602,0.004873200578829673,0.00019488319638227836,11232,1872,0.5007122507122507,0.5338712993421053,0.0007874311904264575,0.0005753053164067046,-0.00012134248110504588,-0.022496345029239695,-0.005960094710412145,-0.004297895262422968,-0.0003162256774873242
AG,4,13104,1872,0.49885531135531136,0.5257658305921052,0.002214227956795156,0.001598174380051276,-0.00014899657309792646,13104,1872,0.49885531135531136,0.5213718704312866,0.0015972706680785764,0.0011462742098441447,-0.00015576260278885457,-0.004393960160818611,-0.0006169572887165797,-0.00045190017020713125,-6.766029690928111e-06
AG,5,14976,1872,0.500534188034188,0.5322016725911425,0.0015876001010812768,0.001135835883179781,0.00028617315924168925,14976,1872,0.500534188034188,0.5353127379092039,0.0013152070865727339,0.0009457742017187076,8.474575528103875e-05,0.003111065318061379,-0.0002723930145085429,-0.00019006168146107338,-0.0002014274039606505
AG,6,16848,1872,0.49750712250712253,0.5153243819773072,-0.00049177721973237,-0.0003745075676295784,-0.0003498981306640599,16848,1872,0.49750712250712253,0.5271601103579324,0.00018868862550081023,0.0001172394987845049,-8.225397093467816e-05,0.011835728380625188,0.0006804658452331802,0.0004917470664140833,0.0002676441597293817
CU,0,4116,1372,0.4618561710398445,0.5162552621507845,-0.003557735953763963,-0.0026838532060560194,-4.2769351837018175e-05,4116,1372,0.4618561710398445,0.5285442445890207,0.0015539245468128016,0.0010239672477548867,-2.8831696798535106e-05,0.012288982438236173,0.005111660500576765,0.003707820453810906,1.3937655038483069e-05
CU,1,5488,1372,0.4686588921282799,0.5169803369889777,0.002815977007048831,0.0019596862801237735,8.584914459505134e-05,5488,1372,0.4686588921282799,0.5155214135063753,0.006081148094462918,0.00437520855217477,5.656912925655501e-05,-0.0014589234826024589,0.003265171087414087,0.002415522272050996,-2.9280015338496333e-05
CU,2,6860,1372,0.4787172011661808,0.521642824770039,-0.0006754114098814767,-0.0004987755093519564,4.434398049211035e-05,6860,1372,0.4787172011661808,0.530301869689832,0.0017206748185105702,0.001255567705906735,0.00018442282675558565,0.008659044919792969,0.002396086228392047,0.0017543432152586913,0.0001400788462634753
CU,3,8232,1372,0.4793488824101069,0.5288315742846676,0.002336604402245257,0.001641993132488473,0.0001861293750884902,8232,1372,0.4793488824101069,0.517240167642023,-0.0006072650102504351,-0.00046792613497803615,-1.3754078440945895e-05,-0.011591406642644686,-0.002943869412495692,-0.002109919267466509,-0.0001998834535294361
CU,4,9604,1372,0.47886297376093295,0.5320248724489796,0.002721858275725242,0.0019504917906529862,2.2525423255598557e-05,9604,1372,0.47886297376093295,0.5322534013605442,0.00395400042577565,0.0028671156703631295,0.00015882838862043902,0.0002285289115646627,0.0012321421500504082,0.0009166238797101434,0.00013630296536484046
CU,5,10976,1372,0.4802295918367347,0.520509957632113,0.0005455741639248668,0.0003727586518622594,-1.1412702734664942e-05,10976,1372,0.4802295918367347,0.5258579122082521,0.0024296508945758077,0.0017689035841138567,1.3920272611911014e-05,0.0053479545761390135,0.001884076730650941,0.0013961449322515973,2.5332975346575956e-05
CU,6,12348,1372,0.4774052478134111,0.5337097022389783,0.002396901707588106,0.0017349346942773236,6.174429754836497e-05,12348,1372,0.4774052478134111,0.5580005642327717,0.006835440738295562,0.0049687899822848935,8.360160047720395e-05,0.024290861993793378,0.004438539030707456,0.00323385528800757,2.1857302928838973e-05
AL,0,4116,1372,0.36370262390670555,0.5312231159084128,0.007821581937166866,0.005588071277604634,5.4976281617090775e-05,4116,1372,0.36370262390670555,0.5078134018081355,-0.0035912259175245875,-0.003557289432627675,1.9466065228068972e-05,-0.023409714100277257,-0.011412807854691454,-0.009145360710232309,-3.5510216389021804e-05
AL,1,5488,1372,0.3782798833819242,0.5166417630882141,0.021581160786935838,0.01600636697113811,-1.3403157480608984e-05,5488,1372,0.3782798833819242,0.5319681063914927,0.02929424577701123,0.02182224220183393,2.3148454118752804e-05,0.015326343303278644,0.007713084990075392,0.005815875230695822,3.655161159936179e-05
AL,2,6860,1372,0.3985422740524781,0.5217998977695366,0.009322690318611437,0.006801063244058936,-0.00020656031191289257,6860,1372,0.3985422740524781,0.5219292898832477,0.012316694205501633,0.00908531723322692,-0.0001145966141965263,0.00012939211371110204,0.0029940038868901953,0.0022842539891679836,9.196369771636626e-05
AL,3,8232,1372,0.40889212827988336,0.5540568176766105,0.006650548175967663,0.004946931792230602,1.6047389541738998e-06,8232,1372,0.40889212827988336,0.5609989774596541,0.00897511894092784,0.006761568744100832,2.442033808058206e-05,0.006942159783043578,0.0023245707649601766,0.0018146369518702299,2.281559912640816e-05
AL,4,9604,1372,0.40680966264056645,0.5444153831250605,0.004546893222283743,0.003372261956128386,-1.017736839522178e-06,9604,1372,0.40680966264056645,0.5347326798939702,0.0021822763546880397,0.001557304881372179,1.9185666008070256e-06,-0.009682703231090328,-0.0023646168675957036,-0.0018149570747562072,2.9363034403292035e-06
AL,5,10976,1372,0.40688775510204084,0.5101563337834615,-0.004994554090561598,-0.0036726955299293262,-2.1440589922194324e-05,10976,1372,0.40688775510204084,0.5202557632078301,-0.0005587985205064427,-0.00033609547328183886,-8.763102138454376e-06,0.010099429424368589,0.004435755570055155,0.0033366000566474874,1.2677487783739948e-05
AL,6,12348,1372,0.40775834143181083,0.5240022747800488,-0.0001280303838144814,-2.1875621851075167e-05,5.282310229979523e-05,12348,1372,0.40775834143181083,0.5344283500039029,0.0021071287018918916,0.0015291891830770954,7.225653651431684e-05,0.010426075223854081,0.002235159085706373,0.0015510648049281706,1.9433434214521613e-05
SN,0,4116,1372,0.48858114674441205,0.5187851257939173,-0.007304496692018825,-0.005628017393112916,2.899025213038571e-06,4116,1372,0.48858114674441205,0.5169804783484819,-0.005624014860783122,-0.004280962465831095,4.258900215588632e-05,-0.0018046474454354033,0.0016804818312357028,0.001347054927281821,3.9689976942847744e-05
SN,1,5488,1372,0.4938046647230321,0.5161092512885914,-0.017525846161384973,-0.013704119784375246,-0.00018333480819588178,5488,1372,0.4938046647230321,0.522159519634412,-0.012230505519057466,-0.00960660168957328,0.00012453170796248325,0.006050268345820564,0.005295340642327506,0.004097518094801966,0.00030786651615836503
SN,2,6860,1372,0.4934402332361516,0.5144664673343661,-0.003615188484128895,-0.002674673042133202,-0.00024650461651883044,6860,1372,0.4934402332361516,0.5234342957810829,0.0013619155879102118,0.0009822182299005222,0.00010489244654028664,0.008967828446716841,0.004977104072039107,0.0036568912720337243,0.0003513970630591171
SN,3,8232,1372,0.49514091350826045,0.5348894040846858,0.0034996228998310785,0.0025212615174329267,-1.6023849772847425e-05,8232,1372,0.49514091350826045,0.5383584756909987,0.004078680254821498,0.0029439757586924298,9.138549948325838e-05,0.0034690716063129345,0.0005790573549904199,0.0004227142412595031,0.0001074093492561058
SN,4,9604,1372,0.49604331528529777,0.5413714402507154,0.0044955917024496195,0.0032427397455518925,0.0001321910421766536,9604,1372,0.49604331528529777,0.5327371321024663,0.004108294409673086,0.0029639650755672875,0.00016369177083339493,-0.008634308148249059,-0.0003872972927765339,-0.000278774669984605,3.150072865674134e-05
SN,5,10976,1372,0.49927113702623904,0.5392972502018785,0.0035345097897554467,0.0025467292641573325,8.574801057539555e-05,10976,1372,0.49927113702623904,0.5350174253049428,0.003793217719906372,0.002741307487944211,0.00016357587096837018,-0.00427982489693568,0.0002587079301509254,0.00019457822378687872,7.782786039297464e-05
SN,6,12348,1372,0.4991091674765144,0.551951557505271,0.0075798563520342865,0.00548444529972969,6.240528718444876e-05,12348,1372,0.4991091674765144,0.5455242977623614,0.005866811699364094,0.00424277239894999,5.147389158111081e-05,-0.006427259742909586,-0.0017130446526701926,-0.0012416729007797,-1.0931395603337944e-05
I,0,2111,703,0.388915206063477,0.501874735505713,-0.01344442599488782,-0.010088882905890273,-0.000237901279380313,2111,703,0.388915206063477,0.5060685569191705,-0.015243805484736805,-0.012230404315896948,-0.00015479171164236487,0.004193821413457477,-0.0017993794898489845,-0.002141521410006675,8.310956773794812e-05
I,1,2814,703,0.39090262970859985,0.5758751062022089,0.016247153346849674,0.012115969489175482,0.0004160930238974962,2814,703,0.39090262970859985,0.5812276975361088,0.020991365822613517,0.015513323900556486,0.0008115604393121819,0.00535259133389987,0.004744212475763843,0.003397354411381004,0.0003954674154146857
I,2,3517,703,0.3909582030139323,0.48821195734573203,-0.017693256651848843,-0.013512540740808765,0.00026820051918764927,3517,703,0.3909582030139323,0.4861904280588265,-0.019731240765583413,-0.01489104108198469,0.00018421063362426956,-0.0020215292869055212,-0.00203798411373457,-0.0013785003411759256,-8.39898855633797e-05
I,3,4220,703,0.3924170616113744,0.5480089175891759,-0.0007645123453636771,-0.0003251489626201476,0.00011538657712514066,4220,703,0.3924170616113744,0.565690344403444,0.004812386245492406,0.004010448660612953,5.158929017749791e-05,0.017681426814268097,0.005576898590856083,0.004335597623233101,-6.379728694764274e-05
