metric,instrument_fold_pairs,positive_pairs,positive_share,median_delta,mean_delta,p25_delta,p75_delta
auc,56,38,0.6785714285714286,0.004122210987842989,0.003259196463329011,-0.0024570416705079895,0.009723532852780825
brier_skill,56,38,0.6785714285714286,0.001295672184645269,0.0013462106226465262,-0.0003637756117504387,0.0038434119483315154
logloss_skill,56,39,0.6964285714285714,0.0009911240369470664,0.0010150860967671424,-0.0003108575717858941,0.003011151139130891
return_spread,56,37,0.6607142857142857,2.4074287236492058e-05,3.43241044519471e-05,-3.490118586495775e-05,9.582511060130115e-05
