instrument,n,abs_max,abs_p99,n_above_10pct,n_above_5pct,top20_session_open_share,all_session_open_share
AG,17559,0.048399280766898256,0.0075290276630841264,0,0,0.0,0.0
AU,17559,0.02637771496218985,0.003964270998171688,0,0,0.0,0.0
CU,12563,0.019331424056883272,0.003892136894836177,0,0,0.0,0.0
AL,12563,0.04098968280962473,0.005880633919252374,0,0,0.0,0.0
SN,12563,0.04793089594214544,0.01497550483789107,0,0,0.0,0.0
NI,12563,0.03748840906080275,0.010576694565170193,0,0,0.0,0.0
RB,5897,0.014889844838344213,0.005203481163146859,0,0,0.0,0.0
I,5897,0.014878599255351264,0.0057546351454678246,0,0,0.0,0.0
SC,17548,0.06713085597517596,0.011530867034072731,0,3,0.0,0.0
RU,5897,0.02663506611168739,0.01026326754134574,0,0,0.0,0.0
MA,5897,0.02749487501585574,0.013791993028443432,0,0,0.0,0.0
TA,5897,0.021752125957733435,0.007066344457977997,0,0,0.0,0.0
M,5897,0.010314913240931702,0.004104141793134672,0,0,0.0,0.0
P,5897,0.026265329540739856,0.007726181096913064,0,0,0.0,0.0
CF,5897,0.0165339364474174,0.005160253076633292,0,0,0.0,0.0
LC,2562,0.03478849689587995,0.020489998873226247,0,0,0.0,0.0
