instrument,row_id,rank,decision_time,trading_day,position_prev,position_now,abs_position_change,rel_dOI_5m,abs_rel_dOI_5m,oi_window_crosses_gap
AG,28648,1,2026-01-29 23:20:00,2026-01-30,281967.0,268320.0,-13647.0,-0.048399280766898256,0.048399280766898256,False
AG,26354,2,2025-12-29 14:55:00,2025-12-29,236862.0,229980.0,-6882.0,-0.029054892722344655,0.029054892722344655,False
AG,27190,3,2026-01-12 22:05:00,2026-01-13,325164.0,318069.0,-7095.0,-0.021819758644868435,0.021819758644868435,False
AG,26577,4,2026-01-05 09:00:00,2025-12-31,227627.0,222892.0,-4735.0,-0.020801574505660576,0.020801574505660576,False
AG,20627,5,2025-10-17 00:40:00,2025-10-17,501835.0,492808.0,-9027.0,-0.01798798409835902,0.01798798409835902,False
AG,26355,6,2025-12-29 21:00:00,2025-12-29,229980.0,225916.0,-4064.0,-0.01767110183494217,0.01767110183494217,False
AG,17002,7,2025-08-22 22:20:00,2025-08-25,312290.0,317776.0,5486.0,0.0175670050273784,0.0175670050273784,False
AG,26283,8,2025-12-27 00:15:00,2025-12-29,272362.0,267607.0,-4755.0,-0.0174583825937539,0.0174583825937539,False
AG,13656,9,2025-07-11 21:00:00,2025-07-11,410044.0,402953.0,-7091.0,-0.01729326608851733,0.01729326608851733,False
AG,43894,10,2026-08-28 14:50:00,2026-08-28,253357.0,257674.0,4317.0,0.017039197653903385,0.017039197653903385,False
AG,14790,11,2025-07-25 23:00:00,2025-07-28,437744.0,430847.0,-6897.0,-0.015755784202638984,0.015755784202638984,False
AG,26576,12,2025-12-31 14:55:00,2025-12-31,231238.0,227627.0,-3611.0,-0.01561594547608957,0.01561594547608957,False
AG,17001,13,2025-08-22 22:15:00,2025-08-25,307675.0,312290.0,4615.0,0.014999593727147152,0.014999593727147152,False
AG,31995,14,2026-03-23 21:00:00,2026-03-23,226013.0,222721.0,-3292.0,-0.01456553384097375,0.01456553384097375,False
AG,26635,15,2026-01-05 22:05:00,2026-01-06,246137.0,249722.0,3585.0,0.014565059296245587,0.014565059296245587,False
AG,26637,16,2026-01-05 22:15:00,2026-01-06,253054.0,256612.0,3558.0,0.014060240106854664,0.014060240106854664,False
AG,43910,17,2026-08-28 22:10:00,2026-08-31,263368.0,259676.0,-3692.0,-0.014018407703289694,0.014018407703289694,False
AG,43895,18,2026-08-28 14:55:00,2026-08-28,257674.0,261236.0,3562.0,0.013823668666609747,0.013823668666609747,False
AG,23380,19,2025-11-20 22:50:00,2025-11-21,360288.0,365238.0,4950.0,0.013739008792965628,0.013739008792965628,False
AG,24820,20,2025-12-09 22:35:00,2025-12-10,440472.0,446377.0,5905.0,0.013406073484807208,0.013406073484807208,False
AU,28648,1,2026-01-29 23:20:00,2026-01-30,206955.0,201496.0,-5459.0,-0.02637771496218985,0.02637771496218985,False
AU,36414,2,2026-05-25 21:00:00,2026-05-25,74545.0,75592.0,1047.0,0.014045207592729224,0.014045207592729224,False
AU,31786,3,2026-03-19 22:05:00,2026-03-20,77635.0,76748.0,-887.0,-0.011425259225864622,0.011425259225864622,False
AU,25628,4,2025-12-19 01:10:00,2025-12-19,198962.0,196890.0,-2072.0,-0.01041404891386295,0.01041404891386295,False
AU,30689,5,2026-03-05 23:10:00,2026-03-06,117611.0,118676.0,1065.0,0.00905527544192295,0.00905527544192295,False
AU,25800,6,2025-12-22 21:00:00,2025-12-22,200498.0,202290.0,1792.0,0.008937745014912866,0.008937745014912866,False
AU,31773,7,2026-03-19 21:00:00,2026-03-19,79196.0,78537.0,-659.0,-0.008321127329663114,0.008321127329663114,False
AU,14025,8,2025-07-17 00:00:00,2025-07-17,206206.0,204491.0,-1715.0,-0.008316925792653949,0.008316925792653949,False
AU,17556,9,2025-08-29 22:15:00,2025-09-01,141429.0,142557.0,1128.0,0.007975733406868465,0.007975733406868465,False
AU,31995,10,2026-03-23 21:00:00,2026-03-23,63242.0,62764.0,-478.0,-0.0075582682394611175,0.0075582682394611175,False
AU,25930,11,2025-12-23 22:35:00,2025-12-24,196972.0,195520.0,-1452.0,-0.007371606116605406,0.007371606116605406,False
AU,28797,12,2026-02-02 09:00:00,2026-02-02,190829.0,189432.0,-1397.0,-0.0073206902514816935,0.0073206902514816935,False
AU,29769,13,2026-02-13 00:15:00,2026-02-13,154904.0,156026.0,1122.0,0.007243195785776997,0.007243195785776997,False
AU,25617,14,2025-12-19 00:15:00,2025-12-19,195986.0,197402.0,1416.0,0.007225005867766065,0.007225005867766065,False
AU,18981,15,2025-09-17 14:45:00,2025-09-17,97235.0,96540.0,-695.0,-0.00714763202550522,0.00714763202550522,False
AU,40476,16,2026-07-16 22:45:00,2026-07-17,109006.0,109777.0,771.0,0.007073005155679504,0.007073005155679504,False
AU,28285,17,2026-01-26 14:50:00,2026-01-26,215173.0,216685.0,1512.0,0.007026903933114285,0.007026903933114285,False
AU,31992,18,2026-03-23 14:45:00,2026-03-23,63938.0,63490.0,-448.0,-0.007006787825706153,0.007006787825706153,False
AU,40138,19,2026-07-13 22:20:00,2026-07-14,120174.0,121014.0,840.0,0.006989864696190524,0.006989864696190524,False
AU,27856,20,2026-01-20 22:05:00,2026-01-21,195798.0,197151.0,1353.0,0.0069101829436460024,0.0069101829436460024,False
CU,24058,1,2026-01-29 23:20:00,2026-01-30,243024.0,238326.0,-4698.0,-0.019331424056883272,0.019331424056883272,False
CU,16421,2,2025-09-24 22:10:00,2025-09-25,200787.0,203478.0,2691.0,0.013402262098641845,0.013402262098641845,False
CU,16420,3,2025-09-24 22:05:00,2025-09-25,198138.0,200787.0,2649.0,0.013369469763498168,0.013369469763498168,False
CU,22122,4,2025-12-29 14:45:00,2025-12-29,242829.0,239596.0,-3233.0,-0.013313895786747052,0.013313895786747052,False
CU,22928,5,2026-01-13 22:10:00,2026-01-14,225317.0,228185.0,2868.0,0.012728733295756646,0.012728733295756646,False
CU,21841,6,2025-12-24 14:35:00,2025-12-24,253204.0,256397.0,3193.0,0.012610385301969953,0.012610385301969953,False
CU,28786,7,2026-04-22 22:20:00,2026-04-23,208215.0,210388.0,2173.0,0.010436327834209832,0.010436327834209832,False
CU,17752,8,2025-10-23 14:50:00,2025-10-23,243011.0,245531.0,2520.0,0.010369900950985758,0.010369900950985758,False
CU,22124,9,2025-12-29 14:55:00,2025-12-29,238448.0,236036.0,-2412.0,-0.010115413004093136,0.010115413004093136,False
CU,28785,10,2026-04-22 22:15:00,2026-04-23,206164.0,208215.0,2051.0,0.009948390601656934,0.009948390601656934,False
CU,16423,11,2025-09-24 22:20:00,2025-09-25,204454.0,206427.0,1973.0,0.009650092441331547,0.009650092441331547,False
CU,17753,12,2025-10-23 14:55:00,2025-10-23,245531.0,247896.0,2365.0,0.00963218493795081,0.00963218493795081,False
CU,28795,13,2026-04-22 23:05:00,2026-04-23,215641.0,217614.0,1973.0,0.009149466010638051,0.009149466010638051,False
CU,16425,14,2025-09-24 22:30:00,2025-09-25,207059.0,208929.0,1870.0,0.009031242302918492,0.009031242302918492,False
CU,28787,15,2026-04-22 22:25:00,2026-04-23,210388.0,212264.0,1876.0,0.008916858375953001,0.008916858375953001,False
CU,17445,16,2025-10-20 10:30:00,2025-10-20,222855.0,224810.0,1955.0,0.008772520248592134,0.008772520248592134,False
CU,16432,17,2025-09-24 23:05:00,2025-09-25,214546.0,216415.0,1869.0,0.008711418530291871,0.008711418530291871,False
CU,22139,18,2025-12-29 22:10:00,2025-12-30,230203.0,228212.0,-1991.0,-0.0086488881552369,0.0086488881552369,False
CU,21132,19,2025-12-12 23:30:00,2025-12-15,181544.0,180030.0,-1514.0,-0.00833957608072974,0.00833957608072974,False
CU,21842,20,2025-12-24 14:40:00,2025-12-24,256397.0,258481.0,2084.0,0.008128020218645305,0.008128020218645305,False
AL,24058,1,2026-01-29 23:20:00,2026-01-30,343989.0,329889.0,-14100.0,-0.04098968280962473,0.04098968280962473,False
AL,22834,2,2026-01-12 22:05:00,2026-01-13,406018.0,395404.0,-10614.0,-0.026141698151313487,0.026141698151313487,False
AL,28325,3,2026-04-15 22:40:00,2026-04-16,296314.0,303931.0,7617.0,0.025705839076115202,0.025705839076115202,False
AL,14467,4,2025-08-26 22:05:00,2025-08-27,261331.0,266603.0,5272.0,0.020173649509625725,0.020173649509625725,False
AL,25749,5,2026-03-05 21:00:00,2026-03-05,256529.0,251448.0,-5081.0,-0.01980672750449267,0.01980672750449267,False
AL,28322,6,2026-04-15 22:25:00,2026-04-16,281815.0,287070.0,5255.0,0.018646984724021078,0.018646984724021078,False
AL,28324,7,2026-04-15 22:35:00,2026-04-16,291192.0,296314.0,5122.0,0.01758976894969642,0.01758976894969642,False
AL,22122,8,2025-12-29 14:45:00,2025-12-29,299837.0,295043.0,-4794.0,-0.015988687186704775,0.015988687186704775,False
AL,22838,9,2026-01-12 22:25:00,2026-01-13,390560.0,384341.0,-6219.0,-0.01592328963539533,0.01592328963539533,False
AL,23857,10,2026-01-27 22:05:00,2026-01-28,317775.0,322652.0,4877.0,0.015347336952246085,0.015347336952246085,False
AL,22031,11,2025-12-26 14:55:00,2025-12-26,308638.0,304039.0,-4599.0,-0.014900951924260785,0.014900951924260785,False
AL,22032,12,2025-12-26 21:00:00,2025-12-26,304039.0,299641.0,-4398.0,-0.014465249523909762,0.014465249523909762,False
AL,28323,13,2026-04-15 22:30:00,2026-04-16,287070.0,291192.0,4122.0,0.014358867175253422,0.014358867175253422,False
AL,22928,14,2026-01-13 22:10:00,2026-01-14,383059.0,388163.0,5104.0,0.013324318185971351,0.013324318185971351,False
AL,16794,15,2025-10-09 10:30:00,2025-10-09,197743.0,200370.0,2627.0,0.013284920325877528,0.013284920325877528,False
AL,23859,16,2026-01-27 22:15:00,2026-01-28,322159.0,317884.0,-4275.0,-0.013269845014418346,0.013269845014418346,False
AL,32854,17,2026-06-30 14:35:00,2026-06-30,300329.0,296411.0,-3918.0,-0.013045693223098669,0.013045693223098669,False
AL,22728,18,2026-01-09 21:00:00,2026-01-09,191463.0,188993.0,-2470.0,-0.01290066488042076,0.01290066488042076,False
AL,16793,19,2025-10-09 10:10:00,2025-10-09,195327.0,197743.0,2416.0,0.012369001725311912,0.012369001725311912,False
AL,24028,20,2026-01-29 14:50:00,2026-01-29,351352.0,347014.0,-4338.0,-0.012346592590905986,0.012346592590905986,False
SN,25053,1,2026-02-24 09:00:00,2026-02-13,24890.0,23697.0,-1193.0,-0.04793089594214544,0.04793089594214544,False
SN,12408,2,2025-07-25 21:00:00,2025-07-25,11895.0,11350.0,-545.0,-0.045817570407734334,0.045817570407734334,False
SN,24058,3,2026-01-29 23:20:00,2026-01-30,51940.0,49852.0,-2088.0,-0.04020023103581055,0.04020023103581055,False
SN,34918,4,2026-07-30 22:05:00,2026-07-31,53182.0,54875.0,1693.0,0.031834079199729234,0.031834079199729234,False
SN,22071,5,2025-12-27 00:15:00,2025-12-29,58544.0,56697.0,-1847.0,-0.031548920470073794,0.031548920470073794,False
SN,22144,6,2025-12-29 22:35:00,2025-12-30,54590.0,52879.0,-1711.0,-0.031342736764975274,0.031342736764975274,False
SN,14516,7,2025-08-27 10:10:00,2025-08-27,31515.0,32445.0,930.0,0.029509757258448358,0.029509757258448358,False
SN,16700,8,2025-09-29 22:10:00,2025-09-30,32870.0,33805.0,935.0,0.028445390933982354,0.028445390933982354,False
SN,34254,9,2026-07-21 21:00:00,2026-07-21,31464.0,30588.0,-876.0,-0.02784134248665141,0.02784134248665141,False
SN,20006,10,2025-11-26 22:40:00,2025-11-27,48328.0,49639.0,1311.0,0.02712713126965734,0.02712713126965734,False
SN,21396,11,2025-12-17 22:15:00,2025-12-18,35988.0,35017.0,-971.0,-0.026981215960875847,0.026981215960875847,False
SN,23751,12,2026-01-26 21:00:00,2026-01-26,56729.0,55233.0,-1496.0,-0.02637099190890021,0.02637099190890021,False
SN,22143,13,2025-12-29 22:30:00,2025-12-30,53190.0,54590.0,1400.0,0.02632073698063546,0.02632073698063546,False
SN,22065,14,2025-12-26 23:45:00,2025-12-29,55686.0,57139.0,1453.0,0.02609273425995762,0.02609273425995762,False
SN,24055,15,2026-01-29 23:05:00,2026-01-30,54773.0,53348.0,-1425.0,-0.02601646796779435,0.02601646796779435,False
SN,32256,16,2026-06-22 09:00:00,2026-06-18,27739.0,27025.0,-714.0,-0.025739932946393165,0.025739932946393165,False
SN,16699,17,2025-09-29 22:05:00,2025-09-30,32074.0,32870.0,796.0,0.02481760927854337,0.02481760927854337,False
SN,21102,18,2025-12-12 21:00:00,2025-12-12,49527.0,48298.0,-1229.0,-0.024814747511458398,0.024814747511458398,False
SN,28143,19,2026-04-13 23:00:00,2026-04-14,34102.0,34940.0,838.0,0.02457333880710809,0.02457333880710809,False
SN,23859,20,2026-01-27 22:15:00,2026-01-28,58980.0,57535.0,-1445.0,-0.024499830451000338,0.024499830451000338,False
NI,24801,1,2026-02-10 23:15:00,2026-02-11,83039.0,86152.0,3113.0,0.03748840906080275,0.03748840906080275,False
NI,18123,2,2025-10-29 14:45:00,2025-10-29,116099.0,112517.0,-3582.0,-0.030852978923160405,0.030852978923160405,False
NI,23751,3,2026-01-26 21:00:00,2026-01-26,57762.0,56018.0,-1744.0,-0.030192860358020844,0.030192860358020844,False
NI,24058,4,2026-01-29 23:20:00,2026-01-30,139712.0,135533.0,-4179.0,-0.02991153229500687,0.02991153229500687,False
NI,23193,5,2026-01-16 21:00:00,2026-01-16,100644.0,97725.0,-2919.0,-0.029003219267914628,0.029003219267914628,False
NI,23241,6,2026-01-19 09:00:00,2026-01-19,92602.0,89925.0,-2677.0,-0.02890866287985141,0.02890866287985141,False
NI,23706,7,2026-01-26 09:00:00,2026-01-26,66161.0,64302.0,-1859.0,-0.02809812427260773,0.02809812427260773,False
NI,30625,8,2026-05-26 00:35:00,2026-05-26,73340.0,71305.0,-2035.0,-0.02774747750204527,0.02774747750204527,False
NI,22311,9,2026-01-05 09:00:00,2025-12-31,136022.0,132795.0,-3227.0,-0.023724103453853052,0.023724103453853052,False
NI,18031,10,2025-10-28 14:50:00,2025-10-28,113958.0,116641.0,2683.0,0.023543761736780217,0.023543761736780217,False
NI,23613,11,2026-01-23 09:00:00,2026-01-23,71160.0,69545.0,-1615.0,-0.022695334457560428,0.022695334457560428,False
NI,23799,12,2026-01-27 09:00:00,2026-01-27,52120.0,50940.0,-1180.0,-0.02264006139677667,0.02264006139677667,False
NI,23658,13,2026-01-23 21:00:00,2026-01-23,70133.0,68596.0,-1537.0,-0.021915503400681564,0.021915503400681564,False
NI,25053,14,2026-02-24 09:00:00,2026-02-13,58151.0,56904.0,-1247.0,-0.0214441712094375,0.0214441712094375,False
NI,23937,15,2026-01-28 21:00:00,2026-01-28,28476.0,27881.0,-595.0,-0.02089478859390364,0.02089478859390364,False
NI,23582,16,2026-01-22 22:25:00,2026-01-23,71337.0,72814.0,1477.0,0.0207045432244137,0.0207045432244137,False
NI,23379,17,2026-01-20 21:00:00,2026-01-20,80655.0,79005.0,-1650.0,-0.02045750418448949,0.02045750418448949,False
NI,21779,18,2025-12-23 23:10:00,2025-12-24,159589.0,156328.0,-3261.0,-0.020433739167486482,0.020433739167486482,False
NI,23055,19,2026-01-15 09:00:00,2026-01-15,122845.0,120357.0,-2488.0,-0.020253164556962026,0.020253164556962026,False
NI,27051,20,2026-03-25 21:00:00,2026-03-25,192666.0,188819.0,-3847.0,-0.01996719711832913,0.01996719711832913,False
RB,25194,1,2026-07-14 14:45:00,2026-07-14,2121916.0,2090321.0,-31595.0,-0.014889844838344213,0.014889844838344213,False
RB,25195,2,2026-07-14 14:50:00,2026-07-14,2090321.0,2060540.0,-29781.0,-0.014247094106598938,0.014247094106598938,False
RB,14760,3,2025-11-24 21:00:00,2025-11-24,1451504.0,1432705.0,-18799.0,-0.012951393864570818,0.012951393864570818,False
RB,9288,4,2025-07-28 09:00:00,2025-07-28,1948687.0,1926388.0,-22299.0,-0.011443089629068188,0.011443089629068188,False
RB,16801,5,2026-01-07 14:35:00,2026-01-07,1684843.0,1703813.0,18970.0,0.011259209315051907,0.011259209315051907,False
RB,9193,6,2025-07-24 14:50:00,2025-07-24,1944876.0,1924845.0,-20031.0,-0.010299371270970489,0.010299371270970489,False
RB,9746,7,2025-08-05 14:55:00,2025-08-05,1742175.0,1724616.0,-17559.0,-0.01007878083430195,0.01007878083430195,False
RB,11787,8,2025-09-16 10:30:00,2025-09-16,1997012.0,2016337.0,19325.0,0.00967695737431723,0.00967695737431723,False
RB,21310,9,2026-04-20 14:50:00,2026-04-20,1541329.0,1555610.0,14281.0,0.009265380720144758,0.009265380720144758,False
RB,9747,10,2025-08-05 21:00:00,2025-08-05,1724616.0,1708832.0,-15784.0,-0.009152182282896599,0.009152182282896599,False
RB,15519,11,2025-12-09 21:00:00,2025-12-09,1608086.0,1593746.0,-14340.0,-0.00891743352034655,0.00891743352034655,False
RB,9280,12,2025-07-25 22:20:00,2025-07-28,2004351.0,1986504.0,-17847.0,-0.008904129067214276,0.008904129067214276,False
RB,9540,13,2025-07-31 21:00:00,2025-07-31,1831296.0,1816026.0,-15270.0,-0.008338357097924094,0.008338357097924094,False
RB,21307,14,2026-04-20 14:35:00,2026-04-20,1517398.0,1529808.0,12410.0,0.008178473940258259,0.008178473940258259,False
