row_id,n_instruments,instruments,instrument,bar_start_time,bar_end_time,trading_day,position_prev,position_now,rel_change
24058,4,"AL,CU,NI,SN",AL,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,343989.0,329889.0,-0.04098968280962473
24058,4,"AL,CU,NI,SN",CU,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,243024.0,238326.0,-0.019331424056883272
24058,4,"AL,CU,NI,SN",NI,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,139712.0,135533.0,-0.02991153229500687
24058,4,"AL,CU,NI,SN",SN,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,51940.0,49852.0,-0.04020023103581055
20760,4,"I,M,MA,RU",I,2026-04-08 14:55:00,2026-04-08 15:00:00,2026-04-08,269134.0,266544.0,-0.009623458946101199
20760,4,"I,M,MA,RU",M,2026-04-08 14:55:00,2026-04-08 15:00:00,2026-04-08,948906.0,942801.0,-0.00643372473142756
20760,4,"I,M,MA,RU",MA,2026-04-08 14:55:00,2026-04-08 15:00:00,2026-04-08,495838.0,482989.0,-0.02591370568613136
20760,4,"I,M,MA,RU",RU,2026-04-08 14:55:00,2026-04-08 15:00:00,2026-04-08,48617.0,47746.0,-0.017915543945533456
28648,3,"AG,AU,SC",AG,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,281967.0,268320.0,-0.048399280766898256
28648,3,"AG,AU,SC",AU,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,206955.0,201496.0,-0.02637771496218985
28648,3,"AG,AU,SC",SC,2026-01-29 23:15:00,2026-01-29 23:20:00,2026-01-30,51616.0,48542.0,-0.05955517668939864
20508,3,"MA,P,TA",MA,2026-04-01 14:55:00,2026-04-01 15:00:00,2026-04-01,566555.0,555903.0,-0.018801352031135546
20508,3,"MA,P,TA",P,2026-04-01 14:55:00,2026-04-01 15:00:00,2026-04-01,220599.0,218125.0,-0.011214919378600991
20508,3,"MA,P,TA",TA,2026-04-01 14:55:00,2026-04-01 15:00:00,2026-04-01,848884.0,840810.0,-0.00951131132168824
20646,3,"I,M,RU",I,2026-04-03 14:55:00,2026-04-03 15:00:00,2026-04-03,303455.0,300491.0,-0.009767510833566756
20646,3,"I,M,RU",M,2026-04-03 14:55:00,2026-04-03 15:00:00,2026-04-03,1103009.0,1092005.0,-0.009976346521197924
20646,3,"I,M,RU",RU,2026-04-03 14:55:00,2026-04-03 15:00:00,2026-04-03,56647.0,55553.0,-0.0193125849559553
9193,2,"RB,RU",RB,2025-07-24 14:45:00,2025-07-24 14:50:00,2025-07-24,1944876.0,1924845.0,-0.010299371270970489
9193,2,"RB,RU",RU,2025-07-24 14:45:00,2025-07-24 14:50:00,2025-07-24,133855.0,131891.0,-0.014672593478017257
22122,2,"AL,CU",AL,2025-12-29 14:40:00,2025-12-29 14:45:00,2025-12-29,299837.0,295043.0,-0.015988687186704775
22122,2,"AL,CU",CU,2025-12-29 14:40:00,2025-12-29 14:45:00,2025-12-29,242829.0,239596.0,-0.013313895786747052
25053,2,"NI,SN",NI,2026-02-13 14:55:00,2026-02-13 15:00:00,2026-02-13,58151.0,56904.0,-0.0214441712094375
25053,2,"NI,SN",SN,2026-02-13 14:55:00,2026-02-13 15:00:00,2026-02-13,24890.0,23697.0,-0.04793089594214544
23859,2,"AL,SN",AL,2026-01-27 22:10:00,2026-01-27 22:15:00,2026-01-28,322159.0,317884.0,-0.013269845014418346
23859,2,"AL,SN",SN,2026-01-27 22:10:00,2026-01-27 22:15:00,2026-01-28,58980.0,57535.0,-0.024499830451000338
23751,2,"NI,SN",NI,2026-01-26 14:55:00,2026-01-26 15:00:00,2026-01-26,57762.0,56018.0,-0.030192860358020844
23751,2,"NI,SN",SN,2026-01-26 14:55:00,2026-01-26 15:00:00,2026-01-26,56729.0,55233.0,-0.02637099190890021
22928,2,"AL,CU",AL,2026-01-13 22:05:00,2026-01-13 22:10:00,2026-01-14,383059.0,388163.0,0.013324318185971351
22928,2,"AL,CU",CU,2026-01-13 22:05:00,2026-01-13 22:10:00,2026-01-14,225317.0,228185.0,0.012728733295756646
20898,2,"CF,MA",CF,2026-04-10 14:55:00,2026-04-10 15:00:00,2026-04-10,669215.0,662041.0,-0.010720022713178875
20898,2,"CF,MA",MA,2026-04-10 14:55:00,2026-04-10 15:00:00,2026-04-10,427924.0,417879.0,-0.023473794412091867
20967,2,"MA,TA",MA,2026-04-13 14:55:00,2026-04-13 15:00:00,2026-04-13,370561.0,361418.0,-0.024673400600710813
20967,2,"MA,TA",TA,2026-04-13 14:55:00,2026-04-13 15:00:00,2026-04-13,606598.0,600055.0,-0.010786385711789356
9288,2,"RB,TA",RB,2025-07-25 22:55:00,2025-07-25 23:00:00,2025-07-28,1948687.0,1926388.0,-0.011443089629068188
9288,2,"RB,TA",TA,2025-07-25 22:55:00,2025-07-25 23:00:00,2025-07-28,1034311.0,1019275.0,-0.014537213662041687
19197,2,"MA,TA",MA,2026-03-05 14:55:00,2026-03-05 15:00:00,2026-03-05,717321.0,702756.0,-0.020304717135006502
19197,2,"MA,TA",TA,2026-03-05 14:55:00,2026-03-05 15:00:00,2026-03-05,1408292.0,1385506.0,-0.016179883149233257
15726,2,"CF,TA",CF,2025-12-12 14:55:00,2025-12-12 15:00:00,2025-12-12,400614.0,397499.0,-0.007775564508479484
15726,2,"CF,TA",TA,2025-12-12 14:55:00,2025-12-12 15:00:00,2025-12-12,461556.0,455444.0,-0.013242163464455017
14760,2,"I,RB",I,2025-11-24 14:55:00,2025-11-24 15:00:00,2025-11-24,453664.0,449760.0,-0.008605487761867814
14760,2,"I,RB",RB,2025-11-24 14:55:00,2025-11-24 15:00:00,2025-11-24,1451504.0,1432705.0,-0.012951393864570818
9540,2,"LC,RB",LC,2025-11-18 14:55:00,2025-11-18 15:00:00,2025-11-18,496195.0,484357.0,-0.023857556001168897
9540,2,"LC,RB",RB,2025-07-31 14:55:00,2025-07-31 15:00:00,2025-07-31,1831296.0,1816026.0,-0.008338357097924094
31995,2,"AG,AU",AG,2026-03-23 14:55:00,2026-03-23 15:00:00,2026-03-23,226013.0,222721.0,-0.01456553384097375
