symbol,n_episodes,mean_duration,p50_duration,new_activation_only_rate,penetration_only_rate,censor_rate
AG,1832,11.016375545851528,8.0,0.42631004366812225,0.47925764192139736,0.001091703056768559
AL,1629,10.933087783916513,9.0,0.4192756292203806,0.4696132596685083,0.0
AU,1850,10.651351351351352,7.0,0.41945945945945945,0.48162162162162164,0.001081081081081081
CF,1520,8.841447368421052,8.0,0.42828947368421055,0.4868421052631579,0.0013157894736842105
CU,1687,10.350918790752816,8.0,0.4036751630112626,0.4949614700652045,0.0011855364552459987
I,1562,8.617157490396927,7.0,0.4346991037131882,0.4967989756722151,0.0012804097311139564
M,1634,8.202570379436965,7.0,0.4118727050183599,0.4981640146878825,0.0012239902080783353
MA,1567,8.49457562220804,7.0,0.41161455009572434,0.49968091895341415,0.0012763241863433313
NI,1848,9.794372294372295,7.0,0.41829004329004327,0.487012987012987,0.0010822510822510823
P,1591,8.386549340037712,7.0,0.38654934003771213,0.5003142677561282,0.001257071024512885
RB,1650,8.155151515151514,6.0,0.4127272727272727,0.5072727272727273,0.0012121212121212121
RU,1669,8.09946075494308,6.0,0.4104254044337927,0.5074895146794488,0.0011983223487118035
SC,1773,11.890016920473773,9.0,0.4173716864072194,0.47941342357586014,0.0011280315848843769
SN,1878,9.603833865814696,7.0,0.4110756123535676,0.47550585729499467,0.0010649627263045794
TA,1597,8.470882905447715,7.0,0.4057608015028178,0.4996869129618034,0.0006261740763932373
