window,model,mean_joint_nll,mean_cont_nll,mean_disc_nll,n_rows
A_TB1_to_TB2,K0_UNCONDITIONAL,-4.7449962757516095,-4.81542302924153,0.07042675348992065,111557
A_TB1_to_TB2,K1_STATE,-5.677656696557552,-5.746340439347632,0.06868373602628708,111557
A_TB1_to_TB2,K2_STATE_LAG1,-5.824705947949527,-5.893246634411147,0.06854068487882614,111557
B_TB1TB2_to_TB3,K0_UNCONDITIONAL,-5.085281782994246,-5.145166852446962,0.05988506945271636,107439
B_TB1TB2_to_TB3,K1_STATE,-5.981606279642745,-6.040058521323542,0.058452244848012924,107439
B_TB1TB2_to_TB3,K2_STATE_LAG1,-6.134738434434741,-6.193028532486533,0.05829009786248207,107439
