block,metric,point,ci95_lower,ci95_upper,p_pos
TB2,rho_CC_all,0.05409264460474137,0.047635344858546404,0.06048403078223117,1.0
TB2,rho_state,0.05409264460474137,0.047635344858546404,0.06048403078223117,1.0
TB2,rho_trad_all,0.03738415552678763,0.031485028638702776,0.0431814785640136,1.0
TB2,rho_trad,0.03738415552678763,0.031485028638702776,0.0431814785640136,1.0
TB2,EV_sign_all,0.0061015680383885,0.002376269221583709,0.009944777069222208,0.9995
TB2,EV_sign,0.0061015680383885,0.002376269221583709,0.009944777069222208,0.9995
TB2,rho_model_nonterminal,0.1376107422600478,0.13179330314794013,0.1435734500395163,1.0
TB3,rho_CC_all,0.04309351561699863,0.036025114741163176,0.050613885728118146,1.0
TB3,rho_state,0.04309351561699863,0.036025114741163176,0.050613885728118146,1.0
TB3,rho_trad_all,0.029692681886083327,0.023014660359958326,0.036723338472188734,1.0
TB3,rho_trad,0.029692681886083327,0.023014660359958326,0.036723338472188734,1.0
TB3,EV_sign_all,0.0013941236469649282,-0.0047497753767200826,0.007250365846576547,0.684
TB3,EV_sign,0.0013941236469649282,-0.0047497753767200826,0.007250365846576547,0.684
TB3,rho_model_nonterminal,0.12577594268819717,0.11873621462086628,0.13309316899231607,1.0
