window,comparison,role,joint_nll_A,joint_nll_B,delta_sample_weighted,delta_daily_mean,n_days,ci_lo,ci_hi,verdict
A_TB1_to_TB2,C_PAIRWISE_CRF - A_COND_INDEPENDENT_CRF,PRIMARY,1.5262656254998812,1.8056625652804432,-0.2793969397805619,-0.2777601633736697,102,-0.2907113710516529,-0.2649289834004673,CI_below_zero
A_TB1_to_TB2,C_PAIRWISE_CRF - L_LEGACY_4_HEADS,SECONDARY_PRACTICAL,1.5262656254998812,1.9197763129958365,-0.393510687495955,-0.39122080752302235,102,-0.4041531062867903,-0.3796480770330467,CI_below_zero
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK - A_COND_INDEPENDENT_CRF,REFERENCE_ONLY,1.5013690434558704,1.8056625652804432,-0.3042935218245729,-0.3023586300421239,102,-0.3157788373818721,-0.28915822963477833,CI_below_zero
B_TB1TB2_to_TB3,C_PAIRWISE_CRF - A_COND_INDEPENDENT_CRF,PRIMARY,1.5369201214195605,1.8112646890793984,-0.2743445676598378,-0.27507793879333126,102,-0.28969165367980987,-0.26055809363117244,CI_below_zero
B_TB1TB2_to_TB3,C_PAIRWISE_CRF - L_LEGACY_4_HEADS,SECONDARY_PRACTICAL,1.5369201214195605,1.9205729313604043,-0.3836528099408435,-0.38351879297226654,102,-0.3980240049624277,-0.3696944950610178,CI_below_zero
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK - A_COND_INDEPENDENT_CRF,REFERENCE_ONLY,1.5155175018724927,1.8112646890793984,-0.2957471872069057,-0.29654144550638606,102,-0.3118669104479063,-0.2809269545068218,CI_below_zero
