bin,sample,n,p_up,p_down
"(-inf,-1]",TB2_resolved,24452,0.8140438409946017,0.18595615900539833
"(-1,-0.5]",TB2_resolved,17711,0.6870306589125402,0.3129693410874598
"(-0.5,0]",TB2_resolved,22170,0.5741542625169147,0.42584573748308524
"(0,0.5]",TB2_resolved,20093,0.45816951177026827,0.5418304882297318
"(0.5,1]",TB2_resolved,17641,0.3487330650189899,0.6512669349810102
"(1,inf)",TB2_resolved,22545,0.20235085384785984,0.7976491461521401
