window,pair,beta,sign
A_TB1_to_TB2,UP_PEN x DOWN_PEN,-3.1678021626645836,-1
A_TB1_to_TB2,UP_PEN x NEW_UPPER,-2.69352863459755,-1
A_TB1_to_TB2,UP_PEN x NEW_LOWER,1.1500618139239815,1
A_TB1_to_TB2,DOWN_PEN x NEW_UPPER,1.1340867476978898,1
A_TB1_to_TB2,DOWN_PEN x NEW_LOWER,-2.5903413486103113,-1
A_TB1_to_TB2,NEW_UPPER x NEW_LOWER,3.4378053964739466,1
B_TB1TB2_to_TB3,UP_PEN x DOWN_PEN,-3.649140416714038,-1
B_TB1TB2_to_TB3,UP_PEN x NEW_UPPER,-2.8724468885458974,-1
B_TB1TB2_to_TB3,UP_PEN x NEW_LOWER,1.0926051613229262,1
B_TB1TB2_to_TB3,DOWN_PEN x NEW_UPPER,1.0542768705394523,1
B_TB1TB2_to_TB3,DOWN_PEN x NEW_LOWER,-2.7001244342365354,-1
B_TB1TB2_to_TB3,NEW_UPPER x NEW_LOWER,3.40555394125652,1
