block,bin_idx,n,score_mean,r_state_CC_mean,r_trad_OC_mean,sign_policy_EV
TB2,0,12456,-0.1521433999314366,-0.020923740396763115,-0.0013424324157542357,0.0013424324157542357
TB2,1,12456,-0.07809769425403004,-0.02086678110175712,-0.003559775739699577,0.003559775739699577
TB2,2,12455,-0.04990836010766265,-0.010956811814484905,-0.0015015319686389013,0.0015015319686389013
TB2,3,12456,-0.028393423513108536,-0.001748870197399254,-0.0014315720057289582,0.0014315720057289582
TB2,4,12455,-0.009515167451241936,-0.0006060544011991285,-0.007125972800688622,0.007125972800688622
TB2,5,12456,0.008659996905222445,0.004866622700588726,0.0020294912903108184,0.003263633274224613
TB2,6,12455,0.027741069144277403,0.0014030772720265538,-0.00043436987644738156,-0.00043436987644738156
TB2,7,12456,0.048865924969903475,0.02286592036901308,0.008826541700742612,0.008826541700742612
TB2,8,12455,0.07589319998476858,0.03290394139706637,0.01588415893769212,0.01588415893769212
TB2,9,12456,0.14831614323356843,0.04895828538649607,0.018514405005929362,0.018514405005929362
TB3,0,10820,-0.15085655272791643,0.008332916777106477,0.010852560193843177,-0.010852560193843177
TB3,1,11212,-0.07798880560386114,0.004917810701835153,0.0025552355555788528,-0.0025552355555788528
TB3,2,11790,-0.04988842357513801,-0.00617529110121589,-0.004437557532822282,0.004437557532822282
TB3,3,11959,-0.028359317568702032,0.04467551637944264,0.009263179653266396,-0.009263179653266396
TB3,4,11946,-0.009444699497177451,0.0022908144515182407,-0.003282607457230414,0.003282607457230414
TB3,5,12508,0.008669025711861875,0.013339158873387547,0.003510088998831358,0.0020881258592959223
TB3,6,12445,0.027724148813220273,0.0042799675975662334,-0.001483071484278022,-0.001483071484278022
TB3,7,12141,0.048851531971775046,0.010790251340144193,0.0033087738485374366,0.0033087738485374366
TB3,8,12351,0.07605082783674977,0.031989899056391075,0.012682350218198628,0.012682350218198628
TB3,9,13008,0.1451019138442507,0.0388724754596929,0.009870259167423455,0.009870259167423455
