duration_bin,n,rate
1,3837,0.15182210263918014
2,2290,0.09061053297985992
3-5,4451,0.1761168044949155
6-10,5070,0.20060934594230997
11-20,7500,0.29675938748862424
21-40,1626,0.06433743520753374
41+,499,0.019744391247576466
