window,comparison,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,K1-K0,-1.6403325667095778,-1.6603521957864047,-1.6203843893030048,CI_below_zero
A_TB1_to_TB2,K1A-K1,-0.0007260742972823249,-0.0033909255238381893,0.0025829915143580295,CI_contains_zero
A_TB1_to_TB2,K2-K1A,-0.06332858734668216,-0.06846770495309824,-0.058544135230355954,CI_below_zero
A_TB1_to_TB2,K2-K1,-0.06405466164396448,-0.06911039306506822,-0.05966390636760223,CI_below_zero
B_TB1TB2_to_TB3,K1-K0,-1.6432254873774568,-1.6642894750278598,-1.6233646773736932,CI_below_zero
B_TB1TB2_to_TB3,K1A-K1,-0.003614674577392134,-0.005571964386514431,-0.0016072260643647154,CI_below_zero
B_TB1TB2_to_TB3,K2-K1A,-0.06318958217628332,-0.06838260972150424,-0.05826242944279924,CI_below_zero
B_TB1TB2_to_TB3,K2-K1,-0.06680425675367546,-0.07232721106441108,-0.061413758616058814,CI_below_zero
