window,model,n_params,n_iter,final_fun,success,elapsed_seconds
A_TB1_to_TB2,M0_START_STATE,134,600,1.449520328976993,True,2.93
A_TB1_to_TB2,M1_CURRENT_5M_SNAPSHOT,150,509,1.1635327623995932,True,2.46
A_TB1_to_TB2,M2_INTRA_EPISODE_PATH,174,516,1.1563572113655147,True,2.53
A_TB1_to_TB2,M3_SMC_STRUCTURE,214,578,1.1511062278732636,True,3.18
A_TB1_to_TB2,M4_OB_LIFECYCLE,242,566,1.1494285687473016,True,3.62
B_TB1TB2_to_TB3,M0_START_STATE,134,686,1.442367281518185,True,8.61
B_TB1TB2_to_TB3,M1_CURRENT_5M_SNAPSHOT,150,735,1.1605284072531137,True,7.98
B_TB1TB2_to_TB3,M2_INTRA_EPISODE_PATH,174,673,1.154295670118681,True,8.23
B_TB1TB2_to_TB3,M3_SMC_STRUCTURE,214,722,1.150884013232609,True,8.98
B_TB1TB2_to_TB3,M4_OB_LIFECYCLE,242,723,1.149280017355008,True,8.14
