symbol,decision_bar_index,resolution_bar_index,frozen_outcome,frozen_duration_bars,first_reconfig_bar_index,bars_to_first_reconfig,episode_fraction_to_first_reconfig,frozen_upper_price,first_upper_price,frozen_lower_price,first_lower_price,first_reconfig_close,upper_inward,lower_inward,new_upper_activation_bar,new_lower_activation_bar,first_reconfig_side
AG,15,45,0,30,27,12,0.4,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,16,45,0,29,27,11,0.3793103448275862,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,17,45,0,28,27,10,0.35714285714285715,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,18,45,0,27,27,9,0.3333333333333333,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,19,45,0,26,27,8,0.3076923076923077,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,20,45,0,25,27,7,0.28,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,21,45,0,24,27,6,0.25,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,22,45,0,23,27,5,0.21739130434782608,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,23,45,0,22,27,4,0.18181818181818182,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,24,45,0,21,27,3,0.14285714285714285,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,25,45,0,20,27,2,0.1,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,26,45,0,19,27,1,0.05263157894736842,7626.0,7622.0,7505.0,7597.0,7612.0,True,True,27,27,BOTH
AG,111,156,0,45,126,15,0.3333333333333333,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,112,156,0,44,126,14,0.3181818181818182,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,113,156,0,43,126,13,0.3023255813953488,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,114,156,0,42,126,12,0.2857142857142857,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,115,156,0,41,126,11,0.2682926829268293,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,116,156,0,40,126,10,0.25,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,117,156,0,39,126,9,0.23076923076923078,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,118,156,0,38,126,8,0.21052631578947367,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,119,156,0,37,126,7,0.1891891891891892,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,120,156,0,36,126,6,0.16666666666666666,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,121,156,0,35,126,5,0.14285714285714285,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,122,156,0,34,126,4,0.11764705882352941,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,123,156,0,33,126,3,0.09090909090909091,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,124,156,0,32,126,2,0.0625,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,125,156,0,31,126,1,0.03225806451612903,7656.0,7656.0,7596.0,7625.0,7650.0,False,True,-1,126,LOWER_ONLY
AG,126,139,1,13,138,12,0.9230769230769231,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,127,139,1,12,138,11,0.9166666666666666,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,128,139,1,11,138,10,0.9090909090909091,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,129,139,1,10,138,9,0.9,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,130,139,1,9,138,8,0.8888888888888888,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,131,139,1,8,138,7,0.875,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,132,139,1,7,138,6,0.8571428571428571,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,133,139,1,6,138,5,0.8333333333333334,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,134,139,1,5,138,4,0.8,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,135,139,1,4,138,3,0.75,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,136,139,1,3,138,2,0.6666666666666666,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,137,139,1,2,138,1,0.5,7656.0,7654.0,7625.0,7625.0,7631.0,True,False,138,-1,UPPER_ONLY
AG,232,250,1,18,237,5,0.2777777777777778,7715.0,7697.0,7614.0,7652.0,7673.0,True,True,237,237,BOTH
AG,233,250,1,17,237,4,0.23529411764705882,7715.0,7697.0,7614.0,7652.0,7673.0,True,True,237,237,BOTH
AG,234,250,1,16,237,3,0.1875,7715.0,7697.0,7614.0,7652.0,7673.0,True,True,237,237,BOTH
AG,235,250,1,15,237,2,0.13333333333333333,7715.0,7697.0,7614.0,7652.0,7673.0,True,True,237,237,BOTH
AG,236,250,1,14,237,1,0.07142857142857142,7715.0,7697.0,7614.0,7652.0,7673.0,True,True,237,237,BOTH
AG,318,381,0,63,333,15,0.23809523809523808,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,319,381,0,62,333,14,0.22580645161290322,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,320,381,0,61,333,13,0.21311475409836064,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,321,381,0,60,333,12,0.2,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,322,381,0,59,333,11,0.1864406779661017,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,323,381,0,58,333,10,0.1724137931034483,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,324,381,0,57,333,9,0.15789473684210525,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,325,381,0,56,333,8,0.14285714285714285,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,326,381,0,55,333,7,0.12727272727272726,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,327,381,0,54,333,6,0.1111111111111111,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,328,381,0,53,333,5,0.09433962264150944,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,329,381,0,52,333,4,0.07692307692307693,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,330,381,0,51,333,3,0.058823529411764705,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,331,381,0,50,333,2,0.04,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,332,381,0,49,333,1,0.02040816326530612,7773.0,7773.0,7595.0,7619.0,7685.0,False,True,-1,333,LOWER_ONLY
AG,333,381,0,48,348,15,0.3125,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,334,381,0,47,348,14,0.2978723404255319,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,335,381,0,46,348,13,0.2826086956521739,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,336,381,0,45,348,12,0.26666666666666666,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,337,381,0,44,348,11,0.25,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,338,381,0,43,348,10,0.23255813953488372,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,339,381,0,42,348,9,0.21428571428571427,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,340,381,0,41,348,8,0.1951219512195122,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,341,381,0,40,348,7,0.175,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,342,381,0,39,348,6,0.15384615384615385,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,343,381,0,38,348,5,0.13157894736842105,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,344,381,0,37,348,4,0.10810810810810811,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,345,381,0,36,348,3,0.08333333333333333,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,346,381,0,35,348,2,0.05714285714285714,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,347,381,0,34,348,1,0.029411764705882353,7773.0,7714.0,7619.0,7678.0,7692.0,True,True,348,348,BOTH
AG,360,381,0,21,378,18,0.8571428571428571,7773.0,7773.0,7690.0,7717.0,7758.0,False,True,-1,378,LOWER_ONLY
AG,361,381,0,20,378,17,0.85,7773.0,7773.0,7690.0,7717.0,7758.0,False,True,-1,378,LOWER_ONLY
