window,symbol,n,mean_bit_logloss_F0,mean_bit_logloss_F1,mean_bit_logloss_F2,mean_bit_logloss_F3,delta_F3_minus_F1,delta_F2_minus_F0
A_TB1_to_TB2,AG,888,0.5631867565386255,0.5474186222624378,0.5486237778894741,0.5450555767013995,-0.0023630455610381467,-0.014562978649151391
A_TB1_to_TB2,AL,797,0.5376847245130613,0.5355155620703841,0.5353759491382618,0.5350663462289003,-0.0004492158414838587,-0.0023087753747995034
A_TB1_to_TB2,AU,899,0.5483952587072546,0.5432248903622116,0.5423957883227976,0.5402884248706119,-0.002936465491599762,-0.005999470384456929
A_TB1_to_TB2,CF,790,0.5343886325547513,0.530980147608467,0.5327599175753299,0.532350191195636,0.0013700435871689739,-0.0016287149794214349
A_TB1_to_TB2,CU,874,0.5269952572539123,0.5273209521698966,0.5251398570878065,0.5264278837611658,-0.0008930684087307862,-0.001855400166105658
A_TB1_to_TB2,I,823,0.5240018494799479,0.5171157067951161,0.5157057952083346,0.5157416884005731,-0.0013740183945430173,-0.008296054271613265
A_TB1_to_TB2,M,844,0.5206733484259991,0.5154506085839732,0.5154341201773208,0.5137025795151552,-0.0017480290688180527,-0.005239228248678277
A_TB1_to_TB2,MA,792,0.516440754747128,0.5056559063748581,0.5065790936410131,0.5069263329083346,0.0012704265334764755,-0.009861661106114908
A_TB1_to_TB2,NI,985,0.5355012546674066,0.5324882307886254,0.5291316235526118,0.5298716015842246,-0.002616629204400603,-0.006369631114794809
A_TB1_to_TB2,P,800,0.5291218059315339,0.5262286934847445,0.5234365936866149,0.5235696210697565,-0.002659072414988045,-0.005685212244919071
A_TB1_to_TB2,RB,854,0.5136055017349638,0.5041080774251429,0.5047011957901838,0.5036426463737886,-0.000465431051354223,-0.008904305944779877
A_TB1_to_TB2,RU,850,0.5213696118732906,0.5183912899425211,0.517211553170165,0.5166311400785614,-0.00176014986395984,-0.004158058703125587
A_TB1_to_TB2,SC,901,0.6045928024113023,0.5894731317112524,0.5938930839616371,0.5878270642685128,-0.0016460674427396216,-0.010699718449665354
A_TB1_to_TB2,SN,964,0.5379278678062801,0.5287919081991896,0.5283766836870833,0.5269981515041363,-0.0017937566950533808,-0.009551184119196705
A_TB1_to_TB2,TA,831,0.5259536802128438,0.5117081055659707,0.5147761662961675,0.5119051666593343,0.00019706109336362974,-0.011177513916676244
B_TB1TB2_to_TB3,AG,824,0.5545427660505613,0.549949964796934,0.5476476892339236,0.5468141115900077,-0.003135853206926424,-0.006895076816637761
B_TB1TB2_to_TB3,AL,825,0.5271307667815858,0.5162261315832559,0.5161739690746688,0.5151861842864581,-0.0010399472967978752,-0.01095679770691702
B_TB1TB2_to_TB3,AU,933,0.5506330402281197,0.5453829447993644,0.5423672065570273,0.5414440780299703,-0.0039388667693941925,-0.008265833671092402
B_TB1TB2_to_TB3,CF,788,0.5422270666471601,0.5347578104255875,0.5343902711886594,0.5321250975997595,-0.0026327128258280723,-0.007836795458500754
B_TB1TB2_to_TB3,CU,808,0.525551998394939,0.5214301896184256,0.5195484729096461,0.5194196990674114,-0.002010490551014289,-0.0060035254852930636
B_TB1TB2_to_TB3,I,790,0.5312372251033417,0.524282311278645,0.5249851057203656,0.523574413642334,-0.0007078976363108485,-0.006252119382976055
B_TB1TB2_to_TB3,M,818,0.5425798830042156,0.5339476665828617,0.5348073221666744,0.532973738367221,-0.0009739282156407892,-0.007772560837541228
B_TB1TB2_to_TB3,MA,793,0.5283236292856602,0.520719826886063,0.5208653507410262,0.5204454583457807,-0.0002743685402822126,-0.007458278544633931
B_TB1TB2_to_TB3,NI,894,0.5336949813032549,0.5239083407534328,0.5227779386826077,0.5214902090039885,-0.002418131749444404,-0.010917042620647225
B_TB1TB2_to_TB3,P,786,0.5313899271596715,0.5217705062343736,0.5243859805861661,0.5213640784091063,-0.0004064278252672755,-0.007003946573505442
B_TB1TB2_to_TB3,RB,834,0.5365433137449934,0.5316409803540285,0.5315492366507113,0.5284319006834929,-0.003209079670535715,-0.004994077094282014
B_TB1TB2_to_TB3,RU,875,0.5345841412579271,0.5281881253911249,0.526510891537806,0.5237535120345228,-0.004434613356602043,-0.008073249720121141
B_TB1TB2_to_TB3,SC,885,0.5685421547444903,0.5633764861429836,0.561855493303389,0.5620747808562556,-0.0013017052867280061,-0.006686661441101276
B_TB1TB2_to_TB3,SN,851,0.548781443336584,0.5393285215289026,0.53670703570986,0.5365922786627944,-0.002736242866108298,-0.012074407626723935
B_TB1TB2_to_TB3,TA,815,0.5201571564219976,0.512922121701377,0.5132131990455324,0.51072001297464,-0.002202108726736997,-0.006943957376465108
