frozen_duration_bars,reconfigured_before_resolution,first_reconfig_bar_index,bars_to_first_reconfig,episode_fraction_to_first_reconfig,first_reconfig_side,upper_inward,lower_inward,upper_non_inward,lower_non_inward,any_upper_inward,any_lower_inward,any_inward_reconfig,n_upper_pair_changes,n_lower_pair_changes,n_any_pair_change_bars,new_upper_activation_bar,new_lower_activation_bar,provenance_upper_ok,provenance_lower_ok,frozen_upper_price,frozen_lower_price,first_upper_price,first_lower_price,first_reconfig_close,symbol,decision_bar_index,resolution_bar_index,frozen_outcome,block
13,True,4867,1,0.07692307692307693,1,True,False,False,False,True,False,True,2,0,2,4863,-1,False,True,8173.0,8117.0,8143.0,8117.0,8138.0,AG,4866,4879,0,TB1
12,True,8098,1,0.08333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,8097,True,False,8346.0,8303.0,8346.0,8312.0,8317.0,AG,8097,8109,1,TB1
17,True,17404,1,0.058823529411764705,1,True,False,False,False,True,True,True,4,2,6,17400,-1,False,True,9377.0009765625,9337.0009765625,9366.0009765625,9337.0009765625,9362.0009765625,AG,17403,17420,0,TB2
6,True,17413,1,0.16666666666666666,2,False,True,False,False,False,True,True,0,2,2,-1,17412,True,False,9367.0009765625,9337.0009765625,9367.0009765625,9353.0009765625,9355.0009765625,AG,17412,17418,0,TB2
7,True,35,1,0.14285714285714285,1,True,False,False,False,True,False,True,1,0,1,27,-1,False,True,19915.0,19810.0,19905.0,19810.0,19890.0,AL,34,41,0,TB1
12,True,806,1,0.08333333333333333,2,False,True,False,False,False,True,True,0,2,2,-1,805,True,False,20360.0,20205.0,20360.0,20230.0,20235.0,AL,805,817,1,TB1
11,True,1024,1,0.09090909090909091,2,False,True,False,False,False,True,True,0,1,1,-1,1023,True,False,20450.0,20240.0,20450.0,20360.0,20385.0,AL,1023,1034,0,TB1
26,True,1556,1,0.038461538461538464,2,False,True,False,False,False,True,True,0,2,2,-1,1533,True,False,20425.0,20235.0,20425.0,20300.0,20315.0,AL,1555,1581,1,TB1
9,True,2176,1,0.1111111111111111,1,True,False,False,False,True,False,True,2,0,2,2136,-1,False,True,20595.0,20515.0,20580.0,20515.0,20570.0,AL,2175,2184,0,TB1
5,True,2528,1,0.2,1,True,False,False,False,True,False,True,1,0,1,2508,-1,False,True,20685.0,20620.0,20680.0,20620.0,20665.0,AL,2527,2532,0,TB1
4,True,3349,1,0.25,1,True,False,False,False,True,False,True,2,0,2,3345,-1,False,True,20730.0,20660.0,20725.0,20660.0,20710.0,AL,3348,3352,0,TB1
9,True,3421,1,0.1111111111111111,1,True,False,False,False,True,False,True,2,0,2,3420,-1,False,True,20715.0,20630.0,20675.0,20630.0,20670.0,AL,3420,3429,1,TB1
12,True,3847,1,0.08333333333333333,1,True,False,False,False,True,True,True,3,2,5,3845,-1,False,True,20950.0,20855.0,20880.0,20855.0,20875.0,AL,3846,3858,1,TB1
6,True,3854,3,0.5,1,True,False,False,False,True,False,True,1,1,2,3845,-1,False,True,20950.0,20865.0,20880.0,20865.0,20875.0,AL,3851,3857,1,TB1
5,True,3854,2,0.4,1,True,False,False,False,True,False,True,1,1,2,3845,-1,False,True,20950.0,20865.0,20880.0,20865.0,20875.0,AL,3852,3857,1,TB1
4,True,3854,1,0.25,1,True,False,False,False,True,False,True,1,1,2,3845,-1,False,True,20950.0,20865.0,20880.0,20865.0,20875.0,AL,3853,3857,1,TB1
115,True,4649,1,0.008695652173913044,2,False,True,False,False,True,True,True,7,11,15,-1,4647,True,False,20775.0,20630.0,20775.0,20690.0,20705.0,AL,4648,4763,1,TB1
78,True,4804,1,0.01282051282051282,1,True,False,False,False,True,True,True,4,4,6,4803,-1,False,True,20750.0,20590.0,20685.0,20590.0,20680.0,AL,4803,4881,0,TB1
12,True,4969,2,0.16666666666666666,2,False,True,False,False,True,True,True,2,3,5,-1,4942,True,False,20750.0,20650.0,20750.0,20665.0,20670.0,AL,4967,4979,0,TB1
11,True,4969,1,0.09090909090909091,2,False,True,False,False,True,True,True,2,3,5,-1,4942,True,False,20750.0,20650.0,20750.0,20665.0,20670.0,AL,4968,4979,0,TB1
8,True,4972,1,0.125,2,False,True,False,False,True,True,True,2,1,3,-1,4942,True,False,20750.0,20650.0,20750.0,20665.0,20670.0,AL,4971,4979,0,TB1
69,True,5695,1,0.014492753623188406,2,False,True,False,False,True,True,True,3,2,4,-1,5685,True,False,19500.0,19000.0,19500.0,19255.0,19265.0,AL,5694,5763,0,TB1
32,True,6197,1,0.03125,1,True,False,False,False,True,False,True,2,0,2,6162,-1,False,True,19650.0,19485.0,19615.0,19485.0,19610.0,AL,6196,6228,0,TB1
6,True,7200,1,0.16666666666666666,2,False,True,False,False,True,True,True,1,2,3,-1,7198,True,False,19890.0,19730.0,19890.0,19770.0,19775.0,AL,7199,7205,0,TB1
42,True,7757,1,0.023809523809523808,1,True,False,False,False,True,True,True,4,4,8,7756,-1,False,True,20290.0,20195.0,20260.0,20195.0,20250.0,AL,7756,7798,1,TB1
11,True,8075,1,0.09090909090909091,2,False,True,False,False,False,True,True,0,1,1,-1,8050,True,False,20110.0,20005.0,20110.0,20035.0,20045.0,AL,8074,8085,0,TB1
56,True,8311,2,0.03571428571428571,1,True,False,False,False,True,True,True,9,5,13,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8309,8365,1,TB1
55,True,8311,1,0.01818181818181818,1,True,False,False,False,True,True,True,9,5,13,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8310,8365,1,TB1
53,True,8313,1,0.018867924528301886,1,True,False,False,False,True,True,True,7,5,11,8295,-1,False,True,20245.0,20100.0,20170.0,20100.0,20165.0,AL,8312,8365,1,TB1
