window,interaction,n_train,n_positive,positive_rate
A_TB1_to_TB2,pp_UP_PEN_x_p_UP_PEN,11527,1224,0.10618547757439056
A_TB1_to_TB2,pp_UP_PEN_x_p_DOWN_PEN,11527,351,0.030450247245597292
A_TB1_to_TB2,pp_UP_PEN_x_p_NEW_UPPER,11527,1427,0.12379630432896678
A_TB1_to_TB2,pp_UP_PEN_x_p_NEW_LOWER,11527,1549,0.1343801509499436
A_TB1_to_TB2,pp_DOWN_PEN_x_p_UP_PEN,11527,373,0.032358809751019346
A_TB1_to_TB2,pp_DOWN_PEN_x_p_DOWN_PEN,11527,1276,0.11069662531447905
A_TB1_to_TB2,pp_DOWN_PEN_x_p_NEW_UPPER,11527,1597,0.1385442873254099
A_TB1_to_TB2,pp_DOWN_PEN_x_p_NEW_LOWER,11527,1458,0.12648564240478877
A_TB1_to_TB2,pp_NEW_UPPER_x_p_UP_PEN,11527,1467,0.1272664179751887
A_TB1_to_TB2,pp_NEW_UPPER_x_p_DOWN_PEN,11527,1594,0.13828402880194327
A_TB1_to_TB2,pp_NEW_UPPER_x_p_NEW_UPPER,11527,990,0.08588531274399236
A_TB1_to_TB2,pp_NEW_UPPER_x_p_NEW_LOWER,11527,1141,0.09898499175848009
A_TB1_to_TB2,pp_NEW_LOWER_x_p_UP_PEN,11527,1533,0.13299210549145485
A_TB1_to_TB2,pp_NEW_LOWER_x_p_DOWN_PEN,11527,1493,0.12952199184523294
A_TB1_to_TB2,pp_NEW_LOWER_x_p_NEW_UPPER,11527,1156,0.10028628437581331
A_TB1_to_TB2,pp_NEW_LOWER_x_p_NEW_LOWER,11527,973,0.08441051444434805
B_TB1TB2_to_TB3,pp_UP_PEN_x_p_UP_PEN,24351,2822,0.11588846453944397
B_TB1TB2_to_TB3,pp_UP_PEN_x_p_DOWN_PEN,24351,702,0.028828384871257853
B_TB1TB2_to_TB3,pp_UP_PEN_x_p_NEW_UPPER,24351,2942,0.12081639357726583
B_TB1TB2_to_TB3,pp_UP_PEN_x_p_NEW_LOWER,24351,3264,0.13403966982875445
B_TB1TB2_to_TB3,pp_DOWN_PEN_x_p_UP_PEN,24351,711,0.029197979549094494
B_TB1TB2_to_TB3,pp_DOWN_PEN_x_p_DOWN_PEN,24351,2776,0.11399942507494559
B_TB1TB2_to_TB3,pp_DOWN_PEN_x_p_NEW_UPPER,24351,3330,0.1367500307995565
B_TB1TB2_to_TB3,pp_DOWN_PEN_x_p_NEW_LOWER,24351,2987,0.12266436696644901
B_TB1TB2_to_TB3,pp_NEW_UPPER_x_p_UP_PEN,24351,3047,0.12512833148535996
B_TB1TB2_to_TB3,pp_NEW_UPPER_x_p_DOWN_PEN,24351,3263,0.13399860375343928
B_TB1TB2_to_TB3,pp_NEW_UPPER_x_p_NEW_UPPER,24351,2091,0.08586916348404583
B_TB1TB2_to_TB3,pp_NEW_UPPER_x_p_NEW_LOWER,24351,2456,0.1008582809740873
B_TB1TB2_to_TB3,pp_NEW_LOWER_x_p_UP_PEN,24351,3219,0.13219169643957127
B_TB1TB2_to_TB3,pp_NEW_LOWER_x_p_DOWN_PEN,24351,3045,0.12504619933472957
B_TB1TB2_to_TB3,pp_NEW_LOWER_x_p_NEW_UPPER,24351,2512,0.10315798119173751
B_TB1TB2_to_TB3,pp_NEW_LOWER_x_p_NEW_LOWER,24351,2125,0.08726541004476203
