window,comparison,gate,model_hi,model_lo,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,P-B0,PROVENANCE_STANDALONE,P_CURRENT_PROVENANCE,B0_VALIDATED_STATE,-0.006767321767775148,-0.009391933219046454,-0.004986026205346549,CI_below_zero
A_TB1_to_TB2,T-B0,TEMPO_STANDALONE,T_ARRIVAL_TEMPO,B0_VALIDATED_STATE,-0.00241497939824674,-0.0038059686068488956,-0.0012155486414240058,CI_below_zero
A_TB1_to_TB2,PT-T,PROVENANCE_UNIQUE,PT_PROVENANCE_TEMPO,T_ARRIVAL_TEMPO,-0.007626732372387413,-0.010098654356133647,-0.0057387387295547735,CI_below_zero
A_TB1_to_TB2,PT-P,TEMPO_UNIQUE,PT_PROVENANCE_TEMPO,P_CURRENT_PROVENANCE,-0.003274390002859005,-0.004680195188185126,-0.0021106111567829574,CI_below_zero
B_TB1TB2_to_TB3,P-B0,PROVENANCE_STANDALONE,P_CURRENT_PROVENANCE,B0_VALIDATED_STATE,-0.005514404195027937,-0.007940906601217861,-0.003669422806779785,CI_below_zero
B_TB1TB2_to_TB3,T-B0,TEMPO_STANDALONE,T_ARRIVAL_TEMPO,B0_VALIDATED_STATE,-0.0037166257196836966,-0.005461478793476222,-0.0024794857797407733,CI_below_zero
B_TB1TB2_to_TB3,PT-T,PROVENANCE_UNIQUE,PT_PROVENANCE_TEMPO,T_ARRIVAL_TEMPO,-0.006318641410754894,-0.008999954852331172,-0.00424615684714016,CI_below_zero
B_TB1TB2_to_TB3,PT-P,TEMPO_UNIQUE,PT_PROVENANCE_TEMPO,P_CURRENT_PROVENANCE,-0.004520862935410654,-0.0062142651701067595,-0.003219991039046634,CI_below_zero
