window,comparison,symbol,n_episodes,n_rows,mean_delta_episode,mean_delta_row,mean_delta,n_negative,n_positive
A_TB1_to_TB2,K1-K0,AG,805,9126,-1.7484958490356075,-1.8649375419090817,-1.7484958490356075,8426,700
A_TB1_to_TB2,K1-K0,AL,688,8437,-1.6942804852777549,-1.7389149353194648,-1.6942804852777549,7674,763
A_TB1_to_TB2,K1-K0,AU,794,9476,-1.791654787580311,-1.9134700581140054,-1.791654787580311,8774,702
A_TB1_to_TB2,K1-K0,CF,690,6075,-1.5540139747319406,-1.5381123661282572,-1.5540139747319406,5422,653
A_TB1_to_TB2,K1-K0,CU,756,8333,-1.7341949382262876,-1.7197877947414477,-1.7341949382262876,7651,682
A_TB1_to_TB2,K1-K0,I,698,6188,-1.6038223049973048,-1.6050546868436943,-1.6038223049973048,5558,630
A_TB1_to_TB2,K1-K0,M,721,6136,-1.5357404022280476,-1.4402743945610799,-1.5357404022280476,5515,621
A_TB1_to_TB2,K1-K0,MA,674,6109,-1.5765957340216243,-1.4969510345355976,-1.5765957340216243,5507,602
A_TB1_to_TB2,K1-K0,NI,815,8435,-1.6864227564948977,-1.781649869250431,-1.6864227564948977,7753,682
A_TB1_to_TB2,K1-K0,P,669,6107,-1.5501898460349737,-1.445955985354626,-1.5501898460349737,5584,523
A_TB1_to_TB2,K1-K0,RB,707,6142,-1.6269141884371026,-1.5461989994487664,-1.6269141884371026,5578,564
A_TB1_to_TB2,K1-K0,RU,718,6151,-1.528097595264161,-1.424834900800219,-1.528097595264161,5542,609
A_TB1_to_TB2,K1-K0,SC,803,10198,-1.558211671648741,-1.632285610936529,-1.558211671648741,9105,1093
A_TB1_to_TB2,K1-K0,SN,799,8462,-1.7488189068752835,-1.8610664594123596,-1.7488189068752835,7785,677
A_TB1_to_TB2,K1-K0,TA,701,6182,-1.6120759787087535,-1.590061872158746,-1.6120759787087535,5616,566
A_TB1_to_TB2,K1A-K1,AG,805,9126,-0.001902192522207627,-0.012981462476630205,-0.001902192522207627,5581,3545
A_TB1_to_TB2,K1A-K1,AL,688,8437,-0.009143611632198427,-0.01482621831936891,-0.009143611632198427,4942,3495
A_TB1_to_TB2,K1A-K1,AU,794,9476,-0.005444703548224623,-0.011825210846887564,-0.005444703548224623,5620,3856
A_TB1_to_TB2,K1A-K1,CF,690,6075,-0.008405169934091235,-0.010611660677335722,-0.008405169934091235,3537,2538
A_TB1_to_TB2,K1A-K1,CU,756,8333,0.004361678601582507,-0.0074358401128078256,0.004361678601582507,4800,3533
A_TB1_to_TB2,K1A-K1,I,698,6188,-0.001711312577159901,-0.004218383279203759,-0.001711312577159901,3566,2622
A_TB1_to_TB2,K1A-K1,M,721,6136,-0.007368985329641607,-0.008876696695259898,-0.007368985329641607,3577,2559
A_TB1_to_TB2,K1A-K1,MA,674,6109,0.0031795271953771525,-0.0043315276956435896,0.0031795271953771525,3496,2613
A_TB1_to_TB2,K1A-K1,NI,815,8435,-0.004016520071276674,-0.01575157490330509,-0.004016520071276674,5138,3297
A_TB1_to_TB2,K1A-K1,P,669,6107,0.000604540477318626,-0.0009401626376803606,0.000604540477318626,3449,2658
A_TB1_to_TB2,K1A-K1,RB,707,6142,-0.005518798582984126,-0.005691124806333318,-0.005518798582984126,3511,2631
A_TB1_to_TB2,K1A-K1,RU,718,6151,0.009063272463158214,0.000564813580569041,0.009063272463158214,3442,2709
A_TB1_to_TB2,K1A-K1,SC,803,10198,0.01683037919636147,0.020981035145839638,0.01683037919636147,6058,4140
A_TB1_to_TB2,K1A-K1,SN,799,8462,6.513560585647943e-05,-0.01944400970598591,6.513560585647943e-05,5108,3354
A_TB1_to_TB2,K1A-K1,TA,701,6182,-0.003289618808247923,-0.008291720298929358,-0.003289618808247923,3629,2553
A_TB1_to_TB2,K2-K1A,AG,805,9126,-0.07009364649104735,-0.07876594018139799,-0.07009364649104735,6168,2958
A_TB1_to_TB2,K2-K1A,AL,688,8437,-0.05750015681432104,-0.06514580205679014,-0.05750015681432104,5600,2837
A_TB1_to_TB2,K2-K1A,AU,794,9476,-0.06427701259002043,-0.07221893079704145,-0.06427701259002043,6314,3162
A_TB1_to_TB2,K2-K1A,CF,690,6075,-0.05552624964021298,-0.05725670742596604,-0.05552624964021298,3698,2377
A_TB1_to_TB2,K2-K1A,CU,756,8333,-0.06921510712987838,-0.07736896994771215,-0.06921510712987838,5517,2816
A_TB1_to_TB2,K2-K1A,I,698,6188,-0.053761021579823286,-0.060512888075004795,-0.053761021579823286,3788,2400
A_TB1_to_TB2,K2-K1A,M,721,6136,-0.04618076755116426,-0.04883748833711982,-0.04618076755116426,3785,2351
A_TB1_to_TB2,K2-K1A,MA,674,6109,-0.04454208724899599,-0.06217763137052881,-0.04454208724899599,3785,2324
A_TB1_to_TB2,K2-K1A,NI,815,8435,-0.0752429369650161,-0.08974466199383767,-0.0752429369650161,5691,2744
A_TB1_to_TB2,K2-K1A,P,669,6107,-0.06213149503884754,-0.06831433951545726,-0.06213149503884754,3853,2254
A_TB1_to_TB2,K2-K1A,RB,707,6142,-0.04825008264498796,-0.05694418216760102,-0.04825008264498796,3784,2358
A_TB1_to_TB2,K2-K1A,RU,718,6151,-0.06787201291197219,-0.07452048452763509,-0.06787201291197219,3826,2325
