window,symbol,n,mean_bit_logloss_Q0,mean_bit_logloss_Q1,mean_bit_logloss_Q2,mean_bit_logloss_Q3,delta_Q3_minus_Q1,delta_Q2_minus_Q1
A_TB1_to_TB2,AG,862,0.5465823367370698,0.5447567335885763,0.5451049552480018,0.5456241054408731,0.0008673718522967302,0.00034822165942542915
A_TB1_to_TB2,AL,790,0.5349600644000067,0.5342998999455467,0.5352934703938138,0.5376337347107718,0.0033338347652250807,0.0009935704482671316
A_TB1_to_TB2,AU,885,0.5434515826540375,0.5409280306653845,0.5403800444426856,0.5436283775692704,0.002700346903885893,-0.0005479862226989297
A_TB1_to_TB2,CF,785,0.5307902107411895,0.5322342354256174,0.5327723892396035,0.5309570037810342,-0.0012772316445833181,0.0005381538139860494
A_TB1_to_TB2,CU,869,0.528098392007714,0.5270888812291201,0.5279893665773242,0.5286144341103712,0.0015255528812511976,0.0009004853482040242
A_TB1_to_TB2,I,823,0.5168782184089195,0.5155593077019941,0.5149873319494097,0.5147426686273384,-0.0008166390746557181,-0.000571975752584418
A_TB1_to_TB2,M,843,0.5158365350849364,0.5143446139313351,0.51556017943208,0.5153011685427692,0.0009565546114340649,0.001215565500744919
A_TB1_to_TB2,MA,790,0.5056958515901327,0.5071227447568081,0.5079058323321289,0.5075343483216048,0.00041160356479672027,0.0007830875753207847
A_TB1_to_TB2,NI,985,0.532564760192516,0.5299396958964054,0.529838671839868,0.5321306722795063,0.002190976383100938,-0.00010102405653729232
A_TB1_to_TB2,P,796,0.5259927631198114,0.5233825699366533,0.522506271370452,0.5254181827557958,0.0020356128191424488,-0.0008762985662013626
A_TB1_to_TB2,RB,854,0.5042467204560241,0.5037488260267552,0.5035293225636007,0.5047707118799378,0.0010218858531824866,-0.00021950346315456308
A_TB1_to_TB2,RU,850,0.518521793805464,0.5168569874379071,0.5168465757886411,0.5180869331975374,0.0012299457596302613,-1.041164926601648e-05
A_TB1_to_TB2,SC,897,0.589610103539612,0.5878414294887869,0.5871025638947728,0.5894749929593145,0.0016335634705274937,-0.0007388655940141915
A_TB1_to_TB2,SN,964,0.5288331586777186,0.5269833947262895,0.5273580156489901,0.5282255858747616,0.001242191148472188,0.00037462092270072565
A_TB1_to_TB2,TA,831,0.5119082536151072,0.5120964020398041,0.5115514910847108,0.5140329707701217,0.0019365687303174771,-0.0005449109550932313
B_TB1TB2_to_TB3,AG,795,0.5513984580673184,0.5481877732271688,0.5474854085950269,0.547869636728192,-0.00031813649897692624,-0.0007023646321420189
B_TB1TB2_to_TB3,AL,807,0.5160316661261708,0.5145243699459837,0.5148101429629781,0.5129579899552352,-0.001566379990748485,0.000285773016994499
B_TB1TB2_to_TB3,AU,915,0.5469818127457385,0.542878834486081,0.5437670608480007,0.5441688626843463,0.0012900281982653652,0.0008882263619196997
B_TB1TB2_to_TB3,CF,780,0.5353930217382079,0.532718460548897,0.5315651636036698,0.5308409025095103,-0.0018775580393867667,-0.0011532969452273743
B_TB1TB2_to_TB3,CU,794,0.5199063418136721,0.5179078331047128,0.5181672403782417,0.5186154726981257,0.0007076395934128216,0.00025940727352890733
B_TB1TB2_to_TB3,I,790,0.5242869329168126,0.5234596987630671,0.5238834663725501,0.5231739993640152,-0.00028569939905181247,0.00042376760948300955
B_TB1TB2_to_TB3,M,817,0.5343470229951204,0.5332022499184489,0.5332791377588417,0.5325091366361157,-0.0006931132823332548,7.688784039285036e-05
B_TB1TB2_to_TB3,MA,778,0.5220572613661593,0.5215643398191097,0.5214644609118975,0.519953472142687,-0.0016108676764225905,-9.987890721210418e-05
B_TB1TB2_to_TB3,NI,885,0.5236812474208711,0.5212565508341164,0.5212082253114948,0.520790597888547,-0.00046595294556934824,-4.832552262164875e-05
B_TB1TB2_to_TB3,P,779,0.5219789523503707,0.5216788782658708,0.5199550337541945,0.5215013310119629,-0.00017754725390780904,-0.0017238445116762014
B_TB1TB2_to_TB3,RB,834,0.5315486619112887,0.5283428572786755,0.5270633230168036,0.5243126561783686,-0.004030201100306789,-0.00127953426187183
B_TB1TB2_to_TB3,RU,875,0.5281397569213053,0.523797654277938,0.5229530196303108,0.5237199683047878,-7.768597315016176e-05,-0.0008446346476271336
B_TB1TB2_to_TB3,SC,878,0.5638396430614355,0.5623941444803605,0.5621003671133193,0.5623403728610257,-5.377161933493696e-05,-0.00029377736704111604
B_TB1TB2_to_TB3,SN,833,0.5420629478367857,0.5387992830354573,0.5389866852777156,0.5396861319204769,0.0008868488850195853,0.00018740224225827155
B_TB1TB2_to_TB3,TA,804,0.5123824875309921,0.5101967620748381,0.5102027315462119,0.5105247483354522,0.0003279862606140846,5.969471373786448e-06
