window,comparison,delta_sample_mean,ci_lo,ci_hi,n_episodes,estimand,cluster,resampling,verdict
A_TB1_to_TB2,B1-B0,-0.8439896445607236,-0.8925092828501671,-0.7859091515853365,12984,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
A_TB1_to_TB2,B2-B1,-0.004021076237722302,-0.00719799462403406,-0.0010201712766109376,12984,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
B_TB1TB2_to_TB3,B1-B0,-0.8188259117991772,-0.8646447262659939,-0.7682652048571743,12726,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
B_TB1TB2_to_TB3,B2-B1,-0.0029418092306351955,-0.005964279927638482,6.267134596820371e-05,12726,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_contains_zero
