window,model,bit,n,prevalence,logloss,brier,ece
A_TB1_to_TB2,S0_GEOMETRY,UP_PEN,12892,0.29855724480297857,0.4602544346182859,0.15001282150952436,0.010737840121673297
A_TB1_to_TB2,S0_GEOMETRY,DOWN_PEN,12892,0.2829661805771021,0.4478752113227247,0.14368368556075037,0.017194433950270364
A_TB1_to_TB2,S0_GEOMETRY,NEW_UPPER,12892,0.3640242010549178,0.6170840561700942,0.2093484833922802,0.08411152274429412
A_TB1_to_TB2,S0_GEOMETRY,NEW_LOWER,12892,0.3676698727893267,0.620939949857173,0.2121693263617161,0.08871792957348705
A_TB1_to_TB2,S0_GEOMETRY,MEAN_BIT,12892,0.32830437480608127,0.5365384129920694,0.17880357920606776,0.05019043159743121
A_TB1_to_TB2,S1_GEOMETRY_PROVENANCE,UP_PEN,12892,0.29855724480297857,0.4657285920059981,0.15182994444863235,0.009617919833846664
A_TB1_to_TB2,S1_GEOMETRY_PROVENANCE,DOWN_PEN,12892,0.2829661805771021,0.4490836271527944,0.14396847804797858,0.013976345189262296
A_TB1_to_TB2,S1_GEOMETRY_PROVENANCE,NEW_UPPER,12892,0.3640242010549178,0.6296359190479341,0.21281836728892045,0.08371334213083992
A_TB1_to_TB2,S1_GEOMETRY_PROVENANCE,NEW_LOWER,12892,0.3676698727893267,0.6270761438628735,0.2145877126501039,0.0860122582660382
A_TB1_to_TB2,S1_GEOMETRY_PROVENANCE,MEAN_BIT,12892,0.32830437480608127,0.5428810705174,0.18080112560890882,0.04832996635499677
A_TB1_to_TB2,S2_GEOMETRY_PREV_EVENT,UP_PEN,12892,0.29855724480297857,0.4600498737855679,0.15004056258921464,0.007593205672513128
A_TB1_to_TB2,S2_GEOMETRY_PREV_EVENT,DOWN_PEN,12892,0.2829661805771021,0.4467139351279029,0.14351865340408884,0.014272079477162797
A_TB1_to_TB2,S2_GEOMETRY_PREV_EVENT,NEW_UPPER,12892,0.3640242010549178,0.6027470225536821,0.20490177624521771,0.05420149137473176
A_TB1_to_TB2,S2_GEOMETRY_PREV_EVENT,NEW_LOWER,12892,0.3676698727893267,0.6080263048729859,0.20828215466441807,0.04459641846334397
A_TB1_to_TB2,S2_GEOMETRY_PREV_EVENT,MEAN_BIT,12892,0.32830437480608127,0.5293842840850347,0.17668578672573482,0.030165798746937915
A_TB1_to_TB2,S3_GEOMETRY_PROVENANCE_PREV_EVENT,UP_PEN,12892,0.29855724480297857,0.462942260282432,0.15114031689325388,0.007301171971635696
A_TB1_to_TB2,S3_GEOMETRY_PROVENANCE_PREV_EVENT,DOWN_PEN,12892,0.2829661805771021,0.4478043647615742,0.14382533617240875,0.012374411509829372
