window,bit,interaction,coefficient
A_TB1_to_TB2,UP_PEN,pp_UP_PEN_x_p_UP_PEN,0.05069271956042671
A_TB1_to_TB2,UP_PEN,pp_UP_PEN_x_p_DOWN_PEN,0.07307342317687678
A_TB1_to_TB2,UP_PEN,pp_UP_PEN_x_p_NEW_UPPER,-0.06172186137105485
A_TB1_to_TB2,UP_PEN,pp_UP_PEN_x_p_NEW_LOWER,0.10021982864881282
A_TB1_to_TB2,UP_PEN,pp_DOWN_PEN_x_p_UP_PEN,0.010968387814841763
A_TB1_to_TB2,UP_PEN,pp_DOWN_PEN_x_p_DOWN_PEN,-0.011020973819503559
A_TB1_to_TB2,UP_PEN,pp_DOWN_PEN_x_p_NEW_UPPER,-0.1367021724454957
A_TB1_to_TB2,UP_PEN,pp_DOWN_PEN_x_p_NEW_LOWER,0.03836209337621007
A_TB1_to_TB2,UP_PEN,pp_NEW_UPPER_x_p_UP_PEN,0.08990919956622194
A_TB1_to_TB2,UP_PEN,pp_NEW_UPPER_x_p_DOWN_PEN,0.19612664970924384
A_TB1_to_TB2,UP_PEN,pp_NEW_UPPER_x_p_NEW_UPPER,0.01269557012739283
A_TB1_to_TB2,UP_PEN,pp_NEW_UPPER_x_p_NEW_LOWER,0.07686811914296728
A_TB1_to_TB2,UP_PEN,pp_NEW_LOWER_x_p_UP_PEN,-0.038630550935619345
A_TB1_to_TB2,UP_PEN,pp_NEW_LOWER_x_p_DOWN_PEN,-0.049185993951955956
A_TB1_to_TB2,UP_PEN,pp_NEW_LOWER_x_p_NEW_UPPER,-0.013040041577947846
A_TB1_to_TB2,UP_PEN,pp_NEW_LOWER_x_p_NEW_LOWER,0.0555431166396046
A_TB1_to_TB2,DOWN_PEN,pp_UP_PEN_x_p_UP_PEN,0.05647765389076865
A_TB1_to_TB2,DOWN_PEN,pp_UP_PEN_x_p_DOWN_PEN,0.0420250893851114
A_TB1_to_TB2,DOWN_PEN,pp_UP_PEN_x_p_NEW_UPPER,-0.022995005546222615
A_TB1_to_TB2,DOWN_PEN,pp_UP_PEN_x_p_NEW_LOWER,0.0072337512392399664
A_TB1_to_TB2,DOWN_PEN,pp_DOWN_PEN_x_p_UP_PEN,0.045290356879253646
A_TB1_to_TB2,DOWN_PEN,pp_DOWN_PEN_x_p_DOWN_PEN,-0.006246172487547971
A_TB1_to_TB2,DOWN_PEN,pp_DOWN_PEN_x_p_NEW_UPPER,0.03521750592274912
A_TB1_to_TB2,DOWN_PEN,pp_DOWN_PEN_x_p_NEW_LOWER,0.009966717381610982
A_TB1_to_TB2,DOWN_PEN,pp_NEW_UPPER_x_p_UP_PEN,-0.015307480824122551
A_TB1_to_TB2,DOWN_PEN,pp_NEW_UPPER_x_p_DOWN_PEN,-0.04265187736682849
A_TB1_to_TB2,DOWN_PEN,pp_NEW_UPPER_x_p_NEW_UPPER,0.02361107673652873
A_TB1_to_TB2,DOWN_PEN,pp_NEW_UPPER_x_p_NEW_LOWER,-0.05078927437361569
A_TB1_to_TB2,DOWN_PEN,pp_NEW_LOWER_x_p_UP_PEN,0.16147386937471478
A_TB1_to_TB2,DOWN_PEN,pp_NEW_LOWER_x_p_DOWN_PEN,0.07786755809433257
A_TB1_to_TB2,DOWN_PEN,pp_NEW_LOWER_x_p_NEW_UPPER,0.004459625811874489
A_TB1_to_TB2,DOWN_PEN,pp_NEW_LOWER_x_p_NEW_LOWER,0.01314442298495261
