window,gain_full_lag_rowmean,gain_innovation_rowmean,retention_abs_ratio,gain_innov_path_rowmean,gain_innov_nonpath_rowmean,n_zt_path_columns,n_zt_nonpath_columns,note
A_TB1_to_TB2,-0.0740824657582414,-0.4178799435992123,5.640740211899936,-0.28254986526947246,-0.13433856260775956,9,7,"input-side split is EXPLANATORY ONLY (no CI, no gate); component gains are not additive"
B_TB1TB2_to_TB3,-0.0709864048016624,-0.3717234646478253,5.236544457863853,-0.27627096163075715,-0.09491776537369903,9,7,"input-side split is EXPLANATORY ONLY (no CI, no gate); component gains are not additive"
