window,subset,prev_event_mask,n,p_UP_PEN,p_DOWN_PEN,p_NEW_UPPER,p_NEW_LOWER
A_TB1_to_TB2,eval,1,3176,0.4140428211586902,0.08658690176322419,0.42002518891687657,0.4817380352644836
A_TB1_to_TB2,eval,2,3061,0.08559294348252205,0.38876184253511925,0.5044103234237177,0.4439725579875858
A_TB1_to_TB2,eval,3,1,0.0,0.0,1.0,1.0
A_TB1_to_TB2,eval,4,1339,0.35623599701269604,0.2703510082150859,0.2083644510828977,0.3861090365944735
A_TB1_to_TB2,eval,5,11,0.8181818181818182,0.18181818181818182,0.0,0.09090909090909091
A_TB1_to_TB2,eval,6,507,0.11439842209072978,0.4930966469428008,0.33136094674556216,0.3136094674556213
A_TB1_to_TB2,eval,7,2,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,8,1332,0.29654654654654655,0.3160660660660661,0.3911411411411411,0.25
A_TB1_to_TB2,eval,9,543,0.49355432780847147,0.11602209944751381,0.3241252302025783,0.3314917127071823
A_TB1_to_TB2,eval,10,11,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.0
A_TB1_to_TB2,eval,12,2731,0.36213841083852066,0.36580007323324787,0.23581105822043208,0.23141706334675943
A_TB1_to_TB2,eval,13,49,0.7755102040816326,0.16326530612244897,0.0,0.12244897959183673
A_TB1_to_TB2,eval,14,61,0.2459016393442623,0.6885245901639344,0.08196721311475409,0.0
B_TB1TB2_to_TB3,eval,1,3042,0.4049967126890204,0.0851413543721236,0.4178172255095332,0.4983563445101907
B_TB1TB2_to_TB3,eval,2,2923,0.08963393773520356,0.38658912076633595,0.49161820047896,0.4539856312008211
B_TB1TB2_to_TB3,eval,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
B_TB1TB2_to_TB3,eval,4,1255,0.36175298804780875,0.30916334661354583,0.1952191235059761,0.3545816733067729
B_TB1TB2_to_TB3,eval,5,9,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111
B_TB1TB2_to_TB3,eval,6,458,0.15065502183406113,0.45414847161572053,0.32751091703056767,0.34497816593886466
B_TB1TB2_to_TB3,eval,7,1,0.0,0.0,0.0,1.0
B_TB1TB2_to_TB3,eval,8,1349,0.3194959229058562,0.2994810971089696,0.36100815418828763,0.24833209785025945
B_TB1TB2_to_TB3,eval,9,554,0.4404332129963899,0.13357400722021662,0.3483754512635379,0.3628158844765343
B_TB1TB2_to_TB3,eval,10,15,0.13333333333333333,0.8666666666666667,0.0,0.0
B_TB1TB2_to_TB3,eval,11,4,0.25,0.75,0.0,0.0
B_TB1TB2_to_TB3,eval,12,2648,0.3840634441087613,0.3395015105740181,0.23716012084592145,0.24358006042296074
B_TB1TB2_to_TB3,eval,13,50,0.72,0.16,0.0,0.14
B_TB1TB2_to_TB3,eval,14,53,0.18867924528301888,0.7735849056603774,0.07547169811320754,0.0
