block,item,point,ci95_lower,ci95_upper,p_pos
TB2,BASE,-0.003898431961611499,-0.007844240837671802,-0.00014609665466518425,0.022
TB2,GATE0,-0.0021983301635993707,-0.004945169131690538,0.00045418246213350125,0.0555
TB2,GATEA,-0.002140725201532548,-0.004977245453393093,0.000655787580356684,0.068
TB2,FLIPA,-0.0058391787192201205,-0.009088216830768764,-0.002787671758387501,0.0
TB2,GATEA-BASE,0.001757706760078951,-0.00044661572161281825,0.004040881158398499,0.933
TB2,GATEA-GATE0,5.760496206682264e-05,-0.0007961354881739837,0.0008382527289206393,0.577
TB3,BASE,-0.008605876353035072,-0.01459975864462848,-0.003062665596413701,0.0015
TB3,GATE0,-0.005249116285599492,-0.009495449972007264,-0.001429439445205657,0.005
TB3,GATEA,-0.004536360598758498,-0.008785380044660618,-0.0009832170891980203,0.006
TB3,FLIPA,-0.006547964058540617,-0.01071557810735472,-0.0028947274500205193,0.0
TB3,GATEA-BASE,0.004069515754276574,0.0008590055780616068,0.0071109300030698834,0.9915
TB3,GATEA-GATE0,0.0007127556868409936,-0.0001841846613347485,0.0016292866312051838,0.9445
