symbol,group,t,ok
MA,314,13473,True
AU,735,16719,True
CU,1837,23987,True
SN,2793,37170,True
RB,351,27808,True
AU,3366,29553,True
NI,2085,25799,True
I,248,25380,True
RB,565,9806,True
SN,2038,24543,True
AU,676,12693,True
M,593,14665,True
P,1614,23279,True
SN,1017,14007,True
CF,67,5169,True
P,1588,19544,True
MA,1475,20049,True
SN,2445,28651,True
AG,2429,32723,True
RB,210,13022,True
TA,832,24392,True
AL,380,2240,True
CU,1973,31507,True
AU,3112,33576,True
AG,3034,30117,True
RU,1398,21986,True
P,700,17573,True
RU,589,11910,True
SN,341,1949,True
NI,79,19645,True
M,853,26697,True
TA,1304,22392,True
AG,1658,43951,True
NI,37,21182,True
SC,1849,1840,True
I,191,25769,True
NI,1956,31608,True
M,483,6476,True
SC,626,6681,True
RB,709,1331,True
TA,1335,20997,True
AL,662,18596,True
SN,1158,12289,True
SN,905,14175,True
AG,209,2514,True
AL,1190,35520,True
AU,2946,35637,True
P,1447,20922,True
RU,1310,2423,True
RB,84,27329,True
P,534,17775,True
P,659,18706,True
M,767,9980,True
AU,2810,26133,True
AG,222,6888,True
AG,3125,30234,True
I,115,26439,True
TA,373,7959,True
NI,178,19968,True
AU,3107,33342,True
AL,241,9302,True
CU,2049,31033,True
MA,749,26463,True
AL,419,14738,True
I,66,22471,True
RU,1328,24029,True
P,1638,20491,True
NI,2155,28212,True
P,218,7678,True
AG,511,9767,True
MA,1410,21076,True
SC,407,21109,True
AL,1298,30979,True
NI,1060,2880,True
SN,357,2185,True
M,238,15294,True
P,1664,21503,True
M,175,15449,True
CF,106,5340,True
CF,659,16946,True
SC,924,18861,True
SN,1852,22200,True
CU,1151,18071,True
NI,1162,6370,True
NI,1537,32562,True
TA,987,26644,True
RU,111,8298,True
RU,139,7792,True
P,1750,20526,True
NI,637,14533,True
NI,783,16500,True
AL,1050,24636,True
RB,356,19952,True
CU,1698,29064,True
RB,527,291,True
M,931,27291,True
CU,2102,30987,True
P,1290,11304,True
AU,2149,29849,True
P,1146,23701,True
P,957,2253,True
NI,195,20730,True
M,880,25662,True
SN,2520,25730,True
P,128,6969,True
CU,742,5272,True
CU,1219,20788,True
AU,2531,20793,True
AU,2187,22662,True
NI,1126,37238,True
SC,1490,42628,True
RU,626,11074,True
AL,532,15659,True
RU,373,15502,True
AU,1917,20010,True
MA,1365,19911,True
CU,2103,34406,True
I,141,27398,True
RB,316,24162,True
AU,975,17079,True
AL,612,19864,True
P,702,9540,True
MA,560,9794,True
CU,783,15709,True
AU,1849,21659,True
SN,1848,21177,True
SN,1063,13680,True
AG,1494,20761,True
AL,345,3065,True
AL,1161,31615,True
TA,139,10156,True
AG,2269,32061,True
CF,14,5292,True
CU,318,3531,True
I,235,19110,True
SN,1935,21838,True
M,515,22880,True
AG,128,1572,True
MA,433,5316,True
AL,1553,28186,True
AU,2719,35940,True
M,932,27278,True
RU,1215,22805,True
NI,1194,36035,True
MA,1062,20622,True
M,840,10324,True
AU,2917,35637,True
RB,549,3039,True
CF,421,19873,True
SN,1666,19056,True
P,1467,13446,True
AU,1873,39602,True
RB,123,16865,True
P,718,9039,True
RU,1244,6346,True
TA,1348,22107,True
SN,2984,30861,True
AU,3391,30072,True
TA,493,217,True
NI,867,2508,True
AG,2681,31750,True
CF,556,22486,True
P,827,2958,True
AU,765,16986,True
AG,725,12869,True
AU,1951,22339,True
RU,867,3910,True
AL,1535,28589,True
RU,113,7339,True
AU,1950,22104,True
RB,254,25752,True
MA,1366,21892,True
TA,1322,21247,True
RB,393,4077,True
SN,658,8229,True
SN,2026,27049,True
CU,1916,31678,True
TA,677,483,True
AL,1197,35517,True
CF,207,5773,True
RB,351,17681,True
AU,3429,31150,True
TA,1529,19802,True
NI,2023,26042,True
SN,1395,4341,True
M,249,3813,True
P,542,14132,True
RB,363,10407,True
CU,1545,23351,True
P,1644,21933,True
RB,537,3106,True
AL,532,15693,True
I,266,13554,True
AG,856,13161,True
AG,140,1581,True
I,516,1509,True
AU,269,3645,True
P,1359,21277,True
SN,3168,35742,True
AL,1133,36069,True
SN,2180,24461,True
RU,250,9728,True
P,1429,23051,True
RB,710,9215,True
CU,1453,26494,True
NI,823,12085,True
SC,650,6673,True
MA,1395,19888,True
RU,211,4785,True
AL,1333,30470,True
MA,727,25082,True
AL,795,21941,True
RU,1280,2433,True
M,416,5310,True
NI,2495,23739,True
RB,691,759,True
CF,252,13603,True
RB,756,2022,True
CF,345,15109,True
SN,2838,37293,True
CF,253,7418,True
M,599,4626,True
TA,1387,19359,True
AU,692,12723,True
RU,900,16256,True
M,118,16249,True
SC,2129,44086,True
CF,860,23865,True
RU,736,17353,True
I,200,24628,True
AG,978,15099,True
SN,454,5976,True
AL,922,33971,True
AG,1858,40331,True
SN,1982,26937,True
AL,630,18621,True
M,150,18355,True
RB,226,18990,True
SC,890,17079,True
AU,3142,33916,True
RU,156,8613,True
CF,884,26890,True
CF,900,26203,True
P,593,13626,True
CU,248,1977,True
RB,630,1839,True
SC,652,29622,True
M,208,17893,True
RB,100,26542,True
CU,406,7456,True
AL,537,15714,True
AG,699,12306,True
RB,20,7188,True
CU,2247,35928,True
AG,2546,36196,True
M,10,389,True
AG,2201,42911,True
I,507,1384,True
AU,1554,39349,True
RB,264,5355,True
MA,37,15183,True
CF,959,25279,True
CF,1088,24876,True
AU,1034,10124,True
M,682,4971,True
AL,662,18502,True
AG,1718,38841,True
AL,1376,28034,True
TA,98,5027,True
P,897,1565,True
SC,1627,1787,True
TA,1555,22415,True
M,663,11385,True
RB,477,3729,True
P,887,2781,True
M,282,2520,True
P,1194,12892,True
M,252,1090,True
CU,333,8664,True
RU,655,11142,True
I,528,25777,True
I,423,16723,True
TA,454,3874,True
RB,662,2241,True
SC,810,17533,True
I,383,17535,True
SN,1738,20072,True
P,1015,2166,True
MA,1352,23685,True
I,350,597,True
CU,238,1827,True
SN,1019,5604,True
CF,131,12690,True
AG,1734,40677,True
NI,1939,32226,True
MA,1039,19290,True
RU,1406,26911,True
CF,523,8890,True
AU,186,2200,True
AL,518,17364,True
RB,186,15018,True
SN,2142,26708,True
AU,997,15056,True
SN,2104,28032,True
MA,997,7701,True
I,230,212,True
P,785,9994,True
AU,1724,39332,True
SC,201,27669,True
M,691,25098,True
RB,772,15108,True
RB,252,18878,True
CU,139,6152,True
RU,262,9565,True
AU,1661,38874,True
SN,582,3683,True
TA,846,24670,True
CU,2072,34890,True
I,152,6114,True
SC,711,17412,True
RU,230,9542,True
AG,3034,30078,True
TA,44,17641,True
P,865,3432,True
TA,1120,24721,True
TA,862,26156,True
I,318,13879,True
SN,2480,24706,True
I,529,2153,True
AL,1274,23818,True
P,880,18087,True
AG,1895,40869,True
AL,516,4103,True
TA,202,9390,True
RB,468,10162,True
CF,831,19545,True
SC,922,12750,True
SC,2232,34809,True
TA,1370,22185,True
AL,1018,34814,True
MA,1265,21632,True
AL,1111,36056,True
AL,196,9015,True
NI,852,15323,True
I,31,4395,True
I,528,26058,True
NI,1486,32721,True
SN,2023,26497,True
AL,1492,28833,True
NI,1204,1857,True
P,1207,11417,True
I,129,27396,True
SC,500,21436,True
MA,1178,23350,True
AG,2049,42123,True
CF,697,19201,True
P,834,2380,True
P,1365,22236,True
AG,1110,17215,True
RB,530,9740,True
SN,1801,20526,True
I,459,2367,True
M,96,735,True
CU,812,15819,True
AG,2266,43921,True
P,1132,22941,True
RU,713,11044,True
MA,1198,22748,True
M,784,25927,True
I,196,24093,True
RB,463,21777,True
MA,752,24961,True
TA,689,18030,True
AU,1916,38462,True
TA,895,24816,True
MA,212,16260,True
CU,564,14162,True
TA,1275,23442,True
I,425,16721,True
NI,2235,24915,True
I,410,20678,True
CF,223,2643,True
AL,918,33491,True
I,244,25404,True
CU,2265,35453,True
RU,455,13596,True
TA,57,4653,True
AL,758,21374,True
MA,402,5180,True
SC,1049,13083,True
SC,1539,42964,True
CU,2149,30009,True
RB,155,27498,True
P,15,16254,True
M,103,17137,True
NI,1448,36647,True
P,1429,23039,True
NI,1308,36069,True
AG,1406,20998,True
RU,437,15171,True
CF,1039,21474,True
AG,1015,16835,True
AG,2086,42619,True
P,510,15055,True
CU,1482,27507,True
CU,2196,35301,True
P,1623,26808,True
M,341,3085,True
I,280,10663,True
P,1178,11981,True
CF,942,25719,True
NI,1276,761,True
SC,1098,14546,True
I,295,19125,True
CF,760,20334,True
CF,1072,24834,True
MA,965,25754,True
I,202,24744,True
M,890,26808,True
CF,1007,26343,True
NI,1149,36977,True
RU,269,20447,True
P,477,15240,True
TA,1417,21933,True
MA,143,15020,True
SN,2488,27490,True
CU,128,807,True
TA,798,17729,True
NI,937,2550,True
RB,7,6752,True
CF,147,12938,True
MA,1084,22575,True
RB,498,3147,True
MA,781,3659,True
P,38,6975,True
CU,2181,35166,True
CU,1025,18480,True
CF,26,4394,True
CU,1497,26399,True
RU,228,5648,True
RB,766,6412,True
SC,1385,3641,True
M,736,10782,True
NI,5,21243,True
AL,600,18412,True
SN,3236,23817,True
CU,155,1627,True
CU,870,16660,True
SN,1657,19213,True
