block,metric,point,ci95_lower,ci95_upper,p_pos
TB2,Delta_Harm_LogLoss,0.0011263008533056729,0.00016786970185871388,0.0020919245839515596,0.989
TB2,Delta_Payoff_MSE,0.003204860855921421,-0.0010021985980362912,0.009271021586737887,0.9115
TB3,Delta_Harm_LogLoss,0.002083517454049555,0.0006524629525379938,0.003938816698456681,0.9985
TB3,Delta_Payoff_MSE,0.013972188590360535,0.0048574715345750755,0.03035686994219922,1.0
