window,model,pair,actual_joint_freq,mean_pred_joint_prob,abs_diff
A_TB1_to_TB2,L_LEGACY_4_HEADS,UP_PEN x DOWN_PEN,0.00023270245113248526,0.06710473624789653,0.06687203379676405
A_TB1_to_TB2,L_LEGACY_4_HEADS,UP_PEN x NEW_UPPER,0.0047316165063605335,0.10766619123098764,0.10293457472462711
A_TB1_to_TB2,L_LEGACY_4_HEADS,UP_PEN x NEW_LOWER,0.04708346261247285,0.12244614486666815,0.07536268225419529
A_TB1_to_TB2,L_LEGACY_4_HEADS,DOWN_PEN x NEW_UPPER,0.0442134657151722,0.11435329858395177,0.07013983286877956
A_TB1_to_TB2,L_LEGACY_4_HEADS,DOWN_PEN x NEW_LOWER,0.005584858827179647,0.10140316457935848,0.09581830575217884
A_TB1_to_TB2,L_LEGACY_4_HEADS,NEW_UPPER x NEW_LOWER,0.2199813838039094,0.18319116753428347,0.03679021626962595
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,UP_PEN x DOWN_PEN,0.00023270245113248526,0.026018932625125026,0.02578623017399254
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,UP_PEN x NEW_UPPER,0.0047316165063605335,0.052696742260152134,0.0479651257537916
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,UP_PEN x NEW_LOWER,0.04708346261247285,0.06163617403242237,0.014552711419949522
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,DOWN_PEN x NEW_UPPER,0.0442134657151722,0.05724192971454314,0.013028463999370937
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,DOWN_PEN x NEW_LOWER,0.005584858827179647,0.04983844882050053,0.04425358999332088
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,NEW_UPPER x NEW_LOWER,0.2199813838039094,0.10916112144117787,0.11082026236273154
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,UP_PEN x DOWN_PEN,0.00023270245113248526,0.000695345728793849,0.0004626432776613638
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,UP_PEN x NEW_UPPER,0.0047316165063605335,0.006201819312991911,0.0014702028066313775
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,UP_PEN x NEW_LOWER,0.04708346261247285,0.04740879537109007,0.0003253327586172222
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,DOWN_PEN x NEW_UPPER,0.0442134657151722,0.04530303096593565,0.0010895652507634523
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,DOWN_PEN x NEW_LOWER,0.005584858827179647,0.006765924457484076,0.0011810656303044295
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,NEW_UPPER x NEW_LOWER,0.2199813838039094,0.22108938845426407,0.0011080046503546548
A_TB1_to_TB2,C_PAIRWISE_CRF,UP_PEN x DOWN_PEN,0.00023270245113248526,0.0009225533706944733,0.0006898509195619881
A_TB1_to_TB2,C_PAIRWISE_CRF,UP_PEN x NEW_UPPER,0.0047316165063605335,0.006760332661572644,0.0020287161552121104
A_TB1_to_TB2,C_PAIRWISE_CRF,UP_PEN x NEW_LOWER,0.04708346261247285,0.048860844504217536,0.0017773818917446865
A_TB1_to_TB2,C_PAIRWISE_CRF,DOWN_PEN x NEW_UPPER,0.0442134657151722,0.045961646866809674,0.0017481811516374748
A_TB1_to_TB2,C_PAIRWISE_CRF,DOWN_PEN x NEW_LOWER,0.005584858827179647,0.006990564980851251,0.0014057061536716046
A_TB1_to_TB2,C_PAIRWISE_CRF,NEW_UPPER x NEW_LOWER,0.2199813838039094,0.21928799219098072,0.0006933916129286954
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,UP_PEN x DOWN_PEN,0.000639028676411854,0.06413836446189644,0.06349933578548458
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,UP_PEN x NEW_UPPER,0.004792715073088905,0.10741517431845876,0.10262245924536986
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,UP_PEN x NEW_LOWER,0.05096253694384535,0.12219598373488948,0.07123344679104412
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,DOWN_PEN x NEW_UPPER,0.04105759245946162,0.11606897601070616,0.07501138355124454
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,DOWN_PEN x NEW_LOWER,0.005751258087706686,0.10230080436687321,0.09654954627916652
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,NEW_UPPER x NEW_LOWER,0.2196661075165748,0.18072640955128408,0.03893969796529073
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,UP_PEN x DOWN_PEN,0.000639028676411854,0.02463155813918059,0.023992529462768735
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,UP_PEN x NEW_UPPER,0.004792715073088905,0.05152255321991304,0.04672983814682413
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,UP_PEN x NEW_LOWER,0.05096253694384535,0.06006327185480103,0.009100734910955678
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,DOWN_PEN x NEW_UPPER,0.04105759245946162,0.0584161949105209,0.01735860245105928
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,DOWN_PEN x NEW_LOWER,0.005751258087706686,0.05013849087113343,0.044387232783426746
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,NEW_UPPER x NEW_LOWER,0.2196661075165748,0.10490436732668511,0.1147617401898897
