window,target,kind,mean_nll_m0,mean_nll_mf,mean_nll_mz,mean_nll_mc,delta_mz_minus_m0,delta_mc_minus_m0,delta_mz_minus_mc
A_TB1_to_TB2,z_d_up,node,0.756770329644595,0.7556045645415705,0.7568533012719041,0.7569243927170386,8.2971627309116e-05,0.0001540630724436497,-7.109144513453366e-05
A_TB1_to_TB2,z_dmfe,node,0.2618692748283502,0.2608756046875465,0.2593928791374858,0.2599103882683633,-0.0024763956908643767,-0.001958886559986918,-0.0005175091308774595
A_TB1_to_TB2,z_dmae,node,0.26503066839508327,0.26426797935461954,0.2626641651638188,0.2633601068357255,-0.002366503231264498,-0.0016705615593577328,-0.0006959416719067651
A_TB1_to_TB2,z_dcr,node,-0.3238462601656201,-0.3729515005074302,-0.5682869022040494,-0.5680129259863981,-0.24444064203842927,-0.2441666658207779,-0.00027397621765138454
A_TB1_to_TB2,z_range,node,0.17518309364983836,0.15313018066834455,0.1424808140414489,0.14356150701353343,-0.032702279608389416,-0.03162158663630491,-0.0010806929720845013
A_TB1_to_TB2,z_uresid,node,0.0893156609410687,0.0898256214504227,0.015332791987059476,0.016502938947464185,-0.07398286895400921,-0.0728127219936045,-0.001170146960404711
A_TB1_to_TB2,z_lresid,node,0.07865578935550727,0.07830158808967688,0.016680096595825044,0.01822914690956855,-0.061975692759682226,-0.060426642445938705,-0.0015490503137435088
A_TB1_to_TB2,z_delta_upper_count,discrete_count,0.03595131318792876,0.03587512456002716,0.03594454670126004,0.035913950256388494,-6.766486668729068e-06,-3.736293154026387e-05,3.0596444871534776e-05
A_TB1_to_TB2,z_delta_lower_count,discrete_count,0.03495981967011507,0.034878060903847576,0.034948053212901384,0.034947517287621105,-1.1766457213687059e-05,-1.2302382493965437e-05,5.359252802783812e-07
B_TB1TB2_to_TB3,z_d_up,node,0.8104278722168552,0.8100132562554,0.8101681808194364,0.8100865920664766,-0.0002596913974187989,-0.0003412801503785634,8.158875295976438e-05
B_TB1TB2_to_TB3,z_dmfe,node,0.27235294350421824,0.2711843577900091,0.2683349586813747,0.2694166516150623,-0.004017984822843585,-0.002936291889155949,-0.0010816929336876359
B_TB1TB2_to_TB3,z_dmae,node,0.2780896491486142,0.2774246010234461,0.27593460552883453,0.2765210600485077,-0.002155043619779726,-0.0015685891001065324,-0.0005864545196731933
B_TB1TB2_to_TB3,z_dcr,node,-0.3166285208784209,-0.36848423423394533,-0.5588069576051097,-0.558483376734407,-0.24217843672668887,-0.2418548558559861,-0.00032358087070277286
B_TB1TB2_to_TB3,z_range,node,0.17239909467646794,0.15738136145307122,0.14491482232309413,0.14561809324628733,-0.027484272353373786,-0.02678100143018062,-0.0007032709231931631
B_TB1TB2_to_TB3,z_uresid,node,0.0654949079564819,0.06468652445633918,0.018020382717173603,0.018341780387534125,-0.04747452523930829,-0.04715312756894777,-0.00032139767036052193
B_TB1TB2_to_TB3,z_lresid,node,0.06350974724269424,0.06259813231167025,0.015393808727210192,0.016246021511256686,-0.04811593851548406,-0.04726372573143757,-0.0008522127840464953
B_TB1TB2_to_TB3,z_delta_upper_count,discrete_count,0.029992621919276347,0.029931253643432618,0.029940808734448113,0.02995276838546359,-5.1813184828233644e-05,-3.9853533812758603e-05,-1.195965101547507e-05
B_TB1TB2_to_TB3,z_delta_lower_count,discrete_count,0.029764276413040615,0.02968093469814226,0.029778517624940597,0.029744739017060446,1.424121189998861e-05,-1.9537395980166398e-05,3.3778607880155006e-05
