window,model,with_pairs,success,n_iter,final_fun,message,n_params,elapsed_seconds,wall_seconds
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,False,True,502,1.7854513322986336,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,2.33,2.33
A_TB1_to_TB2,C_PAIRWISE_CRF,True,True,553,1.5223043905787177,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,2.82,2.82
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,False,True,690,1.7948591597378918,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,7.96,7.96
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,True,True,818,1.52239177786498,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,12.07,12.07
