block,age_bucket,age_numeric,n,H1_rate,mean_p_h,spearman_age_vs_H1
TB2,0,0.0,12999,0.15085775828909917,0.15240293316477152,-0.14172783738001132
TB2,1,1.0,11038,0.10762819351331764,0.09614996399046451,-0.14172783738001132
TB2,2,2.0,9850,0.09573604060913705,0.0891085611482203,-0.14172783738001132
TB2,3,3.0,8907,0.08914337038284495,0.09050383480388034,-0.14172783738001132
TB2,4,4.0,8113,0.07543448785899175,0.09079939117449268,-0.14172783738001132
TB2,5,5.0,7501,0.08305559258765498,0.09329890486901872,-0.14172783738001132
TB2,6,6.0,6878,0.07734806629834254,0.10091255889385721,-0.14172783738001132
TB2,7,7.0,6346,0.07611093602269146,0.1015864979813635,-0.14172783738001132
TB2,8,8.0,5863,0.08340440047757121,0.10392405983292698,-0.14172783738001132
TB2,9,9.0,5374,0.08262002232973577,0.10734327323770892,-0.14172783738001132
TB2,10,10.0,4930,0.09878296146044625,0.11014288123960003,-0.14172783738001132
TB2,11,11.0,4443,0.20571685797884312,0.11249986472911229,-0.14172783738001132
TB2,12,12.0,3529,0.0793425899688297,0.11473745633500308,-0.14172783738001132
TB2,13,13.0,3249,0.09849184364419822,0.11356000770510277,-0.14172783738001132
TB2,14,14.0,2929,0.26391259815636736,0.11450798781826858,-0.14172783738001132
TB2,15,15.0,2156,0.08302411873840446,0.11245627162387145,-0.14172783738001132
TB2,16,16.0,1977,0.09509357612544259,0.11411634288135561,-0.14172783738001132
TB2,17,17.0,1789,0.2582448295136948,0.11465519321061272,-0.14172783738001132
TB2,18,18.0,1327,0.0587792012057272,0.11145707158711149,-0.14172783738001132
TB2,19,19.0,1249,0.07686148919135308,0.11004244785972056,-0.14172783738001132
TB2,20,20.0,1153,0.08499566348655681,0.1096784065953903,-0.14172783738001132
TB2,21+,21.0,12956,0.08142945353504168,0.10442560643518005,-0.14172783738001132
TB3,0,0.0,12741,0.15163644925829997,0.15185369371709942,-0.10897797854319595
TB3,1,1.0,10809,0.10704042927190305,0.09640224134364946,-0.10897797854319595
TB3,2,2.0,9652,0.09117281392457521,0.09009355468887198,-0.10897797854319595
TB3,3,3.0,8772,0.09347925216598267,0.09009919550517509,-0.10897797854319595
TB3,4,4.0,7952,0.07406941649899397,0.0912871060757047,-0.10897797854319595
TB3,5,5.0,7363,0.08597039250305583,0.09273982526990412,-0.10897797854319595
TB3,6,6.0,6730,0.07414561664190193,0.09772007598535787,-0.10897797854319595
TB3,7,7.0,6231,0.07703418391911411,0.09785280612811778,-0.10897797854319595
TB3,8,8.0,5751,0.08102938619370545,0.09981064855098651,-0.10897797854319595
TB3,9,9.0,5285,0.07965941343424787,0.10338865311747779,-0.10897797854319595
TB3,10,10.0,4864,0.08902138157894737,0.10598374647819306,-0.10897797854319595
TB3,11,11.0,4431,0.21530128639133378,0.10766814232522305,-0.10897797854319595
TB3,12,12.0,3477,0.090595340811044,0.10972129557898089,-0.10897797854319595
TB3,13,13.0,3162,0.10025300442757748,0.10997163517715366,-0.10897797854319595
TB3,14,14.0,2845,0.27627416520210896,0.11148515832302557,-0.10897797854319595
TB3,15,15.0,2059,0.09130645944633317,0.11094553173281177,-0.10897797854319595
TB3,16,16.0,1871,0.12185996793158739,0.11249767534236109,-0.10897797854319595
TB3,17,17.0,1643,0.28484479610468655,0.11102088060339602,-0.10897797854319595
TB3,18,18.0,1175,0.06468085106382979,0.11556688957202099,-0.10897797854319595
TB3,19,19.0,1099,0.06551410373066424,0.11258201647998843,-0.10897797854319595
TB3,20,20.0,1027,0.08081791626095423,0.11118759766491126,-0.10897797854319595
TB3,21+,21.0,11241,0.083978293746108,0.10781522856862968,-0.10897797854319595
