block,policy,symbol,trade_count,net_total_ATR0
TB2,BASE,AG,10056,-228.53092519077325
TB2,BASE,AL,9242,35.008440612335946
TB2,BASE,AU,10404,-125.20655673196147
TB2,BASE,CF,6872,101.67640548154125
TB2,BASE,CU,9214,-127.20069392843186
TB2,BASE,I,7011,48.147995519469184
TB2,BASE,M,6981,34.40112515255838
TB2,BASE,MA,6905,50.05937118096649
TB2,BASE,NI,9420,-44.90618487182688
TB2,BASE,P,6912,-1.1730085859727666
TB2,BASE,RB,6996,35.24549641486865
TB2,BASE,RU,7001,-69.58997353091694
TB2,BASE,SC,11103,-157.42637406141887
TB2,BASE,SN,9426,-61.85134046513593
TB2,BASE,TA,7013,25.773131594216114
TB2,GATE0,AG,5720,-174.20139501498653
TB2,GATE0,AL,4883,27.958651604925258
TB2,GATE0,AU,6097,-86.4394964866738
TB2,GATE0,CF,3195,25.434502335733022
TB2,GATE0,CU,5075,-42.35419080033196
TB2,GATE0,I,3169,50.81971444589169
TB2,GATE0,M,3211,25.154735653620143
TB2,GATE0,MA,3352,23.849331480343103
TB2,GATE0,NI,5176,-14.104310908084646
TB2,GATE0,P,3333,9.417404682248774
TB2,GATE0,RB,3291,23.70299818467373
TB2,GATE0,RU,3295,-35.46038272765372
TB2,GATE0,SC,6746,-97.47074812548497
TB2,GATE0,SN,5452,-59.13557183602374
TB2,GATE0,TA,3304,49.01354565452052
TB2,GATEA,AG,5720,-164.64323662522546
TB2,GATEA,AL,4933,39.730550246083105
TB2,GATEA,AU,6174,-92.10546346816884
TB2,GATEA,CF,3234,32.17451143180112
TB2,GATEA,CU,5144,-61.00146073784036
TB2,GATEA,I,3237,52.96976290370564
TB2,GATEA,M,3251,11.587398307916269
TB2,GATEA,MA,3381,26.31517341933545
TB2,GATEA,NI,5223,-0.9312973526377135
TB2,GATEA,P,3365,10.772179663636786
TB2,GATEA,RB,3355,23.579965282687706
TB2,GATEA,RU,3334,-30.241785304428713
TB2,GATEA,SC,6778,-92.11846035889928
TB2,GATEA,SN,5483,-70.3134883514924
TB2,GATEA,TA,3336,47.58548274143857
TB2,FLIPA,AG,7755,-175.48757136362008
TB2,FLIPA,AL,7126,-24.40901767054953
TB2,FLIPA,AU,8093,-69.6622289121554
TB2,FLIPA,CF,5341,-52.91051218115395
TB2,FLIPA,CU,7219,-63.9670340147565
TB2,FLIPA,I,5419,1.1893415505334062
TB2,FLIPA,M,5387,-26.789335653194886
TB2,FLIPA,MA,5324,-28.0973035463256
TB2,FLIPA,NI,7327,-0.6028538377259878
TB2,FLIPA,P,5195,3.132085737767227
TB2,FLIPA,RB,5417,-42.50830265867043
TB2,FLIPA,RU,5395,-60.90154463723928
TB2,FLIPA,SC,8817,-105.68571663727715
TB2,FLIPA,SN,7338,-104.90851917468858
TB2,FLIPA,TA,5392,24.303768447875335
TB3,BASE,AG,9723,-267.5832699651109
TB3,BASE,AL,8747,-32.45450775696064
TB3,BASE,AU,10375,-266.3742166992983
TB3,BASE,CF,6736,21.14449799573467
TB3,BASE,CU,8708,15.358612814171096
TB3,BASE,I,6964,39.67454771247363
TB3,BASE,M,6960,-8.740380241462105
TB3,BASE,MA,6599,-23.09367621003645
TB3,BASE,NI,8966,-75.27573821480802
TB3,BASE,P,6811,-2.17052210681255
TB3,BASE,RB,6948,21.971604355410086
TB3,BASE,RU,6955,-91.4679452769434
TB3,BASE,SC,10583,-227.57705160129495
TB3,BASE,SN,8536,-132.5490396443767
TB3,BASE,TA,6569,-5.1171352684404425
TB3,GATE0,AG,5467,-202.62471120522693
TB3,GATE0,AL,4511,-1.5463515730823811
TB3,GATE0,AU,5588,-158.65766094232265
TB3,GATE0,CF,3020,-3.6187768353327385
TB3,GATE0,CU,4457,-32.146935802303965
TB3,GATE0,I,3163,50.36816507688918
TB3,GATE0,M,3465,-23.169857038771337
TB3,GATE0,MA,3034,3.137473455735945
TB3,GATE0,NI,4625,25.47203266183383
TB3,GATE0,P,3243,-11.044564808195325
TB3,GATE0,RB,3188,50.66376400685432
TB3,GATE0,RU,3172,-62.603209379454405
TB3,GATE0,SC,6157,-231.35434236845452
TB3,GATE0,SN,4177,-69.67925791096148
TB3,GATE0,TA,3101,35.965437459445624
TB3,GATEA,AG,5497,-161.99443840333208
TB3,GATEA,AL,4536,2.3347634519109928
TB3,GATEA,AU,5680,-142.95563379155783
TB3,GATEA,CF,3078,11.108983956312656
TB3,GATEA,CU,4541,-29.900867237634962
TB3,GATEA,I,3187,58.382416495473215
TB3,GATEA,M,3498,-22.499094532029986
TB3,GATEA,MA,3062,3.4706878049754852
TB3,GATEA,NI,4681,22.416749428548666
TB3,GATEA,P,3298,3.7015117653052343
TB3,GATEA,RB,3229,44.17395873880341
TB3,GATEA,RU,3201,-49.91368472694704
TB3,GATEA,SC,6176,-227.64748417022844
