window,model,hazard_nll,hazard_brier,endpoint_joint_nll,marginal_bit_ece,mean_episode_nll,n_episodes,n_obs,mean_pred_duration,mean_actual_duration
A_TB1_to_TB2,B0_VALIDATED_STATE,0.32685943187249134,0.09195203211758984,1.157716106882962,0.04134012836443055,4.289672672488781,12999,124556,5.056042547066644,9.581967843680284
A_TB1_to_TB2,Pc_COMPACT_PROVENANCE,0.32678889619877055,0.09192553539004385,1.1520827073456215,0.04125636838172858,4.283363402394015,12999,124556,5.0631062005254766,9.581967843680284
A_TB1_to_TB2,PF_FULL_PROVENANCE,0.32676334689829994,0.09192104465373442,1.1518694682481498,0.04115011936356524,4.282905350721005,12999,124556,5.066874163390908,9.581967843680284
A_TB1_to_TB2,T_DERIVED_TEMPO,0.3268538520952031,0.09194740645465317,1.1553545927312658,0.04086381779898012,4.287257693090534,12999,124556,5.061235776806807,9.581967843680284
A_TB1_to_TB2,PTc_COMPACT_PROV_TEMPO,0.32684498811981755,0.09194089073353771,1.1485103775491436,0.03958679698888647,4.2803285435813,12999,124556,5.062424865360536,9.581967843680284
B_TB1TB2_to_TB3,B0_VALIDATED_STATE,0.3320504750304253,0.09361768484431493,1.177383965457132,0.04029749028103336,4.309463558044567,12741,120180,5.05981255954653,9.432540616906051
B_TB1TB2_to_TB3,Pc_COMPACT_PROVENANCE,0.33178766010740335,0.09354917630067028,1.1741893215238504,0.040422447094189684,4.303789901675152,12741,120180,5.063423126445986,9.432540616906051
B_TB1TB2_to_TB3,PF_FULL_PROVENANCE,0.3318154085815902,0.09355876793790345,1.1740868350884128,0.040283866129072386,4.303949153849539,12741,120180,5.0638558811121825,9.432540616906051
B_TB1TB2_to_TB3,T_DERIVED_TEMPO,0.33200302453501473,0.09360263524656977,1.1741149184627004,0.04035814545870778,4.305746932324882,12741,120180,5.063340460715823,9.432540616906051
B_TB1TB2_to_TB3,PTc_COMPACT_PROV_TEMPO,0.33178405258140786,0.0935481031883898,1.1698024167403347,0.04014104493201437,4.299368968756157,12741,120180,5.063259138365079,9.432540616906051
