window,model,n_params,success,elapsed_seconds
A_TB1_to_TB2,K0_UNCONDITIONAL,13,True,0.058
A_TB1_to_TB2,K1_STATE,650,True,0.848
A_TB1_to_TB2,K2_STATE_LAG1,858,True,0.448
B_TB1TB2_to_TB3,K0_UNCONDITIONAL,13,True,0.063
B_TB1TB2_to_TB3,K1_STATE,650,True,1.874
B_TB1TB2_to_TB3,K2_STATE_LAG1,858,True,0.741
