window,model,bit,n,prevalence,logloss,brier,ece
A_TB1_to_TB2,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,NEW_LOWER,12892,0.3676698727893267,0.6066051493522104,0.20824011394640277,0.03854563467401874
A_TB1_to_TB2,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,MEAN_BIT,12892,0.32830437480608127,0.5281892101869154,0.17653472776753804,0.028689018075834394
B_TB1TB2_to_TB3,F0_GEOMETRY,UP_PEN,12519,0.3040178928029395,0.46774144778455906,0.15058945046412234,0.014639236740732621
B_TB1TB2_to_TB3,F0_GEOMETRY,DOWN_PEN,12519,0.2774982027318476,0.44937983377190155,0.14466478706589825,0.010071361874065758
B_TB1TB2_to_TB3,F0_GEOMETRY,NEW_UPPER,12519,0.3572170301142264,0.6139045318454964,0.2094835908175,0.0789367442648716
B_TB1TB2_to_TB3,F0_GEOMETRY,NEW_LOWER,12519,0.3755092259765157,0.6238079665280225,0.21516227395551318,0.08650721837685213
B_TB1TB2_to_TB3,F0_GEOMETRY,MEAN_BIT,12519,0.3285605879063823,0.5387084449824948,0.17997502557575845,0.04753864031413053
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE,UP_PEN,12519,0.3040178928029395,0.46534357838806734,0.1501632879589642,0.014710875791188611
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE,DOWN_PEN,12519,0.2774982027318476,0.4467129063252906,0.1440777209223697,0.008634612558351544
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE,NEW_UPPER,12519,0.3572170301142264,0.6026412466869986,0.2060599671848759,0.039243859497445965
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE,NEW_LOWER,12519,0.3755092259765157,0.6113834437349789,0.21096317936522424,0.0342241510128055
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE,MEAN_BIT,12519,0.3285605879063823,0.5315202937838338,0.17781603885785852,0.024203374714947906
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT,UP_PEN,12519,0.3040178928029395,0.4657853346920269,0.15035437885974143,0.013358995177870238
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT,DOWN_PEN,12519,0.2774982027318476,0.4474097759211075,0.14428385287749154,0.007843270744480315
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT,NEW_UPPER,12519,0.3572170301142264,0.59950896004905,0.2047906677025581,0.0335359518905959
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT,NEW_LOWER,12519,0.3755092259765157,0.6104923117005384,0.21053594627924868,0.039499066862991025
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT,MEAN_BIT,12519,0.3285605879063823,0.5307990955906807,0.17749121142975993,0.02355932116898437
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,UP_PEN,12519,0.3040178928029395,0.4653434587751341,0.15030417751977582,0.013296876363910736
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,DOWN_PEN,12519,0.2774982027318476,0.4460766864674516,0.14385231729011502,0.010193760496992
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,NEW_UPPER,12519,0.3572170301142264,0.5980033068835742,0.20453831400233263,0.03052554375375471
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,NEW_LOWER,12519,0.3755092259765157,0.6081258611503286,0.20991841348783014,0.03766386591525485
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT,MEAN_BIT,12519,0.3285605879063823,0.5293873283191222,0.1771533055750134,0.022920011632478074
