window,symbol,n,mean_bit_logloss_R2,mean_bit_logloss_R3,delta_R3_minus_R2
A_TB1_to_TB2,AG,862,0.5451049552480018,0.5443004346821677,-0.0008045205658341228
A_TB1_to_TB2,AL,790,0.5352934703938138,0.5363137700657875,0.0010202996719737428
A_TB1_to_TB2,AU,885,0.5403800444426856,0.5416077245555694,0.001227680112883787
A_TB1_to_TB2,CF,785,0.5327723892396035,0.5305930205056447,-0.002179368733958819
A_TB1_to_TB2,CU,869,0.5279893665773242,0.5275390658294039,-0.0004503007479202757
A_TB1_to_TB2,I,823,0.5149873319494097,0.5147822635105943,-0.0002050684388155125
A_TB1_to_TB2,M,843,0.51556017943208,0.5145023294235481,-0.001057850008531891
A_TB1_to_TB2,MA,790,0.5079058323321289,0.5076943414006574,-0.0002114909314715382
A_TB1_to_TB2,NI,985,0.529838671839868,0.5300537854873995,0.00021511364753143224
A_TB1_to_TB2,P,796,0.522506271370452,0.522645866312976,0.00013959494252394164
A_TB1_to_TB2,RB,854,0.5035293225636007,0.5036887353509122,0.0001594127873115339
A_TB1_to_TB2,RU,850,0.5168465757886411,0.5161004483234287,-0.0007461274652124546
A_TB1_to_TB2,SC,897,0.5871025638947728,0.5877384824921669,0.000635918597394241
A_TB1_to_TB2,SN,964,0.5273580156489901,0.5285093380586505,0.001151322409660374
A_TB1_to_TB2,TA,831,0.5115514910847108,0.5125852257672608,0.0010337346825499646
B_TB1TB2_to_TB3,AG,795,0.5474854085950269,0.5476513862130721,0.00016597761804520693
B_TB1TB2_to_TB3,AL,807,0.5148101429629781,0.5133498429976155,-0.001460299965362651
B_TB1TB2_to_TB3,AU,915,0.5437670608480007,0.543537784268727,-0.00022927657927368763
B_TB1TB2_to_TB3,CF,780,0.5315651636036698,0.530453935911862,-0.0011112276918077218
B_TB1TB2_to_TB3,CU,794,0.5181672403782417,0.5181020122447403,-6.522813350136517e-05
B_TB1TB2_to_TB3,I,790,0.5238834663725501,0.522603208684777,-0.0012802576877730303
B_TB1TB2_to_TB3,M,817,0.5332791377588417,0.5323565479097899,-0.0009225898490519552
B_TB1TB2_to_TB3,MA,778,0.5214644609118975,0.5204827459117092,-0.0009817150001883174
B_TB1TB2_to_TB3,NI,885,0.5212082253114948,0.5213232372036453,0.00011501189215052347
B_TB1TB2_to_TB3,P,779,0.5199550337541945,0.5204602962681784,0.0005052625139838234
B_TB1TB2_to_TB3,RB,834,0.5270633230168036,0.5246161074973057,-0.002447215519497983
B_TB1TB2_to_TB3,RU,875,0.5229530196303108,0.5235658262051259,0.000612806574815031
B_TB1TB2_to_TB3,SC,878,0.5621003671133193,0.5618246628280279,-0.00027570428529142806
B_TB1TB2_to_TB3,SN,833,0.5389866852777156,0.53902784573943,4.1160461714413236e-05
B_TB1TB2_to_TB3,TA,804,0.5102027315462119,0.5094517607603725,-0.0007509707858394135
