block,symbol,n,hazard_auc,mean_p_h,EV_0a,EV_0b,Delta_EV,ENEV_0a,ENEV_0b,Delta_ENEV,terminal_loss_attenuation
TB2,AG,10056,0.5907739673248358,0.10003791921377338,-0.0127258278829329,-0.011534615132457971,0.0011912127504749292,-0.0127258278829329,-0.012816779038491351,-9.095115555845038e-05,0.1266910509377045
TB2,AL,9242,0.6782964272278937,0.10676464851745408,0.01378797236662367,0.012441200291667563,-0.0013467720749561068,0.01378797236662367,0.013928244410634106,0.00014027204401043623,0.1499968707532453
TB2,AU,10404,0.5859663842229371,0.1013243521784389,-0.002034463353706409,-0.0016604245998307185,0.00037403875387569054,-0.002034463353706409,-0.0018476350214403589,0.00018682833226605017,0.12821547342751527
TB2,CF,6872,0.600536993148174,0.1144435207886717,0.02479575167077143,0.020994289725790732,-0.003801461944980697,0.02479575167077143,0.02370745426027274,-0.001088297410498689,0.11983055029494427
TB2,CU,9214,0.6294985965159379,0.10654267011571761,-0.0038051545396605023,-0.0031910886598966815,0.0006140658797638208,-0.0038051545396605023,-0.003571618423355462,0.00023353611630504015,0.12704431490996637
TB2,I,7011,0.6250964120576729,0.11301112073025839,0.016867493299025694,0.014732384062022374,-0.0021351092370033194,0.016867493299025694,0.016609434916649186,-0.00025805838237650744,0.1298841763665034
TB2,M,6981,0.6027327326168966,0.11542060437163525,0.014927821967133416,0.013518670408621097,-0.0014091515585123188,0.014927821967133416,0.01528259698951958,0.000354775022386164,0.14162381049107908
TB2,MA,6905,0.6320154545850878,0.10892660099823719,0.017249727904557057,0.015828986029365364,-0.001420741875191693,0.017249727904557057,0.017763953056053522,0.0005142251514964648,0.1346911987084094
TB2,NI,9420,0.6710458898895405,0.10395024732870765,0.005232889079423896,0.004668911368257003,-0.000563977711166893,0.005232889079423896,0.005210549251688429,-2.2339827735467534e-05,0.1318151120484854
TB2,P,6912,0.6169960751688065,0.1077235794466586,0.00983029389670533,0.009135833071282896,-0.0006944608254224344,0.00983029389670533,0.010238792442388367,0.00040849854568303715,0.13624433326279262
TB2,RB,6996,0.6303929560891837,0.11311711751550171,0.01503794974483543,0.01295159385617718,-0.0020863558886582492,0.01503794974483543,0.014603499641232007,-0.00043445010360342214,0.13190574301559332
TB2,RU,7001,0.6531251733338433,0.10826739763401781,5.999521055321404e-05,4.6278954685410377e-05,-1.3716255867803665e-05,5.999521055321404e-05,5.1897793758601085e-05,-8.097416794612957e-06,0.13711758223281467
TB2,SC,11103,0.6210303396072678,0.09891484331122316,-0.004178724134145625,-0.00411899531651974,5.972881762588474e-05,-0.004178724134145625,-0.004571149891821366,-0.0003924257576757408,0.11535093944534669
TB2,SN,9426,0.6557920397853818,0.1013325278067739,0.0034382197681799382,0.002504327071336624,-0.0009338926968433144,0.0034382197681799382,0.0027867116022623306,-0.0006515081659176076,0.11962177855421696
TB2,TA,7013,0.6090970602513956,0.11205921749625222,0.013675050847599613,0.011692895874516296,-0.001982154973083317,0.013675050847599613,0.013168553697404866,-0.0005064971501947471,0.13676857815643684
TB3,AG,9723,0.5744401638340729,0.10087584536139306,-0.017520648973064993,-0.015411834602161214,0.0021088143709037787,-0.017520648973064993,-0.017140941573698276,0.00037970739936671674,0.12921791300404395
TB3,AL,8747,0.6335248953195299,0.1027033165613813,0.006289641276213489,0.005635406870130777,-0.0006542344060827118,0.006289641276213489,0.0062804276156853515,-9.213660528137498e-06,0.1248505071527114
TB3,AU,10375,0.5755925761596241,0.10170999622901931,-0.015674623296317906,-0.01416716996639448,0.001507453329923426,-0.015674623296317906,-0.015771265300650508,-9.66420043326012e-05,0.12611348988515092
TB3,CF,6736,0.6148735344592535,0.11294344193013285,0.013139028799841844,0.011451039990352309,-0.0016879888094895358,0.013139028799841844,0.012909030304976778,-0.00022999849486506595,0.13330759861097996
TB3,CU,8708,0.5902503396459433,0.10546260593386006,0.011763735968554331,0.01042534880909113,-0.0013383871594632012,0.011763735968554331,0.011654458358305706,-0.00010927761024862558,0.13404354771065152
TB3,I,6964,0.6140287157659929,0.11150251775023697,0.015697091859918667,0.013875805421659197,-0.0018212864382594705,0.015697091859918667,0.01561715784103776,-7.993401888090751e-05,0.12891635600103524
TB3,M,6960,0.600377196127074,0.11008720701829873,0.008744198241169232,0.007928362286765309,-0.0008158359544039231,0.008744198241169232,0.008909145198599628,0.00016494695743039627,0.12556729983106574
TB3,MA,6599,0.5778017856224189,0.1083980395912167,0.006500427911799293,0.00578492420226045,-0.0007155037095388428,0.006500427911799293,0.0064882362972914125,-1.2191614507880283e-05,0.13923955700120483
TB3,NI,8966,0.6101272383151666,0.10737213097754517,0.0016043120438536701,0.0014957640024017688,-0.00010854804145190135,0.0016043120438536701,0.0016756859765535077,7.137393269983751e-05,0.14433622532920687
TB3,P,6811,0.610862631444325,0.10487227338702679,0.009681321082541104,0.008944539268587005,-0.0007367818139540992,0.009681321082541104,0.009992472585372565,0.0003111515028314613,0.1267143797428697
TB3,RB,6948,0.6354725836602553,0.11061171125304918,0.013162291933708986,0.011807871839962613,-0.0013544200937463738,0.013162291933708986,0.013276396810439892,0.00011410487673090518,0.13004154105127708
