trading_day,n,logloss_b0,logloss_b1,delta_logloss
2025-06-10,1199,0.6922551822605141,0.6575163244539285,-0.03473885780658559
2025-06-11,1257,0.6922098261819813,0.5987009726400027,-0.09350885354197869
2025-06-12,1240,0.6936792546027635,0.5070213776855158,-0.18665787691724767
2025-06-13,1247,0.6924839635406801,0.5998545558816405,-0.0926294076590396
2025-06-16,1257,0.6929036331364545,0.6180570309214205,-0.07484660221503403
2025-06-17,1257,0.6924892762053108,0.6352882285250678,-0.05720104768024292
2025-06-18,1238,0.691703719009904,0.5398545285910571,-0.15184919041884692
2025-06-19,1256,0.6935423426183124,0.5645137845652661,-0.12902855805304625
2025-06-20,1257,0.6935685314678247,0.5703138129619791,-0.12325471850584557
2025-06-23,1257,0.6928458158902484,0.5585685964590321,-0.1342772194312163
2025-06-24,1231,0.6934395777167582,0.5728748040805233,-0.12056477363623497
2025-06-25,1257,0.6924507313745067,0.6481974113539307,-0.044253320020576026
2025-06-26,1257,0.691761742523884,0.5315938150360118,-0.16016792748787223
2025-06-27,1240,0.6930003565712535,0.616426905917369,-0.07657345065388443
2025-06-30,1257,0.6933035357560468,0.58300129146644,-0.11030224428960678
2025-07-01,1257,0.6919255580548014,0.6360317483130564,-0.05589380974174496
2025-07-02,1257,0.692017102027961,0.6204665899068581,-0.07155051212110286
2025-07-03,1257,0.6924073684398522,0.6083499248058746,-0.0840574436339776
2025-07-04,1257,0.694575515172581,0.6371107246012147,-0.05746479057136633
2025-07-07,1257,0.6940647961644271,0.5511249769201264,-0.14293981924430066
2025-07-08,1257,0.69229173394744,0.5792062138143559,-0.11308552013308415
2025-07-09,1257,0.6926193650092746,0.6137309279582703,-0.07888843705100423
2025-07-10,1257,0.6918532864970437,0.587319157283607,-0.10453412921343674
2025-07-11,1224,0.6931270254662095,0.6113905598360105,-0.08173646563019898
2025-07-14,1175,0.6927832297463588,0.6676680225382373,-0.025115207208121437
2025-07-15,1257,0.6936938021679379,0.5671400768818662,-0.12655372528607167
2025-07-16,1225,0.6934261555157557,0.6216542132546492,-0.0717719422611065
2025-07-17,1217,0.69155183234783,0.635378060642848,-0.056173771704982056
2025-07-18,1210,0.6911847009225616,0.4387518302299061,-0.25243287069265546
2025-07-21,1256,0.6917775126074266,0.47978555303592746,-0.21199195957149913
2025-07-22,1190,0.6920575498073447,0.6275198191909045,-0.06453773061644019
2025-07-23,1200,0.6930912019193549,0.7097286487308572,0.016637446811502254
2025-07-24,1257,0.6927494538132383,0.618644160817506,-0.07410529299573232
2025-07-25,1257,0.6939347073604634,0.699536954220807,0.005602246860343607
2025-07-28,1246,0.6945710721538616,0.5964935570518358,-0.09807751510202578
2025-07-29,1257,0.692614546905424,0.5421116712643108,-0.1505028756411132
2025-07-30,1257,0.6947393307034981,0.5527932676628006,-0.14194606304069757
2025-07-31,1257,0.695447591969523,0.5026321197737061,-0.19281547219581685
2025-08-01,1257,0.693515532325469,0.6066688066180661,-0.08684672570740293
2025-08-04,1257,0.6918340140816417,0.5780477057768553,-0.11378630830478642
2025-08-05,1257,0.692614546905424,0.7192907606866773,0.02667621378125329
2025-08-06,1257,0.6922242804935329,0.6221868909110033,-0.07003738958252959
2025-08-07,1257,0.6928602702018,0.5165187562368646,-0.17634151396493536
2025-08-08,1257,0.6938287090757521,0.5708810444246422,-0.12294766465110996
2025-08-11,1257,0.6925711839707694,0.5845062323358357,-0.10806495163493379
2025-08-12,1257,0.6918629227047447,0.623667832871078,-0.06819508983366673
2025-08-13,1234,0.6938928593563549,0.50394389168121,-0.1899489676751449
2025-08-14,1229,0.6946375193471127,0.5988960152999984,-0.09574150404711435
2025-08-15,1257,0.6930385400442687,0.5524497332030397,-0.14058880684122899
2025-08-18,1217,0.6930696538307611,0.6250075065497734,-0.0680621472809877
2025-08-19,1237,0.6941529982353202,0.5774808047675865,-0.11667219346773372
2025-08-20,1257,0.6929759046942122,0.6984364811740965,0.005460576479884294
2025-08-21,1257,0.6930674486673718,0.5459443989492081,-0.1471230497181637
2025-08-22,1257,0.6924748218937593,0.666866310202271,-0.025608511691488256
2025-08-25,1257,0.6916894709661264,0.4437847823031824,-0.24790468866294402
2025-08-26,1257,0.6936311668178813,0.5975503504040536,-0.09608081641382771
2025-08-27,1257,0.6937805280372471,0.6229613546685189,-0.07081917336872823
2025-08-28,1257,0.6921134641049712,0.6373118007628864,-0.054801663342084805
2025-08-29,1257,0.692595274490022,0.6414266287713595,-0.05116864571866253
2025-09-01,1190,0.6929074754730546,0.5050743395518476,-0.1878331359212071
2025-09-02,1186,0.6934070924889753,0.5937095898544819,-0.0996975026344934
2025-09-03,1257,0.6932601728213921,0.5859780047406127,-0.1072821680807794
2025-09-04,1205,0.6933050591565173,0.6332138157563877,-0.06009124340012961
2025-09-05,1257,0.6924073684398522,0.6568957845509126,-0.0355115838889396
2025-09-08,1257,0.6929084512403051,0.6220630172524704,-0.07084543398783472
2025-09-09,1240,0.6935913397497622,0.6771902567532782,-0.016401082996484018
2025-09-10,1209,0.6924379269347452,0.6013095753563182,-0.09112835157842691
2025-09-11,1257,0.6936648935448348,0.5629356500070893,-0.1307292435377455
2025-09-12,1232,0.6917999001856286,0.5067167166573683,-0.18508318352826036
