window,model,n_params,success,elapsed_seconds
A_TB1_to_TB2,K0_UNCONDITIONAL,34,True,0.169
A_TB1_to_TB2,K1_STATE,852,True,2.265
A_TB1_to_TB2,M0_STATE_AVAIL,869,True,2.123
A_TB1_to_TB2,MF_STATE_LAG1,1124,True,3.247
A_TB1_to_TB2,MZ_STATE_INNOV,1141,True,3.844
A_TB1_to_TB2,MZ_PATH_INNOV,1022,True,2.699
A_TB1_to_TB2,MZ_NONPATH_INNOV,988,True,3.996
B_TB1TB2_to_TB3,K0_UNCONDITIONAL,34,True,0.365
B_TB1TB2_to_TB3,K1_STATE,852,True,5.92
B_TB1TB2_to_TB3,M0_STATE_AVAIL,869,True,5.195
B_TB1TB2_to_TB3,MF_STATE_LAG1,1124,True,6.526
B_TB1TB2_to_TB3,MZ_STATE_INNOV,1141,True,5.349
B_TB1TB2_to_TB3,MZ_PATH_INNOV,1022,True,4.117
B_TB1TB2_to_TB3,MZ_NONPATH_INNOV,988,True,5.013
