window,comparison,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,K1-K0,-1.6403325667095778,-1.6603521957864047,-1.6203843893030048,CI_below_zero
A_TB1_to_TB2,MF-M0,-0.06332858734668216,-0.06846770495309824,-0.058544135230355954,CI_below_zero
A_TB1_to_TB2,MZ-M0,-0.27247393946955245,-0.2848488084958132,-0.26097270154147434,CI_below_zero
A_TB1_to_TB2,MF-MZ,0.2091453521228703,0.19832030721170127,0.2207183815692041,CI_above_zero
B_TB1TB2_to_TB3,K1-K0,-1.6432254873774568,-1.6642894750278598,-1.6233646773736932,CI_below_zero
B_TB1TB2_to_TB3,MF-M0,-0.06318958217628332,-0.06838260972150424,-0.05826242944279924,CI_below_zero
B_TB1TB2_to_TB3,MZ-M0,-0.2567333522194998,-0.2671895048213873,-0.2451627747547538,CI_below_zero
B_TB1TB2_to_TB3,MF-MZ,0.1935437700432165,0.1823325508877686,0.2044835307340658,CI_above_zero
