window,comparison,role,delta_sample_weighted,delta_daily_mean,n_days,ci_lo,ci_hi,verdict
A_TB1_to_TB2,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT - F1_GEOMETRY_FUNCTIONAL_PROVENANCE,PRIMARY,-0.0012442793070400221,-0.0012998740978332674,102,-0.001961362686793513,-0.0006331925393950335,CI_below_zero
A_TB1_to_TB2,F1_GEOMETRY_FUNCTIONAL_PROVENANCE - F0_GEOMETRY,SECONDARY,-0.0071049234981139,-0.007223275627950003,102,-0.009317529596443193,-0.0051074638691985886,CI_below_zero
A_TB1_to_TB2,F2_GEOMETRY_PREV_EVENT - F0_GEOMETRY,SECONDARY,-0.00715412890703474,-0.007165155454171992,102,-0.00875074999307713,-0.005625913278412719,CI_below_zero
A_TB1_to_TB2,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT - F2_GEOMETRY_PREV_EVENT,SECONDARY,-0.0011950738981191828,-0.0013579942716112792,102,-0.00228567034246337,-0.00039541933681110585,CI_below_zero
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT - F1_GEOMETRY_FUNCTIONAL_PROVENANCE,PRIMARY,-0.002132965464711722,-0.002155294394343521,102,-0.0027640931421984653,-0.0015667285629310456,CI_below_zero
B_TB1TB2_to_TB3,F1_GEOMETRY_FUNCTIONAL_PROVENANCE - F0_GEOMETRY,SECONDARY,-0.007188151198661052,-0.007397977014306813,102,-0.00896100299203079,-0.005652457842827269,CI_below_zero
B_TB1TB2_to_TB3,F2_GEOMETRY_PREV_EVENT - F0_GEOMETRY,SECONDARY,-0.007909349391814206,-0.00813512230487083,102,-0.009999359004420135,-0.0064979109116405954,CI_below_zero
B_TB1TB2_to_TB3,F3_GEOMETRY_FUNCTIONAL_PROVENANCE_PREV_EVENT - F2_GEOMETRY_PREV_EVENT,SECONDARY,-0.0014117672715585686,-0.001418149103779502,102,-0.0021753188442594504,-0.0006779716672531316,CI_below_zero
